method,region,n_checkpoints,model_to_exact_std_mse_mean,model_to_exact_std_mse_sd,model_to_smoothed_std_mse_mean,model_to_smoothed_std_mse_sd,model_to_smoothed_relative_rms_mse_mean,model_to_smoothed_relative_rms_mse_sd,smoothing_floor_std_mse_mean,sign_agreement_mean,sign_agreement_sd,root_direction_agreement_mean,root_direction_agreement_sd
linear,diagonal,5,0.1874072661244992,0.03810489390149673,0.18184039999992746,0.0380705843819349,0.18082932139459648,0.03783758985750299,0.005277961847277061,0.8790734859244786,0.020226047109178788,0.8852038229232765,0.019852033111548907
linear,far_gt_4sigma,5,1.0092580898779606,0.21866807526919924,0.7155434999623925,0.18685604958750107,0.044090154232613026,0.0110136145221112,0.06566706564556894,0.9918899638593027,0.00047648864605640635,0.9914276940483864,0.0012777516968470466
linear,local_0_2sigma,5,0.17121590917851975,0.02196831467052765,0.16254246143495302,0.022275190890690893,0.148784192093632,0.021026665958096297,0.007230649071752603,0.8910179271976452,0.009554400133273262,0.9037111517158471,0.006754588457412033
linear,transition_2_4sigma,5,0.19656462533099012,0.020226329459621408,0.17011615024522797,0.01753211990910044,0.1084796419905226,0.014553364256148062,0.012894014266256595,0.9248834098564,0.006312633324099329,0.9249521880468216,0.009874316674227846
radial,diagonal,5,0.13731074328138787,0.018573801548633237,0.1328951694297984,0.018552153111790853,0.13213953299554543,0.018433008513635735,0.005277961847277061,0.9024264905838079,0.011456764613459038,0.9081555827191338,0.011591899578314939
radial,far_gt_4sigma,5,0.6791966033857071,0.09836004493630132,0.4392849186450049,0.0798987138617077,0.027704169939635183,0.004580858737207954,0.06566706564556894,0.993843867380314,0.0005264931596824715,0.9936861303049387,0.0008578017867100985
radial,local_0_2sigma,5,0.13142362771684454,0.01410373859024346,0.1254261421219301,0.014827336131704442,0.11473474769533118,0.013866027471814247,0.007230649071752603,0.9064694065367034,0.008146525213772984,0.918513351379304,0.005616242453435964
radial,transition_2_4sigma,5,0.13593400718790946,0.012033387556912002,0.11719495534616309,0.010170470758700551,0.07363847203183622,0.007098095277720093,0.012894014266256595,0.9426031156789471,0.004536540364450036,0.9440561851454587,0.0068151171767223614
