pi,n_seeds,linear_std_mse_mean,linear_std_mse_sd,radial_std_mse_mean,radial_std_mse_sd,radial_improvement_pct_mean,radial_improvement_pct_sd,radial_wins
0.07,5,0.29589839842092647,0.09837874303475432,0.19228367241059138,0.03779982189347604,28.602690131388233,28.726752083038342,4
0.1,5,0.19874320358541644,0.039469369000066465,0.14316197377634446,0.024354485950550557,25.47022066407776,20.617516260210383,4
0.3,5,0.09778845933180444,0.008640990781401318,0.07125607442918645,0.004401683746449007,26.91422068975104,4.45636828525566,5
0.5,5,0.11372224490562471,0.007242065764037762,0.08333634898068204,0.005505801073247135,26.65099764840737,3.978714402806214,5
0.65,5,0.17602393774579692,0.014750971579138848,0.1410366419657333,0.011804090525869166,19.720528165007817,5.924723500876976,5
0.68,5,0.20040208427175987,0.028180524087779775,0.16022601592492114,0.019984986341417228,19.826043418052596,5.053376011114284,5
