step,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_step,best_source,grad_norm,learning_rate
1,59.07000732421875,59.860489013671874,60.32392236328125,59.860489013671874,1,raw,366.2148742675781,0.0001
100,48.48644256591797,44.13667102050781,52.78109033203125,44.13667102050781,100,raw,36.17878723144531,0.0001
200,44.983726501464844,44.136262939453125,47.494848022460936,44.136262939453125,200,raw,48.16664123535156,0.0001
300,41.17494583129883,44.102563720703124,45.47822900390625,44.102563720703124,300,raw,8.213468551635742,0.0001
400,48.162776947021484,44.10136633300781,44.64984912109375,44.10136633300781,400,raw,46.130943298339844,0.0001
500,39.44493865966797,44.07900537109375,44.3191005859375,44.07900537109375,500,raw,51.2685546875,0.0001
600,46.72896957397461,44.04739331054687,44.18011059570313,44.04739331054687,600,raw,6.848921298980713,0.0001
700,38.818443298339844,44.01540478515625,44.097100341796875,44.01540478515625,700,raw,17.73415184020996,0.0001
800,41.23845672607422,44.01201806640625,44.05190222167969,44.01201806640625,800,raw,13.998971939086914,0.0001
900,41.73862075805664,43.963431396484374,44.02722961425781,43.963431396484374,900,raw,20.276039123535156,0.0001
1000,44.79224395751953,43.92065966796875,43.991711181640625,43.92065966796875,1000,raw,65.37799072265625,0.0001
1100,45.59302520751953,43.860389404296875,43.9483017578125,43.860389404296875,1100,raw,68.62920379638672,0.0001
1200,44.1251220703125,43.836136108398435,43.89899584960938,43.836136108398435,1200,raw,65.18199157714844,0.0001
1300,43.506256103515625,43.78054663085938,43.83922204589844,43.78054663085938,1300,raw,51.589515686035156,0.0001
1400,42.682884216308594,43.562205078125,43.7607548828125,43.562205078125,1400,raw,21.31517791748047,0.0001
1500,41.04466247558594,43.3967412109375,43.658498291015626,43.3967412109375,1500,raw,7.875986099243164,0.0001
1600,47.64204406738281,43.26071496582031,43.537389404296874,43.26071496582031,1600,raw,4.103762149810791,0.0001
1700,42.98365020751953,43.0651826171875,43.395836059570314,43.0651826171875,1700,raw,34.86885070800781,0.0001
1800,43.053733825683594,42.86532104492188,43.23308605957031,42.86532104492188,1800,raw,28.803674697875977,0.0001
1900,38.91120910644531,42.7496953125,43.07061987304687,42.7496953125,1900,raw,29.805273056030273,0.0001
2000,43.30884552001953,42.629796875,42.92477160644531,42.629796875,2000,raw,8.032001495361328,0.0001
2100,47.21819305419922,42.53281457519531,42.78272009277344,42.53281457519531,2100,raw,21.845767974853516,0.0001
2200,44.39402770996094,42.48885241699219,42.655932861328125,42.48885241699219,2200,raw,20.172500610351562,0.0001
2300,40.10871887207031,42.357992431640625,42.53939453125,42.357992431640625,2300,raw,28.636903762817383,0.0001
2400,43.641021728515625,42.29209387207031,42.44164050292969,42.29209387207031,2400,raw,31.643911361694336,0.0001
2500,41.11152267456055,42.286032348632816,42.3726416015625,42.286032348632816,2500,raw,56.14495086669922,0.0001
2600,45.17007064819336,42.243431762695316,42.32793481445312,42.243431762695316,2600,raw,22.681798934936523,0.0001
2700,42.77894592285156,42.31286645507812,42.289102294921875,42.243431762695316,2600,raw,53.89464569091797,0.0001
2800,40.71013641357422,42.29056396484375,42.260017578125,42.243431762695316,2600,raw,10.489513397216797,0.0001
2900,45.614315032958984,42.170164794921874,42.22713720703125,42.170164794921874,2900,raw,60.79507064819336,0.0001
3000,36.17723846435547,42.2447685546875,42.20112524414063,42.170164794921874,2900,raw,44.798377990722656,0.0001
3100,43.00720977783203,42.15972192382812,42.18483471679688,42.15972192382812,3100,raw,36.55699920654297,0.0001
3200,43.17157745361328,42.15743383789062,42.16618420410156,42.15743383789062,3200,raw,45.03423309326172,0.0001
