test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
10,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.25125929713249207, 0.38562771677970886, 0.21676889061927795]","[0.2048519599748397, 0.43076529665470115, 0.2486617617021805]","[0.0436087809474796, 0.052569406273341016, 0.039061728276279795]","[0.1545145807042718, 0.35179193809628484, 0.19604194685816762]","[0.289563112705946, 0.5253227612376213, 0.31087325133383276]","[-0.046407337157652356, 0.045137579874992284, 0.031892871082902535]","[true, true, true]","[0.1350485320016742, 0.1735308231413365, 0.11483130447566514]",0.6636897216827535,0.43986370589681345,False,True,False
11,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.5106925964355469, 0.2429908812046051, 0.23846474289894104]","[0.5019757624769206, 0.2434967808622332, 0.2353428165264193]","[0.03823287828139796, 0.039668069454862516, 0.03038592754917878]","[0.43871710017323495, 0.1808123474381864, 0.18683212781324982]","[0.563474427163601, 0.3113871722668409, 0.28637110665440557]","[-0.008716833958626324, 0.000505899657628095, -0.0031219263725217328]","[true, true, true]","[0.12475732699036601, 0.13057482482865448, 0.09953897884115576]",1.0338878527978265e-13,1.0348390930453103e-13,True,False,False
12,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.5193067789077759, 0.5003087520599365, 0.683062732219696]","[0.5242520802193877, 0.4403930440160628, 0.633253478431702]","[0.04111036434285877, 0.04182445188317172, 0.02853956818924966]","[0.46065331757068634, 0.371430652141571, 0.5877716037631034]","[0.5966974088549614, 0.5088276073336601, 0.6809189209342003]","[0.0049453013116118605, -0.05991570804387375, -0.04980925378799406]","[true, true, false]","[0.13604409128427503, 0.13739695519208905, 0.09314731717109681]",4.235079115149195e-06,4.2350791151030645e-06,True,False,False
13,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.344510018825531, 0.21302829682826996, 0.6894166469573975]","[0.285583420236614, 0.2106248364392342, 0.6789877233874806]","[0.04608959121689059, 0.03915915233814137, 0.03066335969463293]","[0.22093795355409382, 0.15876589206047353, 0.6326993322372436]","[0.3649434313178062, 0.2783075036853552, 0.7333876076340675]","[-0.05892659858891702, -0.002403460389035772, -0.01042892356991687]","[true, true, true]","[0.1440054777637124, 0.11954161162488164, 0.1006882753968239]",2.600655129978842e-13,2.599105134369664e-13,True,False,False
14,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.6299529671669006, 0.7262356281280518, 0.29544034600257874]","[0.6325179047745457, 0.7474949430847175, 0.26709230216607455]","[0.04165261563474574, 0.04385921324086391, 0.0322099893750815]","[0.5637718722224235, 0.6728880774974823, 0.21783061023801564]","[0.7013796174526215, 0.817243087887764, 0.32125259749591345]","[0.0025649376076450903, 0.021259314956665776, -0.02834804383650419]","[true, true, true]","[0.13760774523019792, 0.14435501039028176, 0.10342198725789781]",9.477877614475839e-09,9.477877543510084e-09,True,False,False
15,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.6257633566856384, 0.4353993535041809, 0.5225273966789246]","[0.6867748001551639, 0.41845824966728623, 0.49456637938380155]","[0.039306042859180594, 0.03975731573203505, 0.02800674005642953]","[0.6240334317088126, 0.35288863062858583, 0.4494414412975311]","[0.7517112705111504, 0.4845949359238148, 0.5400418147444725]","[0.06101144346952547, -0.016941103836894678, -0.027961017295123014]","[true, true, true]","[0.12767783880233774, 0.13170630529522898, 0.09060037344694144]",7.944238983747307e-08,7.944238987753202e-08,True,False,False
16,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.4062992334365845, 0.3642887473106384, 0.5384490489959717]","[0.3219014830274315, 0.38961224759817226, 0.5479460370212788]","[0.03942261829304344, 0.04061830866694894, 0.0295081727125642]","[0.25752429686486716, 0.32513049155473706, 0.4989844362437724]","[0.386350854486227, 0.45705687031149866, 0.5967055782675743]","[-0.08439775040915298, 0.02532350028753383, 0.009496988025307074]","[false, true, true]","[0.12882655762135986, 0.1319263787567616, 0.09772114202380189]",8.241737453102477e-13,8.24167329047476e-13,True,False,False
17,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.38778775930404663, 0.8120824098587036, 0.22024323046207428]","[0.39859332406520764, 0.7847712970709781, 0.23104473004559622]","[0.04536777582647536, 0.04357020980968757, 0.033510241721058105]","[0.3255132126808166, 0.7011846113204956, 0.1788367523998022]","[0.4720993426442146, 0.8425630328059196, 0.28926391579210753]","[0.010805564761161013, -0.027311112787725467, 0.010801499583521945]","[true, true, true]","[0.14658612996339798, 0.141378421485424, 0.11042716339230532]",0.3709501904959318,0.3397780096844576,False,True,False
18,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.19025202095508575, 0.29576194286346436, 0.38309207558631897]","[0.25547732867577283, 0.3080561956791573, 0.401877806999684]","[0.0444011663657546, 0.03981473220446756, 0.02710092369604525]","[0.18936002891510725, 0.24324603334069253, 0.3584040835499764]","[0.3354840141534805, 0.37345396280288695, 0.446441051363945]","[0.06522530772068708, 0.012294252815692963, 0.018785731413365037]","[true, true, true]","[0.14612398523837325, 0.13020792946219442, 0.08803696781396864]",7.912861597547373e-06,7.912861597558414e-06,True,False,False
19,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.7834888696670532, 0.39959755539894104, 0.4196101725101471]","[0.7576686762964728, 0.3467954236200931, 0.3220250458486379]","[0.05767594574028393, 0.04701235597420221, 0.032999188087887106]","[0.6470027783513068, 0.27174472726881505, 0.27047097064554687]","[0.8351306155323982, 0.42533975377678873, 0.37962904050946233]","[-0.02582019337058039, -0.05280213177884796, -0.0975851266615092]","[true, true, false]","[0.18812783718109138, 0.1535950265079737, 0.10915806986391546]",1.6568568273906026,1.1540065461200344,False,True,False
20,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.8068424463272095, 0.26557567715644836, 0.6057839393615723]","[0.775203410360812, 0.30431567050842634, 0.6194413009715095]","[0.04050996890096075, 0.04381227383456506, 0.029512110109525397]","[0.7056625154614449, 0.23373664904385802, 0.5711090186238289]","[0.8365813809633255, 0.37629352629184726, 0.666818687915802]","[-0.0316390359663975, 0.038739993351977975, 0.013657361609937246]","[true, true, true]","[0.1309188655018806, 0.14255687724798924, 0.09570966929197311]",5.611165241268622e-08,5.611165237466945e-08,True,False,False
21,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.5622394680976868, 0.7337149977684021, 0.8469764590263367]","[0.5416133493822821, 0.667822833586932, 0.7847223602116129]","[0.04646735502484879, 0.05485246324876711, 0.03450568349878394]","[0.46239508807659147, 0.5716424503922463, 0.7249008667469024]","[0.6155407577753067, 0.7524054077267647, 0.8364930924773216]","[-0.02062611871540465, -0.06589216418147015, -0.06225409881472377]","[true, true, false]","[0.15314566969871524, 0.18076295733451841, 0.11159222573041927]",7.774780209360757e-06,7.774780209421589e-06,True,False,False
22,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.6778778433799744, 0.6386602520942688, 0.36495348811149597]","[0.7847055263066276, 0.5840585719346985, 0.30033210673704713]","[0.04869457093735093, 0.048088840503229244, 0.03217259328447032]","[0.6899338719248772, 0.49864394947886465, 0.24995555616915224]","[0.8443376979231835, 0.6590333023667335, 0.35638825178146366]","[0.10682768292665323, -0.05460168015957034, -0.06462138137444884]","[false, true, false]","[0.15440382599830627, 0.16038935288786887, 0.10643269561231142]",1.4274823567524177,0.85211447120057,False,True,False
23,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.7415791153907776, 0.44772836565971375, 0.38812679052352905]","[0.7119073603314156, 0.45323487664029055, 0.3833048260059949]","[0.04679037599283927, 0.04785191726213658, 0.03730409879015549]","[0.6385761711001395, 0.3754230634868145, 0.32426053673028943]","[0.7910854318737983, 0.5308935350179672, 0.4447724801301956]","[-0.029671755059362037, 0.0055065109805768064, -0.004821964517534139]","[true, true, true]","[0.15250926077365878, 0.15547047153115273, 0.12051194339990617]",4.998811916510966e-13,4.998622626634733e-13,True,False,False
