method,pi,n,sigma_q,target_variance,fsm_mse,fsm_relative_mse
linear CS beta-conditioned DeepSets FSM,0.07,1000,0.15,44.44444444444444,39.73625564575195,0.894065752029419
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.07,1000,0.15,44.44444444444444,39.60569381713867,0.8911281108856202
linear CS beta-conditioned DeepSets FSM,0.1,1000,0.15,44.44444444444444,42.402931213378906,0.9540659523010254
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.1,1000,0.15,44.44444444444444,42.4124755859375,0.9542807006835938
linear CS beta-conditioned DeepSets FSM,0.2,1000,0.15,44.44444444444444,40.41645431518555,0.9093702220916748
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.2,1000,0.15,44.44444444444444,40.08617401123047,0.9019389152526855
linear CS beta-conditioned DeepSets FSM,0.3,1000,0.15,44.44444444444444,41.84756851196289,0.941570291519165
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.3,1000,0.15,44.44444444444444,41.67490005493164,0.9376852512359619
linear CS beta-conditioned DeepSets FSM,0.4,1000,0.15,44.44444444444444,38.73099899291992,0.8714474773406983
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.4,1000,0.15,44.44444444444444,38.54379653930664,0.8672354221343994
linear CS beta-conditioned DeepSets FSM,0.5,1000,0.15,44.44444444444444,41.96279525756836,0.9441628932952881
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.5,1000,0.15,44.44444444444444,41.9984130859375,0.9449642944335938
linear CS beta-conditioned DeepSets FSM,0.6,1000,0.15,44.44444444444444,40.44228744506836,0.9099514675140381
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.6,1000,0.15,44.44444444444444,40.00917053222656,0.9002063369750977
linear CS beta-conditioned DeepSets FSM,0.65,1000,0.15,44.44444444444444,40.079689025878906,0.9017930030822754
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.65,1000,0.15,44.44444444444444,39.942501068115234,0.8987062740325928
linear CS beta-conditioned DeepSets FSM,0.68,1000,0.15,44.44444444444444,43.33919143676758,0.9751318073272706
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.68,1000,0.15,44.44444444444444,43.00466537475586,0.9676049709320069
