method_id,method,selection_metric,checkpoint_step,checkpoint_source,n_validation,fsm_val_mse,fsm_val_mse_se,lr,gate_lr,validation_y_sha256,validation_target_sha256,minibatch_indices_sha256,exact_score_used,per_row_artifact
linear,linear CS beta-conditioned DeepSets FSM,final_ema_fsm_validation_mse,20000,ema,8000,40.105522058723565,0.6396395148003775,0.0001,,a00e68ca5894dd48eebde83a19f44630956a067463795ac719aab81b464492a2,f2d664cc5761391b194e7721f510d0c622a25666b1e9ba89822c8be41d9062bc,a07341da25ac169337de4dea052a6bce7ebbd4b7a35b7419473418a6e3a4b884,False,lr_selection_final_ema_linear.npz
shared_radial,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],final_ema_fsm_validation_mse,20000,ema,8000,39.9598156003146,0.6383861114503566,0.0001,0.0001,a00e68ca5894dd48eebde83a19f44630956a067463795ac719aab81b464492a2,f2d664cc5761391b194e7721f510d0c622a25666b1e9ba89822c8be41d9062bc,a07341da25ac169337de4dea052a6bce7ebbd4b7a35b7419473418a6e3a4b884,False,lr_selection_final_ema_shared_radial.npz
