mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,checkpoint_step,checkpoint_source,pi,n
0.5789494057900757,0.7608872490652446,0.3536341793374957,0.5946714885863419,0.8702491856514751,0.8105006979197505,-0.02434131158438194,1.2795085415542622,0.40155332763791085,1.096643289108304,linear CS beta-conditioned DeepSets FSM,10000,raw,0.07,5000
0.4033101379014648,0.6350670341794359,0.246350109714063,0.49633668987297624,0.8689021581843593,0.8683551887208628,-0.02434131158438194,1.2795085415542622,0.01656369545161724,1.088913785754742,linear CS beta-conditioned DeepSets FSM,10000,ema,0.07,5000
0.3359094071155894,0.579576920792736,0.20518036002637946,0.45296838744704854,0.8917240770065799,0.8917337273409849,-0.02434131158438194,1.2795085415542622,-0.0333348161175847,1.118704225018903,linear CS beta-conditioned DeepSets FSM,15000,raw,0.07,5000
0.33798790041319005,0.581367268095814,0.20644994639127506,0.45436763352078136,0.8909804863328227,0.8910070408666728,-0.02434131158438194,1.2795085415542622,-0.01733518817126751,1.1191415059269048,linear CS beta-conditioned DeepSets FSM,15000,ema,0.07,5000
0.30887950877217,0.5557692945568062,0.18866994336016565,0.4343615353138048,0.9008492045347217,0.9007818869491794,-0.02434131158438194,1.2795085415542622,-0.006749651135504246,1.1567315098370647,linear CS beta-conditioned DeepSets FSM,20000,raw,0.07,5000
0.31377302259658674,0.560154463158678,0.19165900203794892,0.43778876417508583,0.9000767460291388,0.8991543215101366,-0.02434131158438194,1.2795085415542622,0.029109891329705716,1.1608841089135853,linear CS beta-conditioned DeepSets FSM,20000,ema,0.07,5000
0.572106333052212,0.7563771103439157,0.3494542900628901,0.5911465893184956,0.905168062310275,0.8409268212177482,-0.02434131158438194,1.2795085415542622,0.48380145619660614,1.2927567475611865,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,raw,0.07,5000
0.3068758957204641,0.5539638036193918,0.18744609538629478,0.43295045373148044,0.9064186562455508,0.9059556303119972,-0.02434131158438194,1.2795085415542622,0.015533664311468602,1.2747103307745578,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,ema,0.07,5000
0.27389915680654814,0.5233537587584025,0.16730322644745352,0.40902717079364487,0.9174870343066038,0.917063317661594,-0.02434131158438194,1.2795085415542622,-0.06732796148955822,1.288067087517137,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,raw,0.07,5000
0.2720214262055947,0.5215567334486199,0.16615627005809705,0.4076227055232535,0.9171774313346744,0.9167919206487157,-0.02434131158438194,1.2795085415542622,0.012019097854197025,1.2771935874920508,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,ema,0.07,5000
0.25625136390691833,0.5062127654523524,0.15652359234339577,0.395630626144382,0.9242080443695542,0.9221955165914139,-0.02434131158438194,1.2795085415542622,-0.11185669728964567,1.2816907976738534,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,raw,0.07,5000
0.2663043045273114,0.5160468045897691,0.16266413479955355,0.40331642019579805,0.9231328350256636,0.9189159927091475,-0.02434131158438194,1.2795085415542622,0.09657998039424419,1.279495326335813,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,ema,0.07,5000
0.5757901405112807,0.7588083687672934,0.2535474444692714,0.5035349486076129,0.8924903874026201,0.8640668258085763,0.03004322276574969,1.506962666375793,0.35751587197184564,1.2642960774748344,linear CS beta-conditioned DeepSets FSM,10000,raw,0.1,5000
0.47544275499415906,0.6895235710214401,0.2093597771805494,0.45755849591123254,0.8910493814260144,0.8909918310307556,0.03004322276574969,1.506962666375793,0.0473197883784771,1.2575668723824636,linear CS beta-conditioned DeepSets FSM,10000,ema,0.1,5000
0.3832084794560238,0.6190383505535209,0.1687446932987672,0.4107854589670467,0.9142511513910816,0.9142815186508072,0.03004322276574969,1.506962666375793,0.023474536955356597,1.2757480158654155,linear CS beta-conditioned DeepSets FSM,15000,raw,0.1,5000
0.3860323102130417,0.6213149847002257,0.16998815862003833,0.4122962025292476,0.9134642916525345,0.9134743262365747,0.03004322276574969,1.506962666375793,0.018240768421441317,1.277236068046523,linear CS beta-conditioned DeepSets FSM,15000,ema,0.1,5000
0.35196549564301655,0.5932667997141055,0.15498694000283766,0.393683807138213,0.9229134983924067,0.9205450392665323,0.03004322276574969,1.506962666375793,0.12306004727780818,1.3089981413085292,linear CS beta-conditioned DeepSets FSM,20000,raw,0.1,5000
0.34712226891631764,0.5891708316917239,0.15285423978249457,0.39096577827540685,0.9220045141626083,0.9216329448310773,0.03004322276574969,1.506962666375793,0.06749836385250091,1.316703813092559,linear CS beta-conditioned DeepSets FSM,20000,ema,0.1,5000
0.5217067442839807,0.7222926998689525,0.22973198474383297,0.47930364566090355,0.9262533605932515,0.8858097839333748,0.03004322276574969,1.506962666375793,0.47413725954741237,1.4393034041777937,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,raw,0.1,5000
0.32124530923391975,0.5667850644061819,0.14145939896031517,0.3761108865219341,0.9273447648635905,0.9267686111462429,0.03004322276574969,1.506962666375793,0.08200181635320186,1.4207665894482209,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,ema,0.1,5000
0.28858456339366495,0.537200673299713,0.12707733844968588,0.3564790855712098,0.9356660951691339,0.9347120949814836,0.03004322276574969,1.506962666375793,-0.035468509262800214,1.4486845639668555,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,raw,0.1,5000
0.2832059025240857,0.5321709335580869,0.12470886142620342,0.35314141845187663,0.9357084781002575,0.9357332521995183,0.03004322276574969,1.506962666375793,0.03324679894000292,1.4341277614664032,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,ema,0.1,5000
0.2675086324638085,0.5172123668898575,0.11779661609773501,0.3432151163596018,0.9395553675502684,0.939552615267585,0.03004322276574969,1.506962666375793,0.01966247947216034,1.4500218869092767,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,raw,0.1,5000
0.2764275840174845,0.5257638101062915,0.12172404940142403,0.3488897381715662,0.9389956414247468,0.9375774005788505,0.03004322276574969,1.506962666375793,0.11136784923374653,1.449545213227472,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,ema,0.1,5000
0.7200185033509806,0.8485390405579348,0.14038456265694374,0.3746792797272672,0.9396654449788552,0.9346159665874658,-0.002316446433016074,2.264707675256321,-0.19350476390123367,1.8395607792814086,linear CS beta-conditioned DeepSets FSM,10000,raw,0.3,5000
0.7346501194952866,0.8571173312302619,0.14323734077837125,0.3784670933890703,0.9383276260969179,0.9334535102778675,-0.002316446433016074,2.264707675256321,-0.1893597713470459,1.8308446220626602,linear CS beta-conditioned DeepSets FSM,10000,ema,0.3,5000
0.5549327747958887,0.7449381013184173,0.1081972123371251,0.3289334466683574,0.9579681183921375,0.9547990915803145,-0.002316446433016074,2.264707675256321,-0.151776930347085,1.8371012144355743,linear CS beta-conditioned DeepSets FSM,15000,raw,0.3,5000
0.5772589728851859,0.759775606929563,0.11255023040537114,0.33548506733589667,0.9573404937067147,0.9511810689121452,-0.002316446433016074,2.264707675256321,-0.21220516356825828,1.8441416012997862,linear CS beta-conditioned DeepSets FSM,15000,ema,0.3,5000
0.5061580372732959,0.7114478457858284,0.09868742868024781,0.3141455533351504,0.9658615837007432,0.9601657322466742,-0.002316446433016074,2.264707675256321,0.1986058853432536,1.8387101426854682,linear CS beta-conditioned DeepSets FSM,20000,raw,0.3,5000
0.4777602798670412,0.6912020542989157,0.09315061714643125,0.3052058602753742,0.9650438698917536,0.9615191691183659,-0.002316446433016074,2.264707675256321,-0.16221792232096197,1.8694949369568663,linear CS beta-conditioned DeepSets FSM,20000,ema,0.3,5000
0.3672770464728981,0.6060338657805339,0.0716093090706286,0.26759915745500507,0.9725734994542835,0.9723457878761893,-0.002316446433016074,2.264707675256321,-0.04325425444543362,1.9057385359034755,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,raw,0.3,5000
0.40315753300637996,0.6349468741606498,0.07860505485560301,0.2803659302690022,0.9725185009674983,0.9687858252240115,-0.002316446433016074,2.264707675256321,-0.1680711931630969,1.8899694841810601,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,ema,0.3,5000
0.3381574658817676,0.5815130831561467,0.06593176110899408,0.25677180746529416,0.9775407771320216,0.9735466650426664,-0.002316446433016074,2.264707675256321,-0.17716720125079155,1.9313736990147465,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,raw,0.3,5000
0.3455528613469585,0.5878374446621775,0.06737366760615239,0.25956438046494823,0.9777151599343273,0.9741659636296337,-0.002316446433016074,2.264707675256321,-0.16514144065380096,1.9092890366493986,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,ema,0.3,5000
0.31564869428426967,0.5618262135965798,0.06154314603597358,0.24807891090532783,0.9789287274923377,0.9768196126990283,-0.002316446433016074,2.264707675256321,0.12449956135153771,1.9242440274622794,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,raw,0.3,5000
