mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,pi,n
0.2628631995874046,0.5127018622819743,0.29078860197493644,0.5392481821711933,0.8801786750550717,0.8479004402688337,-0.0013796850936259738,0.9507716098687284,-0.19229106362760068,0.6859666056617105,linear CS beta-conditioned DeepSets FSM,0.1,5000
0.21364265659364723,0.4622149463113966,0.23633909018299454,0.48614718983348504,0.8950512445250888,0.8884031597319282,-0.0013796850936259738,0.9507716098687284,-0.08536820135116577,0.6872677750531853,radial CS beta-conditioned gate+DeepSets FSM,0.1,5000
0.12363515379906558,0.3516179088144766,0.049446623180866955,0.22236596677744316,0.9757589136097659,0.9757263886814422,0.012316348661522399,1.5812577522995055,0.024202517215907573,1.4817748594018674,linear CS beta-conditioned DeepSets FSM,0.3,5000
0.10064190689852383,0.31724108639727583,0.04025070777768397,0.20062579041011644,0.9811162143810691,0.9809459682351962,0.012316348661522399,1.5812577522995055,0.03919821169525385,1.4715366898211002,radial CS beta-conditioned gate+DeepSets FSM,0.3,5000
0.06617662263380983,0.2572481732370705,0.021330673607945105,0.14605024343678824,0.9935861473939478,0.9934497079854886,0.01623248795459849,1.7613676443365067,0.04113814255446196,1.5891758709679327,linear CS beta-conditioned DeepSets FSM,0.5,5000
0.07216609645117363,0.2686374814711708,0.023261257339733304,0.1525164166236976,0.9947709666171394,0.9930712155935312,0.01623248795459849,1.7613676443365067,-0.07762284263744951,1.5760982317922436,radial CS beta-conditioned gate+DeepSets FSM,0.5,5000
0.16039098514790495,0.4004884332261107,0.05883388505871014,0.24255697280991562,0.9751415393448418,0.9736308148005051,0.009005585536647336,1.6511107827021227,0.0901173716723919,1.4687873484683838,linear CS beta-conditioned DeepSets FSM,0.65,5000
0.12687886955891517,0.3562006029738231,0.04654112462196444,0.21573392088859009,0.9816245564387123,0.9799528433563055,0.009005585536647336,1.6511107827021227,-0.078215409322083,1.479339536168073,radial CS beta-conditioned gate+DeepSets FSM,0.65,5000
