mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,pi,n
0.2420855092705754,0.49202185852924807,0.2659208254766367,0.5156751162084872,0.8757479978895958,0.8734135993648361,-0.00460584184108606,0.9541314736041164,-0.05272274608910084,0.6694606549260331,linear CS beta-conditioned DeepSets FSM,0.1,5000
0.26555564327179776,0.515320912899717,0.2917017878583075,0.5400942397936749,0.8828547238419683,0.8516589761922709,-0.00460584184108606,0.9541314736041164,-0.1849440679013729,0.662814526544828,radial CS beta-conditioned gate+DeepSets FSM,0.1,5000
0.14637294815811275,0.3825871772003248,0.058124303663514815,0.24108982488590183,0.9706699518220588,0.9705177988706913,-0.006414732116056493,1.5869071927084109,0.020784823067486285,1.531573299577345,linear CS beta-conditioned DeepSets FSM,0.3,5000
0.12981323690548072,0.36029604064641163,0.051548486905431984,0.22704291864189904,0.9748075686095318,0.9738851896479496,-0.006414732116056493,1.5869071927084109,-0.0736263936728239,1.5435881891094416,radial CS beta-conditioned gate+DeepSets FSM,0.3,5000
0.07581367341518298,0.27534282887916833,0.024602699054129443,0.15685247544788525,0.9920081379510657,0.9886516752111297,-0.01952771166854055,1.7554254600884973,-0.15467268741726875,1.649243301549341,linear CS beta-conditioned DeepSets FSM,0.5,5000
0.07288527330786296,0.2699727269704534,0.023652388334374153,0.15379332994110687,0.9928997090682905,0.9888860208685141,-0.01952771166854055,1.7554254600884973,-0.1683462431371212,1.6584965619230443,radial CS beta-conditioned gate+DeepSets FSM,0.5,5000
0.11800530718131118,0.3435190055605529,0.04321240887326071,0.2078759458746026,0.9840939205210797,0.9818487129939277,-0.0021295509610050217,1.6525192663114165,-0.10198333025276661,1.478409405733452,linear CS beta-conditioned DeepSets FSM,0.65,5000
0.11804161041957487,0.3435718417152006,0.04322570277005861,0.20790791896909222,0.9835508397623504,0.981216078448015,-0.0021295509610050217,1.6525192663114165,-0.10478853352814912,1.4896818341944993,radial CS beta-conditioned gate+DeepSets FSM,0.65,5000
