method,n_test,posterior_mean_mse,posterior_mean_rmse,mean_posterior_sd,coverage90,mean_width90,mean_abs_mean_error_to_exact,mean_w1_to_exact
exact likelihood grid,100,0.002348027213458374,0.04845644656243764,0.043771377954290605,0.9,0.1403974484074948,0.0,0.0
linear local-subscore GRU FSM,100,0.0021384492067348434,0.04624336932723267,0.04580495518787002,0.91,0.14650971996659412,0.010034015961751932,0.010195925849188032
positive nonlinear local-gate GRU FSM,100,0.002179236042690513,0.0466822883189172,0.04566411928938898,0.91,0.1452027892148122,0.008514085687812202,0.008673213495819027
