method,n_test,posterior_mean_mse,posterior_mean_rmse,mean_posterior_sd,coverage90,mean_width90,mean_abs_mean_error_to_exact,mean_w1_to_exact
exact likelihood grid,100,0.002348027213458374,0.04845644656243764,0.043771377954290605,0.9,0.1403974484074948,0.0,0.0
linear local-subscore GRU FSM,100,0.0022458983427550185,0.04739090991693469,0.04578545239491978,0.91,0.146922610409148,0.010602165711282096,0.01065874141977543
positive nonlinear local-gate GRU FSM,100,0.0021639335906306458,0.04651809960252725,0.04546600651574909,0.91,0.14487828437624498,0.00760490454029249,0.007767922419766243
