method,n_test,posterior_mean_mse,posterior_mean_rmse,mean_posterior_sd,coverage90,mean_width90,mean_abs_mean_error_to_exact,mean_w1_to_exact
exact likelihood grid,100,0.002348027213458374,0.04845644656243764,0.043771377954290605,0.9,0.1403974484074948,0.0,0.0
linear local-subscore GRU FSM,100,0.002211147453603464,0.04702283970161164,0.04558638659200627,0.91,0.14530820584245022,0.00976614403235074,0.009889384532356812
positive nonlinear local-gate GRU FSM,100,0.002183311873047369,0.046725922923441215,0.04529965168328452,0.91,0.14419872839487152,0.007587936386429911,0.0077460808872915265
