truth_label,test_index,method,truth_u,truth_covariance,u_posterior_mean,covariance_posterior_mean,covariance_error,covariance_posterior_sd,covariance_q05,covariance_q95,covariance_covers90,extremal_ise
low,0,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4923149769741412,0.5009665665502945,0.4995059830786295]","[337.2096596270748,67.23823971848087,189.83419710808843]","[103.14558205073402,77.29061214579515,59.730052465345324]","[77.08039896258292,53.73075737905862,43.78109483113858]","[224.95931511150783,-23.668437647520822,125.82499231045297]","[481.1768375137031,153.2197932512812,271.43762120713905]","[true,true,true]",0.0033749866887051866
low,1,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5002482718188911,0.4991289609423643,0.5007428804815823]","[341.2105040306417,68.07684660970794,189.30720143349046]","[107.1464264543009,78.12921903702222,59.203056790747354]","[78.83793622998427,52.95757134512093,43.63746360474876]","[226.3060915439054,-21.19829947173161,126.88517901429444]","[489.1312440531119,152.59095371717092,272.12249391972944]","[true,true,true]",0.0034585647727086847
low,2,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5200608449313486,0.48229571480491124,0.5193996274776888]","[350.54851564647595,74.25113588975034,185.05408800036972]","[116.48443807013516,84.30350831706463,54.94994335762661]","[79.26488791354514,53.072161899313656,43.55763844980631]","[231.37968138506923,-16.633176268867288,124.312790905098]","[492.96570222828194,156.88490284346366,267.26011501264236]","[true,true,true]",0.003571277467417157
low,3,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49778766866610485,0.4964763996759786,0.48940503688703657]","[339.72648045507987,64.33571471797573,188.7868801265122]","[105.66240287873907,74.38808714529002,58.68273548376908]","[77.47339282510033,52.726898286234885,44.171727479553724]","[228.601644571915,-24.63024354163411,124.48440152628183]","[483.9842858816527,148.7890190412435,271.19518765188263]","[true,true,true]",0.0033479680561335798
low,4,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5045550367618619,0.5110262796595502,0.5184672672421672]","[343.163639873993,74.42651465498149,192.40526131364916]","[109.09956229765223,84.47888708229577,62.301116670906055]","[78.66167333376197,53.33413665357069,43.86844580118837]","[227.11585494283557,-17.322815525478767,128.21053017669385]","[487.96094435723074,158.9900173684217,274.3672104044306]","[true,true,true]",0.00373411218453696
low,5,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5138613503293185,0.5257001090083818,0.5185997323837123]","[347.72935009793395,75.91135795984977,196.44344945619557]","[113.66527252159315,85.96373038716405,66.33930481345246]","[79.73954313007627,54.032274354587734,44.57612370686722]","[228.19663211302498,-16.878145168148386,128.99052795833396]","[496.02837788760166,161.7322029055514,277.73715351940973]","[true,true,true]",0.004013449074305303
low,6,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4941506401380925,0.5098243672068938,0.47739172452322226]","[338.2344517964957,60.91323786636642,191.92825606847933]","[104.17037422015491,70.96561029368071,61.82411142573622]","[77.99346173687816,53.389299699973186,42.92901608594413]","[225.5271739346523,-26.79466371262227,127.82593252951192]","[484.2927743721977,147.42653802652995,271.56181813969005]","[true,true,true]",0.0034150862701805757
low,7,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5201162763244792,0.5047948727338819,0.49631390074769]","[350.6884936236192,67.89709317083644,190.70915004623427]","[116.6244160472784,77.94946559815072,60.60500540349116]","[79.88216463079533,54.08009009280824,43.33915341575638]","[231.80215699637353,-23.466245075120558,127.33581968309497]","[495.92248097851785,155.51649377069262,270.35105863921007]","[true,true,true]",0.0037056318918060193
low,8,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4752224091235951,0.5179058708791714,0.5040861519005048]","[329.03039567394364,68.65151913028392,194.27314156813475]","[94.96631809760285,78.7038915575982,64.16899692539164]","[74.81824439937618,53.186177848609105,44.02514130015336]","[222.77331390064066,-21.189109208840033,128.6046483066639]","[471.52657315092534,152.38444834862568,273.3944603125248]","[true,true,true]",0.0034467393524307004
low,9,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5019841199948347,0.4911017287052948,0.49618565658254027]","[341.8624662728529,66.42381630084375,187.19658596937694]","[107.79838869651209,76.47618872815804,57.09244132663383]","[78.12675317003621,53.487095866671766,43.156767312670304]","[226.99158866926237,-22.47363003213833,124.68137683074376]","[484.7509563469153,153.46954870163333,268.0202422991163]","[true,true,true]",0.0033511027757701967
low,10,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5038977346041652,0.5015171334090059,0.5092450306329431]","[342.8786745200492,71.16863471494592,189.91831063741947]","[108.81459694370838,81.2210071422602,59.81416599467636]","[79.02777199147755,53.560971694969595,43.55907184432161]","[229.42687533077486,-20.542420996398484,126.80618442581249]","[490.39475208206557,157.95414649784237,271.6758417955245]","[true,true,true]",0.003558408319168331
low,11,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5009663031769753,0.4959217819402859,0.5230581352590169]","[341.2406656292883,74.88982351958916,188.37931189410608]","[107.1765880529475,84.94219594690344,58.27516725136297]","[77.54305109917648,53.01528413131204,43.00843679616484]","[228.60312721804954,-18.822275815921223,125.24826784645184]","[486.1321130631337,157.47415655280977,268.2336274045684]","[true,true,true]",0.0035450055423428286
low,12,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5170711673150631,0.49429023057245486,0.5089694537719258]","[348.9205207890712,71.32914087057503,187.9783104426588]","[114.8564432127304,81.38151329788931,57.87416579991569]","[78.39870776433487,53.76279756421861,43.053343428084695]","[230.41013729098668,-21.32973620139644,126.11017623237201]","[493.61886854649697,156.30193831068138,268.888293862758]","[true,true,true]",0.0036068825944567955
low,13,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49984367685497594,0.5031546479857054,0.4997355226548726]","[340.76313611262896,68.1226791912029,190.37758770173747]","[106.69905853628816,78.17505161851719,60.27344305899436]","[77.66912156598754,53.66336837587492,43.76318599007277]","[227.15246594891192,-22.26915502432644,125.88333909066543]","[484.62013960147084,154.5522579904746,271.98843441537645]","[true,true,true]",0.0034933664918923133
low,14,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5052376535675962,0.5085901360253633,0.4880099829259139]","[343.69355383409044,64.71554354355432,191.76137745091611]","[109.62947625774964,74.7679159708686,61.657232808173006]","[79.52672108170792,54.4896119859474,43.60306629190814]","[225.5403663759022,-26.6430928951484,126.47529134252346]","[490.8329203619303,153.13380726413732,271.49454801777165]","[true,true,true]",0.0035459887795681842
low,15,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5023235904376893,0.5046060134113345,0.528772894412627]","[341.9866949718022,77.0330817984989,190.77836870744963]","[107.9226173954614,87.08545422581318,60.67422406470652]","[78.07998036688483,53.24406102121586,43.77634161793576]","[228.17787556537493,-17.454924133812735,126.19278607045383]","[487.8672251542289,160.993043689039,270.201238754258]","[true,true,true]",0.0036879455572794875
low,16,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5080167487454127,0.5275902120559557,0.4926614547125316]","[344.94623997872964,67.3973882377073,196.72292673046704]","[110.88216240238884,77.44976066502159,66.61878208772393]","[79.6376674840868,54.38458726516186,43.51118746151848]","[229.670162186774,-24.17447488147159,130.6053060563633]","[492.26510708198015,155.76994803078168,274.531847838847]","[true,true,false]",0.0038493403998181887
low,17,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4948549806107807,0.4972180161592539,0.5020501476534096]","[338.5818359242121,68.14034913482011,188.77083171355142]","[104.51775834787131,78.1927215621344,58.66668707080831]","[78.13826795327807,53.59037243461045,43.32661616192124]","[224.9663667253296,-23.716766770119882,126.08155211940674]","[486.80808732234374,154.8389073111782,270.3235622915625]","[true,true,true]",0.0033767676510400688
low,18,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.47819758162365017,0.5096329712998413,0.5211791114475539]","[330.47849270942135,73.60361622352241,192.04487381206968]","[96.41441513308055,83.65598865083669,61.94072916932657]","[75.4591743377349,52.57745418046365,43.671155228812054]","[222.8058042620561,-18.13073586317749,127.40761388922344]","[473.6071610052356,156.34874629779793,271.03536587281314]","[true,true,true]",0.003471949694211286
low,19,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5058398915921348,0.5040327287412882,0.48974665597366474]","[343.78307167216394,65.15170365880934,190.43004406537182]","[109.71899409582315,75.20407608612362,60.32589942262871]","[78.78533630692718,53.406276259346214,42.95548044665303]","[226.11606954241714,-22.976678555834606,127.13161562867403]","[490.5621801705317,152.5451017301863,270.4068643213519]","[true,true,true]",0.0035229721309927523
low,20,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49555959591946547,0.5241193787172485,0.509881276401462]","[338.79078342152326,71.91700910305349,195.86622796745885]","[104.72670584518247,81.96938153036777,65.76208332471575]","[77.6875052288666,53.222301610048575,43.81005237384334]","[225.91771927672124,-19.7932718208648,129.61543063330572]","[483.14236441264364,156.9645970257673,274.20241587525436]","[true,true,true]",0.0037638708991494033
low,21,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.50848056606578,0.48155436412437086,0.5413398704262817]","[344.8556250409874,80.03501524150211,184.64166163775784]","[110.79154746464658,90.08738766881639,54.53751699501473]","[78.09034077980411,51.65778773984389,42.4930247113731]","[229.67336259170418,-10.361785078980837,124.41409880992511]","[489.7736276891088,160.64112488655584,265.591599640459]","[true,true,true]",0.0035891358999534987
low,22,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49739979409484303,0.5140911576629458,0.5006161576782473]","[339.8872279722487,68.2043666354112,193.19111042968476]","[105.8231503959079,78.25673906272549,63.08696578694165]","[78.72577824909521,53.67093323336255,43.54633505443383]","[225.36850734568446,-23.258456040666815,127.61941412871445]","[485.7036951224013,153.51182482789204,271.5079603163967]","[true,true,true]",0.0035917894743368113
low,23,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4974392863101887,0.48747288887860984,0.506499783043515]","[339.72743159279474,69.12472966849647,186.2243898244667]","[105.66335401645395,79.17710209581075,56.12024518172359]","[78.1045838350512,53.17006775064198,42.89336419262508]","[226.95073928535032,-22.561337975812158,124.573243783791]","[489.8374167595902,153.0012500446453,266.64588605701823]","[true,true,true]",0.0033160086017972375
low,24,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49152722605245197,0.49983530437107027,0.5091880085286381]","[337.1084296914204,70.51880452257934,189.51585012664177]","[103.04435211507959,80.57117694989363,59.41170548389866]","[78.26933230704579,53.24497786755254,43.60070272620933]","[224.64044403971613,-20.265458003383774,125.49217780212508]","[482.21937026249634,155.41478218525626,269.38382849368276]","[true,true,true]",0.0034141243902802
low,25,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.482109953859239,0.5180476338000721,0.5162554397050716]","[332.4752641563767,73.03774170782702,194.3299992593368]","[98.41118658003589,83.0901141351413,64.2258546165937]","[76.5117416085816,53.06753346351714,44.063587764085035]","[223.4796746394369,-16.570030627510235,128.03997515943593]","[476.1627145809428,157.56991038117656,274.34435756967787]","[true,true,true]",0.0035848021349049607
low,26,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5093161751274647,0.537125667299281,0.49474856860722854]","[345.3182868769282,68.58606869419282,199.32608712720543]","[111.2542093005874,78.6384411215071,69.22194248446232]","[78.62364161307063,54.7175457829638,43.815729794250586]","[229.46045159418415,-24.095136043926118,131.63322515658814]","[493.1867398522794,156.98899377523307,278.29342933949306]","[true,true,false]",0.004007006983650508
low,27,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4955559885409079,0.48769855351237257,0.5252334117901348]","[338.9886527313008,74.8936436087112,186.28825144086494]","[104.92457515496002,84.94601603602548,56.18410679812183]","[78.44377580488778,51.735467955961596,43.089598402545256]","[225.34376909842396,-14.889082832571983,124.69424635585958]","[483.4064215892664,155.41447089689004,270.9138487819966]","[true,true,true]",0.003434850005244185
low,28,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5109105258947624,0.5009686602565242,0.5122219913333373]","[345.82339563851144,72.50698435195359,189.90236193176764]","[111.75931806217065,82.55935677926787,59.798217289024535]","[77.47932887154782,53.49506204106434,43.99200526997162]","[232.42052523168215,-19.313698284450076,125.08434215640936]","[489.3170869296314,156.64290600796096,269.54986436112426]","[true,true,true]",0.0036412543529656
low,29,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5203132261276499,0.4902776580218002,0.5151152061623345]","[350.5040324604622,73.46497057549053,187.02680973580198]","[116.43995488412142,83.51734300280481,56.92266509305887]","[78.48801053489072,52.70856436679281,43.37978820026878]","[231.63588542500665,-17.36249378286529,125.15607350474406]","[490.8806131672133,157.97325053524682,268.0367139632809]","[true,true,true]",0.00365488609013696
low,30,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5065919407035356,0.503603074679803,0.5258576960498168]","[343.9226299439071,76.35454702319775,190.55009273035705]","[109.85855236756632,86.40691945051204,60.44594808761394]","[77.95590616217831,53.35356060508315,43.975778956400625]","[229.07816127891456,-15.869994101982268,125.66683253767202]","[488.9575878781404,160.1914434471511,271.62582854210115]","[true,true,true]",0.0036992757874846328
low,31,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4976620735334057,0.5043426088103632,0.4935893087040236]","[339.9031396490583,66.27086566911412,190.78686859494135]","[105.8390620727175,76.3232380964284,60.682723952198245]","[78.23523968982855,53.2871531997246,44.152099019967565]","[225.9478929761673,-22.106515426040218,125.77025691178373]","[483.4324967327267,152.78575662179512,271.2546242367613]","[true,true,true]",0.0034636215186322795
low,32,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5249103618573266,0.5275849136779545,0.47725008411776526]","[352.7108063260712,63.332720578382784,196.6343441097718]","[118.64672874973039,73.38509300569707,66.5301994670287]","[78.81032523724136,54.39905139633537,43.21844101686764]","[234.97087694422288,-25.541208694159398,130.8963410047549]","[495.3820813374136,152.68219762333356,274.857315476128]","[false,true,false]",0.004009503715955056
low,33,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5051067719502601,0.5262117971409817,0.49099673336067234]","[343.31941238096084,66.5658800135051,196.39657629711272]","[109.25533480462005,76.61825244081938,66.29243165436961]","[78.35235659122951,54.12194048591476,43.69486419905366]","[226.95299213578195,-23.76152929738023,130.04265141600447]","[489.4315596086188,154.53224811892878,275.2336470300283]","[true,true,true]",0.0038045563372874364
low,34,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49742962532746615,0.5003723738641818,0.5632180503140625]","[339.8955329246234,86.58938407440137,189.6287940617874]","[105.83145534828262,96.64175650171565,59.524649419044295]","[78.80564436969718,50.53880764544534,43.54637622163736]","[226.15606844387332,-5.181932775640536,125.92532354312729]","[487.81057510817556,162.43443741124156,270.0494407607605]","[true,false,true]",0.003826379154880662
low,35,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4966316926052821,0.494173784488955,0.5028346655992484]","[339.1881199491484,68.12988598400221,187.98219218630902]","[105.12404237280762,78.1822584113165,57.87804754356591]","[77.13626831928737,52.80662149691151,43.234710677322155]","[227.12732837477395,-21.563140364424054,125.66731732493945]","[484.0762631278019,153.05564594011514,268.0983995845015]","[true,true,true]",0.003372391174896848
low,36,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4924059278462167,0.5188963266583934,0.5250209749115048]","[337.4221087385454,76.35307706706989,194.2744968156969]","[103.35803116220458,86.40544949438417,64.17035217295378]","[78.06923574158353,54.47057063376982,42.890157648612494]","[225.31383508457293,-17.732821282047695,129.9463293917684]","[484.47935344071414,164.53776299080513,272.3188830913876]","[true,true,true]",0.0037174390368652963
low,37,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5049799502987071,0.4953329549360325,0.49470096407319936]","[343.5278469892852,66.20150835419322,188.29580789748763]","[109.4637694129444,76.2538807815075,58.191663254744526]","[79.51058179279254,54.158800202936554,43.34623063843988]","[227.54171192442436,-24.907156505458612,126.40956342862599]","[491.0679935737519,153.2011216559554,269.04420792700074]","[true,true,true]",0.003410595270799842
low,38,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5102224416222184,0.5036926156545065,0.5119355372106522]","[345.78214789617505,72.79355649518521,190.45255101121944]","[111.71807031983425,82.8459289224995,60.34840636847633]","[78.55430621539071,53.367682344087996,43.38800802151989]","[229.95812958386043,-16.032808944000767,126.74946908942884]","[487.67003456670324,159.1062510375862,271.1856176784209]","[true,true,true]",0.0036793522794989035
low,39,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5092427715415236,0.5055624997274405,0.4862543136083751]","[345.18827613293405,64.67946465019435,190.78692722412384]","[111.12419855659326,74.73183707750863,60.682782581380735]","[78.0335281498356,53.242888263088176,42.751380011357384]","[230.4970999613238,-24.266810932747738,128.24793691760829]","[489.3511030269653,152.5836901178283,270.60262273887764]","[true,true,true]",0.003578147176906752
low,40,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4984433729508891,0.49573463723459366,0.5368550675868561]","[340.48860076780545,79.17151128874382,188.294636030343]","[106.42452319146466,89.2238837160581,58.190491387599906]","[79.257126600314,51.976267886751074,42.82586347179888]","[226.34408482682062,-10.749713945796511,125.459911630294]","[486.89313954123594,161.1340628326907,268.08369709254316]","[true,true,true]",0.003621397829607099
low,41,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49898988588112414,0.49825429863127574,0.5063174994379924]","[340.592943753039,69.71636971647956,189.14624174613954]","[106.52886617669819,79.76874214379384,59.04209710339643]","[78.54238721510298,52.63119682140812,43.85249279017532]","[224.7946245385944,-19.312559225811007,126.01543265367644]","[484.9327364119568,153.20262012280674,270.6670135804545]","[true,true,true]",0.003476304972766619
low,42,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4915682977936438,0.5059235845889536,0.5009592065987427]","[336.9719359555468,68.18200502809225,191.02992685907458]","[102.90785837920603,78.23437745540653,60.92578221633147]","[77.7873965576261,53.15205621492612,43.48720041580459]","[226.36827304933573,-20.41204579087706,126.92270994408995]","[484.9527649228944,154.43760948580777,272.6866210331036]","[true,true,true]",0.003454504805256274
low,43,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5126412361197548,0.4920421557157295,0.4891839062282581]","[346.97545144400146,64.87861365840972,187.3990958306385]","[112.91137386766067,74.930986085724,57.29495118789538]","[78.93706836892981,53.21990004647227,43.08412345785316]","[229.6576138275502,-23.230920304314584,125.71400559197431]","[492.8000946705826,152.78775012276202,268.71471591215965]","[true,true,true]",0.0034571197638657513
low,44,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4920786226021119,0.4926919648673339,0.5053274201854889]","[337.12789865592276,68.95946798085656,187.58363956633278]","[103.06382107958197,79.01184040817084,57.47949492358967]","[77.13499707373357,53.03946006430794,43.196167337938725]","[224.83267272169488,-21.949542584775973,126.17796251516374]","[479.5592096080094,153.32515695078354,269.02426740279253]","[true,true,true]",0.0033286976841910777
low,45,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4841509239522856,0.5180659938511918,0.49442036599356454]","[333.4795574969925,66.24919459742537,194.31308212356592]","[99.41547992065173,76.30156702473965,64.20893748082281]","[76.992134876888,53.23481643739409,44.09994797256473]","[223.30785083315808,-22.66013031692913,128.52257803111547]","[480.64111610717003,152.39498832122538,274.60048529845704]","[true,true,true]",0.003486935209897436
low,46,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4968868791359866,0.4910414828741791,0.5029621089762202]","[339.5338788390952,68.47416826275476,187.24083376772293]","[105.46980126275443,78.52654069006904,57.136689124979824]","[78.15993747464763,53.73413316627389,43.592441249017625]","[225.33038286098997,-22.4283928267222,126.05638516368924]","[482.6710729727377,155.56970967817435,269.40210804385606]","[true,true,true]",0.0033332106648715867
low,47,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4910893680342617,0.5018931397071851,0.5105418954930149]","[336.7444245449692,71.0294485983002,190.02676553254187]","[102.68034696862841,81.08182102561449,59.922620889798765]","[77.60948340914214,52.08810200567904,43.64983138565258]","[223.56027538009582,-18.54217681325655,126.11378730908433]","[482.71503845144593,152.38154637901695,271.97384074669543]","[true,true,true]",0.0034631994511762306
low,48,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.506705506908653,0.5077969625213272,0.5055772409462528]","[344.2228663422362,70.68997037751538,191.60496996185788]","[110.15878876589542,80.74234280482966,61.50082531911477]","[79.03889567452642,54.117050160354836,43.89411904281372]","[227.62540922215382,-20.57632233048923,127.30214651352959]","[490.64614350280317,158.75298829614664,272.2793651960096]","[true,true,true]",0.003643152837738115
low,49,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5047750794401062,0.4950135121148935,0.4965448894851875]","[343.3056879687916,66.89593631568322,188.32251489925537]","[109.24161039245078,76.9483087429975,58.21837025651226]","[78.76632563698281,53.31980611587556,43.777040456944135]","[226.00892270498446,-23.46908474842579,124.93148930131416]","[487.80938458903955,152.64993728443727,270.8501960173187]","[true,true,true]",0.0034326717853448035
low,50,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.520801679303196,0.5006861337093683,0.4910990742324734]","[350.73799638772954,66.45582740376781,189.76038294086962]","[116.67391881138875,76.5081998310821,59.65623829812651]","[78.6518750323939,54.28249717332665,43.853824164515096]","[232.77816611055633,-23.22722982294106,125.82188288317624]","[494.6280088555163,153.98889710923905,272.50601702422233]","[true,true,true]",0.003646281401996193
low,51,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5168480305947544,0.49286776319960857,0.4906530506934796]","[349.0040019377743,65.4225537713984,187.75084419940407]","[114.93992436143353,75.47492619871268,57.64669955666096]","[79.07807963870367,53.08477384451047,43.66708286886862]","[229.38022869322458,-22.875325524914388,125.13827480911479]","[494.25905116955045,151.97556758063772,268.23702580732635]","[true,true,true]",0.003510352076653669
low,52,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4971378684923825,0.49910824297981454,0.5058357882051511]","[339.49224242003856,69.77851618397048,189.21737653557793]","[105.42816484369777,79.83088861128476,59.11323189283482]","[77.50168325858617,53.63220122107862,43.12887345432524]","[226.25652353014803,-20.825855213779406,126.00692779023878]","[483.53006162445877,157.1587586376515,269.6230187893119]","[true,true,true]",0.00344850493872014
low,53,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5031492618332315,0.5038644032473161,0.501819145282107]","[342.4375051966364,68.8507122228163,190.3836265949267]","[108.37342762029559,78.90308465013058,60.2794819521836]","[78.39788037444093,52.89087210501425,42.8966893253264]","[227.53708220804867,-20.943292236061083,126.0864843087664]","[488.61230220308,153.32007623228534,269.6191092417921]","[true,true,true]",0.0035571480276644593
low,54,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5057373513598938,0.504318735645436,0.48760511964154]","[343.80925934787973,64.66783368966802,190.69218288431733]","[109.74518177153894,74.7202061169823,60.588038241574225]","[79.16474764619619,54.12801106310307,43.69349257143596]","[228.57443928830895,-25.566903496790417,125.64754838915722]","[489.7673108605629,153.6592947505135,270.29036914386955]","[true,true,true]",0.003506603259024955
low,55,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5033380405565233,0.5285846349018719,0.5163172144892518]","[342.58242041203806,74.7052132859692,196.9739107568059]","[108.51834283569727,84.75758571328348,66.8697661140628]","[78.52102344621868,54.231842225389066,43.55455718827093]","[226.5298177150937,-19.068801102812753,131.60417611174736]","[486.6782787061987,160.62346421266403,275.7768305612224]","[true,true,false]",0.003922444292251313
low,56,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5211405769949448,0.5075851636541981,0.48863566008315673]","[351.1410867670257,66.04975313082498,191.46762780348445]","[117.07700919068489,76.10212555813926,61.36348316074134]","[79.71463712900416,54.25122941651309,43.559099482058656]","[231.2770371159656,-25.72809004902291,128.22583856396395]","[496.7637165594368,153.94105377036294,272.29172660934233]","[true,true,true]",0.0037266171075572667
low,57,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.497645450254546,0.4957019919029912,0.5223093145825537]","[339.64673901591135,74.6370109469505,188.54934855156642]","[105.58266143957056,84.68938337426478,58.445203908823316]","[77.09452961985046,52.63259294088842,44.087724011799715]","[228.26911699668773,-17.15341793971277,126.10290120269686]","[480.46699357138965,158.52110628932246,270.42117550912485]","[true,true,true]",0.0035143761400620046
low,58,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49664469160549934,0.5154085994970292,0.49359183141907]","[339.2472206107132,66.55047739633555,193.53693003279886]","[105.18314303437242,76.60284982364983,63.432785390055756]","[77.46351031859463,53.878853132795214,43.647269799857796]","[225.587543991353,-24.090398352086417,128.13212621099095]","[486.0011176387839,153.4608934564183,272.6307562372329]","[true,true,true]",0.0035811126951643935
