truth_label,test_index,method,truth_u,truth_covariance,u_posterior_mean,covariance_posterior_mean,covariance_error,covariance_posterior_sd,covariance_q05,covariance_q95,covariance_covers90,extremal_ise
low,19,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2685617572989397,0.27139685752960774,0.24498922045862587]","[241.1351359291282,-11.561694865885585,134.57236769761505]","[7.071058352787418,-1.509322438571301,4.468223054871942]","[21.25274926875561,10.374355457997899,11.997611359389245]","[209.9376133074347,-27.862666316367196,117.38393290677007]","[279.28118619877864,5.869051869172863,155.0256881936789]","[true,true,true]",1.7293531809480407e-05
low,20,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.20654148093491045,0.19651749368658758,0.2600038394927188]","[220.58460738347705,-7.056325583114094,120.90579732508803]","[-13.479470192863744,2.9960468442001895,-9.198347317655077]","[12.423953897180374,10.950204641931721,7.16871538097871]","[205.0454793119568,-22.691640228527962,113.65611975172523]","[243.89310993298807,12.978882632218175,132.79977207259208]","[true,true,true]",0.00012512753376413234
low,21,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.37197808240376046,0.2779121995838991,0.20506369370328292]","[279.02828062975334,-23.29416360373634,135.8199180535701]","[44.96420305341255,-13.241791176422057,5.7157734108269835]","[27.87810043849276,9.00100098327539,12.157679824345204]","[235.76904035462886,-36.35572889475898,117.93171173557185]","[326.917368379983,-7.557338899787265,157.23397527868312]","[false,true,true]",0.00032959274584287414
low,22,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.27570753491506556,0.31848828364319937,0.23810068237705873]","[243.64834517022572,-13.76486704814937,143.88826796047286]","[9.584267593884931,-3.712494620835086,13.784123317729751]","[22.447803766248516,11.058821486550665,14.324314602769764]","[210.56993694827403,-30.771490498514073,122.22283347401195]","[283.3117987623481,5.438040685268449,168.70477717681788]","[true,true,true]",0.00012092190136019933
low,23,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.22941728746610687,0.236593532573264,0.2440037531229589]","[227.94128111483934,-11.113684548035334,128.0334830116897]","[-6.122796461501451,-1.06131212072105,-2.0706616310534116]","[15.726338315574498,12.452160436402062,9.681103391625097]","[206.4606938792822,-29.190166948142192,115.28673171651074]","[257.6485891840668,10.047463434442399,145.75012650960528]","[true,true,true]",2.0398961981328567e-05
low,24,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.32942144784934063,0.2826018163385199,0.24835989491246427]","[262.91029804035935,-11.298904011378932,136.76086195353085]","[28.846220464018558,-1.2465315840646483,6.656717310787741]","[26.55242607011013,11.411537457294804,12.888708240442034]","[222.33402485218653,-29.22801008017606,118.14174171709638]","[309.52320475364576,8.003266848198173,159.02108972467076]","[true,true,true]",0.00015528203808151084
low,25,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.24090044719650228,0.2839542513950289,0.21236933205916303]","[231.78611796995915,-19.495907500267442,136.9983438880659]","[-2.2779596063816427,-9.443535072953159,6.894199245322795]","[18.148135730931287,8.862653344465537,12.625522209710795]","[207.13327048667955,-32.13985065033051,118.13224856900037]","[265.33607532874254,-3.7813610880128383,158.58892054302663]","[true,true,true]",5.0268884952797695e-05
low,26,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.1970694443012504,0.2877021140019679,0.21903894445227373]","[217.63273082035454,-17.311713617174586,137.71778513289522]","[-16.431346755986254,-7.259341189860303,7.6136404901521075]","[11.395034049492732,10.857763036965132,12.727960800205995]","[204.49512234824365,-31.822814310662938,119.50504130340063]","[239.45145290550124,3.126838427291852,160.05694986649036]","[true,true,true]",7.991449445912105e-05
low,27,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.22574593081710123,0.27073036167336756,0.23507926947044067]","[226.71817685737028,-13.537379832666039,134.39435646163724]","[-7.345900718970512,-3.4850074053517552,4.290211818894136]","[14.789308546344303,10.038929707775106,11.278892379730378]","[206.54924666526153,-28.85019120707026,117.8694460878023]","[253.73789933626972,4.0628180882127864,154.4332518113953]","[true,true,true]",1.8667760101324888e-05
low,28,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2664693016685387,0.333407707513616,0.27117249358848633]","[240.32103355633444,-5.1591218699334105,146.91160721372756]","[6.2569559799936485,4.893250557380873,16.807462570984455]","[19.82902744607851,11.087681508235045,14.435820774387903]","[211.0895631119816,-22.705851377129395,124.96083089032456]","[276.2111733453295,14.009903600573603,171.34745969571324]","[true,true,true]",0.00017259697188820589
low,29,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.35139977540072953,0.41010469384558546,0.22896055050704303]","[271.01251674167804,-18.206061869281232,163.5662854263209]","[36.94843916533725,-8.153689441966948,33.46214078357778]","[26.12174314443119,11.247357418001547,16.017689200831093]","[230.30497581800424,-35.79669382877928,138.9936380361537]","[316.4771750558765,0.9618422752112158,191.06070554977933]","[true,true,false]",0.000905622561321559
low,30,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.3047956652278448,0.32173285764100584,0.31416788635443765]","[253.84558629996116,6.211707758154139,144.5689923040612]","[19.781508723620362,16.264080185468423,14.464847661318089]","[24.065494265635017,12.567476836268098,14.6170902796183]","[216.9256694602435,-13.9726806020705,122.3168597282192]","[296.1511960909722,27.983841166860227,169.685566913695]","[true,true,true]",0.0003058333999863547
low,31,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.25986303380271036,0.38074233407050445,0.2753658050747159]","[238.17312437155914,-4.181454592931039,157.0517583650928]","[4.109046795218347,5.870917834383245,26.9476137223497]","[20.506313517758965,12.006245458354417,16.177077530042343]","[208.79402103205285,-23.213042747505952,132.59614642501197]","[274.49971980220994,15.799381587933386,185.12102354810682]","[true,true,false]",0.0003795196757622091
