test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
30,ours linear full-dataset score + shared NPE,"[0.8186419010162354, 0.8350763320922852, 0.7339180111885071]","[0.7668554878544832, 0.7543778610408272, 0.7023627810263647]","[0.04362827225973333, 0.052670516997300916, 0.03868397296283495]","[0.6899970805644989, 0.6614094540476799, 0.6364910182356833]","[0.8342372164130211, 0.8334350764751434, 0.7651311245560646]","[-0.05178641316175214, -0.080698471051458, -0.031555230162142345]","[true, false, true]","[0.14424013584852213, 0.17202562242746344, 0.12864010632038125]",2.6166383676226648,2.332283430959115,False,True,False
31,ours linear full-dataset score + shared NPE,"[0.4550431966781616, 0.47419852018356323, 0.5706247091293335]","[0.392435397299826, 0.5516026270329961, 0.6306574075859803]","[0.04414337517854529, 0.04347421859733293, 0.03074860652761266]","[0.3220381081104279, 0.4791118602454662, 0.5802598643302918]","[0.46548366323113444, 0.6198731020092964, 0.6809290701150894]","[-0.0626077993783356, 0.07740410684943289, 0.06003269845664683]","[true, false, false]","[0.14344555512070656, 0.14076124176383015, 0.10066920578479766]",2.531460693181429e-09,2.5314606973870552e-09,True,False,False
32,ours linear full-dataset score + shared NPE,"[0.5241760015487671, 0.6595979332923889, 0.3378017544746399]","[0.49872946503758503, 0.6770365822768213, 0.31048104556404027]","[0.04310020049128031, 0.04730530344205898, 0.03134212134525836]","[0.42782267630100246, 0.5998720225691795, 0.2602923623472452]","[0.5695442214608192, 0.7560788041353226, 0.3638388864696026]","[-0.02544653651118206, 0.01743864898443237, -0.027320708910599623]","[true, true, true]","[0.14172154515981672, 0.1562067815661431, 0.10354652412235743]",1.4607452841647973e-09,1.4607453743825826e-09,True,False,False
33,ours linear full-dataset score + shared NPE,"[0.46883025765419006, 0.2836843729019165, 0.1896786391735077]","[0.4612009347000734, 0.23593689993087355, 0.21343826449341177]","[0.05303445409372588, 0.04934927831184855, 0.03436357768740459]","[0.37824597209692, 0.1642023734934628, 0.1631317407824099]","[0.5520390582084655, 0.32688699766993523, 0.2758732200413942]","[-0.0076293229541166685, -0.047747472971042954, 0.023759625319904082]","[true, true, true]","[0.17379308611154554, 0.16268462417647242, 0.11274147925898428]",1.6083586349734104e-08,1.608358622655688e-08,True,False,False
34,ours linear full-dataset score + shared NPE,"[0.3300318419933319, 0.7649827003479004, 0.3488997519016266]","[0.3296004779961243, 0.7365586330401904, 0.2829899408578877]","[0.04743383816358049, 0.05578892252970433, 0.03321630519906971]","[0.2508966225385666, 0.6417928063869476, 0.2285062926635146]","[0.40851036325097084, 0.82797996789217, 0.33740839689970015]","[-0.0004313639972076122, -0.028424067307709966, -0.06590981104373889]","[true, true, false]","[0.15761374071240425, 0.1861871615052224, 0.10890210423618554]",2.08131691631781e-12,2.081244461208121e-12,True,False,False
35,ours linear full-dataset score + shared NPE,"[0.40908774733543396, 0.2611411213874817, 0.37282657623291016]","[0.35139650000169864, 0.25240078844781, 0.41369510311037294]","[0.040928386665659074, 0.04016115982496728, 0.028936042567204095]","[0.28440543353557585, 0.18806023254990578, 0.3685661882162094]","[0.4183049747347833, 0.31881796494126324, 0.4633263771235943]","[-0.05769124733373532, -0.008740332939671691, 0.040868526877462785]","[true, true, true]","[0.13389954119920744, 0.13075773239135746, 0.09476018890738491]",1.8871059632191488e-13,1.8859612840901107e-13,True,False,False
36,ours linear full-dataset score + shared NPE,"[0.36088451743125916, 0.6850845813751221, 0.4361277222633362]","[0.3825986003962155, 0.7384409904837623, 0.4913580595159537]","[0.04632301483297084, 0.053375540190110225, 0.036395976314502976]","[0.30639817655086515, 0.6474046483635901, 0.43109938159584993]","[0.45853177160024644, 0.8233173820376396, 0.5518508759140969]","[0.02171408296495636, 0.05335640910864026, 0.0552303372526175]","[true, true, true]","[0.1521335950493813, 0.17591273367404947, 0.12075149431824694]",0.904089208514152,0.8123937848217379,False,True,False
37,ours linear full-dataset score + shared NPE,"[0.6096636652946472, 0.4053933620452881, 0.3033752739429474]","[0.6265842644238471, 0.38721446819633204, 0.2858074156518277]","[0.04529836364572717, 0.045511312241200544, 0.031989158092216835]","[0.5505058664083481, 0.3108848524838686, 0.23657896496355535]","[0.6985283297300339, 0.4601414734125137, 0.3416420416533947]","[0.016920599129199854, -0.018178893848956046, -0.017567858291119676]","[true, true, true]","[0.14802246332168578, 0.1492566209286451, 0.10506307668983933]",4.3285668167313907e-13,4.328477347572763e-13,True,False,False
38,ours linear full-dataset score + shared NPE,"[0.20087414979934692, 0.15136893093585968, 0.3199101686477661]","[0.2249543254086051, 0.22281341429435433, 0.3180316354046763]","[0.04633877260364415, 0.04786580870267155, 0.031653254063257155]","[0.16022431171964852, 0.16008017164189367, 0.2688291831314563]","[0.3058227503299713, 0.31584377095103267, 0.37289528429508206]","[0.02408017560925818, 0.07144448335849465, -0.001878533243089786]","[true, false, true]","[0.1455984386103228, 0.155763599309139, 0.10406610116362575]",0.18227974166115182,0.17553184876002292,False,True,False
39,ours linear full-dataset score + shared NPE,"[0.1594097763299942, 0.424967885017395, 0.35671356320381165]","[0.21973289602875792, 0.4507610375025859, 0.36037873364329454]","[0.04970362796983907, 0.05167180537565595, 0.03361057130840808]","[0.15760001693386583, 0.36572186410427093, 0.3019277768582106]","[0.3176311173290014, 0.5341514492034912, 0.4125873246788979]","[0.06032311969876372, 0.025793152485190873, 0.00366517043948289]","[true, true, true]","[0.16003110039513557, 0.1684295850992203, 0.11065954782068732]",0.6835043233116881,0.5832963159723874,False,True,False
40,ours linear full-dataset score + shared NPE,"[0.30373597145080566, 0.5879940390586853, 0.26307281851768494]","[0.2775911239477305, 0.7336792330253128, 0.25841643546530046]","[0.047529368766527226, 0.05662067717264793, 0.03306913199926208]","[0.19786349222064017, 0.6371733018755913, 0.20453047193586826]","[0.3563039353489876, 0.8247643986344337, 0.3139021387696266]","[-0.026144847503075164, 0.1456851939666275, -0.004656383052384472]","[true, false, true]","[0.1584404431283474, 0.18759109675884245, 0.10937166683375832]",2.0973892213903613e-12,2.0972638947422293e-12,True,False,False
41,ours linear full-dataset score + shared NPE,"[0.7359768152236938, 0.7046298980712891, 0.8351590633392334]","[0.673016912021639, 0.6577236365520946, 0.7905600010311605]","[0.051287568607844884, 0.06071539634225155, 0.035314683076712365]","[0.58693254083395, 0.5596775195002556, 0.7265364995598793]","[0.7567724594473838, 0.7575899139046669, 0.8418384897708893]","[-0.0629599032020548, -0.046906261519194414, -0.04459906230807287]","[true, true, true]","[0.16983991861343384, 0.19791239440441133, 0.11530199021100995]",0.9636218017092117,0.9465506206015646,False,True,False
42,ours linear full-dataset score + shared NPE,"[0.16901865601539612, 0.25123515725135803, 0.7941722273826599]","[0.19801618209613786, 0.2195870348591483, 0.8198338375294224]","[0.029055321845899835, 0.03559099581231692, 0.019770449238115037]","[0.15628655173815786, 0.16519419541582464, 0.7831152561306953]","[0.24976417109370236, 0.2813628191500902, 0.8466036814451218]","[0.028997526080741742, -0.03164812239220974, 0.025661610146762492]","[true, true, true]","[0.0934776193555445, 0.11616862373426556, 0.06348842531442644]",1.5896827269675501e-07,1.5896827309881808e-07,True,False,False
43,ours linear full-dataset score + shared NPE,"[0.7711024284362793, 0.6756992340087891, 0.7717226147651672]","[0.7083378527033342, 0.6553584576898829, 0.7431931227135657]","[0.049829594325959535, 0.055097913421192614, 0.035761306329803205]","[0.6239432010054587, 0.5638247835636139, 0.6840267816185951]","[0.7864459043741225, 0.7448505473136903, 0.8000990372896194]","[-0.06276457573294514, -0.020340776318906184, -0.02852949205160149]","[true, true, true]","[0.1625027033686638, 0.1810257637500764, 0.1160722556710243]",6.16163921612913e-13,6.161721383352646e-13,True,False,False
44,ours linear full-dataset score + shared NPE,"[0.6034439206123352, 0.2322896271944046, 0.20862364768981934]","[0.6498808383572092, 0.22633180601483832, 0.20591896545617097]","[0.04682089183539365, 0.04372415423894757, 0.030532793923035817]","[0.5727347588539123, 0.16431142672896384, 0.1608564784331247]","[0.7260427987575531, 0.29612086825072764, 0.25909874200820926]","[0.04643691774487402, -0.0059578211795662805, -0.0027046822336483645]","[true, true, true]","[0.15330803990364072, 0.1318094415217638, 0.09824226357508456]",1.3740987592961969e-13,1.373909067299175e-13,True,False,False
45,ours linear full-dataset score + shared NPE,"[0.5332647562026978, 0.8478276133537292, 0.46407952904701233]","[0.6053385843348507, 0.7568985207438457, 0.4325012170934685]","[0.04908708134219705, 0.0469712164446839, 0.03732279985473457]","[0.5239444065093993, 0.6761638262867927, 0.3718163669109344]","[0.6868423146009446, 0.8309783029556275, 0.4932278020679951]","[0.0720738281321529, -0.09092909260988358, -0.031578311953543825]","[true, false, true]","[0.16289790809154525, 0.15481447666883474, 0.12141143515706071]",2.4110023153265123,1.6964470275912502,False,True,False
46,ours linear full-dataset score + shared NPE,"[0.7648411393165588, 0.5209066271781921, 0.5981040000915527]","[0.7221277704501142, 0.4604093712809673, 0.571358100371957]","[0.04098544522480752, 0.04335370835472607, 0.030169422276430505]","[0.6546188634634018, 0.3892396076023578, 0.5216733932495117]","[0.7898851853609085, 0.5327057990431786, 0.621236190199852]","[-0.04271336886644461, -0.06049725589722482, -0.026745899719595734]","[true, true, true]","[0.13526632189750665, 0.1434661914408208, 0.09956279695034032]",6.331643238917664e-14,6.330516243867463e-14,True,False,False
47,ours linear full-dataset score + shared NPE,"[0.43928763270378113, 0.629214346408844, 0.19327397644519806]","[0.3891016246117651, 0.6097356284475316, 0.20862548828639538]","[0.042438947865236415, 0.04533021973057691, 0.027371648348030193]","[0.32135034777224064, 0.5360409367084503, 0.16584430866874753]","[0.46194755196571347, 0.6837742036581039, 0.252874646782875]","[-0.05018600809201601, -0.019478717961312397, 0.015351511841197318]","[true, true, true]","[0.14059720419347282, 0.1477332669496536, 0.0870303381141275]",2.008312609098831e-13,2.0081472620316362e-13,True,False,False
48,ours linear full-dataset score + shared NPE,"[0.39165812730789185, 0.4412103593349457, 0.5161562561988831]","[0.3351922309690708, 0.48728098251879165, 0.49211291479766206]","[0.04078883731465013, 0.041772876824850085, 0.02725966759371692]","[0.27101745501160623, 0.41828985214233394, 0.44668228164315216]","[0.4018435634672642, 0.5559327700734138, 0.5359864065051079]","[-0.05646589633882104, 0.04607062318384597, -0.024043341401220997]","[true, true, true]","[0.13082610845565795, 0.13764291793107986, 0.08930412486195571]",1.4356689298581982e-12,1.4356749591287233e-12,True,False,False
49,ours linear full-dataset score + shared NPE,"[0.4881109595298767, 0.46849459409713745, 0.5074059963226318]","[0.5098361101681, 0.4615824246543647, 0.47877800074756216]","[0.043198899439223185, 0.047060815897522174, 0.03169708034081368]","[0.43984810277819625, 0.3856775017082691, 0.4264603652060032]","[0.5793982291221619, 0.5405914163589478, 0.5310450175404549]","[0.021725150638223334, -0.006912169442772731, -0.028627995575069676]","[true, true, true]","[0.13955012634396563, 0.15491391465067872, 0.10458465233445163]",2.7110467680148855e-13,2.711395174010834e-13,True,False,False
50,ours linear full-dataset score + shared NPE,"[0.6435026526451111, 0.304836243391037, 0.6426960825920105]","[0.6183742783689496, 0.32688068702191136, 0.6675079337227352]","[0.040122388379894534, 0.04110599149120768, 0.030423816955577818]","[0.5528993394970894, 0.2620361872017383, 0.6182525333762169]","[0.6846785092353821, 0.39564420282840734, 0.7194441685080528]","[-0.025128374276161436, 0.022044443630874377, 0.024811851130724705]","[true, true, true]","[0.13177916973829273, 0.13360801562666902, 0.10119163513183593]",5.658997430299184e-13,5.658589804713342e-13,True,False,False
51,ours linear full-dataset score + shared NPE,"[0.353398859500885, 0.16956067085266113, 0.37758564949035645]","[0.29131421750230635, 0.21383665230054025, 0.4226342217788094]","[0.04818265729959903, 0.04716737316772411, 0.033231832240362205]","[0.21771289590746162, 0.15623469606041906, 0.371830196082592]","[0.37347696587443346, 0.30733540333807474, 0.47992940232157705]","[-0.06208464199857866, 0.044275981447879115, 0.04504857228845294]","[true, true, true]","[0.15576406996697184, 0.15110070727765568, 0.10809920623898506]",1.2462002101252467,0.756112243354053,False,True,False
52,ours linear full-dataset score + shared NPE,"[0.22114337980747223, 0.5247094035148621, 0.41497910022735596]","[0.22050403511827354, 0.5368550290769344, 0.37538566277891333]","[0.04839385123623695, 0.04713594759602514, 0.030832094446060606]","[0.16003708091098814, 0.461589557081461, 0.32917482331395154]","[0.32368403457105166, 0.6171797534823417, 0.42751311898231503]","[-0.0006393446891986843, 0.012145625562072326, -0.039593437448442625]","[true, true, true]","[0.16364695366006352, 0.15559019640088068, 0.0983382956683635]",0.5193231143891247,0.473376160762548,False,True,False
53,ours linear full-dataset score + shared NPE,"[0.648792564868927, 0.45278748869895935, 0.7042837738990784]","[0.6594891585069897, 0.5281954223799697, 0.7895891807055473]","[0.04776030791502916, 0.05048126153222077, 0.03379421676524172]","[0.5797043713927269, 0.44315914317965505, 0.7301571640372276]","[0.73578150421381, 0.6088426905870438, 0.8398260480165481]","[0.010696593638062746, 0.0754079336810104, 0.08530540680646892]","[true, true, false]","[0.15607713282108304, 0.16568354740738872, 0.10966888397932051]",2.44283635211714,2.3429297629912487,False,True,False
54,ours linear full-dataset score + shared NPE,"[0.28592655062675476, 0.571823239326477, 0.8397762179374695]","[0.24014388975683001, 0.49460451615244194, 0.785269285888675]","[0.040795363529276644, 0.05132679592455829, 0.0310112146070078]","[0.17293220786377786, 0.41188582330942153, 0.7326249900460243]","[0.3098007702827454, 0.5780981931090355, 0.8350606247782707]","[-0.045782660869924746, -0.07721872317403511, -0.05450693204879453]","[true, true, false]","[0.13686856241896753, 0.166212369799614, 0.10243563473224637]",2.0984101713482146,2.0136884375563517,False,True,False
55,ours linear full-dataset score + shared NPE,"[0.6970400810241699, 0.7142921686172485, 0.25214239954948425]","[0.6699015182960035, 0.7422476456248743, 0.2544791439713819]","[0.05059988834482757, 0.0508933719941602, 0.03404980363515069]","[0.5852688637375831, 0.6563032728433609, 0.199743183106184]","[0.7520354226231576, 0.822965717613697, 0.31094719797372816]","[-0.027138562728166393, 0.027955477007625795, 0.0023367444218976297]","[true, true, true]","[0.16676655888557446, 0.1666624447703361, 0.11120401486754417]",3.42483451788374e-13,3.4252340679600487e-13,True,False,False
56,ours linear full-dataset score + shared NPE,"[0.5824708342552185, 0.6140996217727661, 0.5308200120925903]","[0.5993864490723597, 0.6832242290502785, 0.5215003856140379]","[0.041179002188731696, 0.046861685975985896, 0.02997214463859776]","[0.5338740479946136, 0.6063427355885506, 0.4726748731732368]","[0.6667962950468063, 0.7601506158709526, 0.570387104153633]","[0.01691561481714121, 0.06912460727751235, -0.009319626478552445]","[true, true, true]","[0.1329222470521927, 0.153807880282402, 0.09771223098039622]",8.560707472591911e-13,8.56064182028912e-13,True,False,False
57,ours linear full-dataset score + shared NPE,"[0.6746050119400024, 0.19097594916820526, 0.6693199872970581]","[0.6810805619084856, 0.2346962706997399, 0.6206838659846788]","[0.048618974539829045, 0.057278745781054366, 0.037308035612993395]","[0.6051080006361007, 0.1628738185297698, 0.5632104191184044]","[0.7563788485527039, 0.3452525110542774, 0.684921868443489]","[0.006475549968483207, 0.04372032153153463, -0.048636121312379266]","[true, true, true]","[0.15127084791660317, 0.1823786925245076, 0.1217114493250846]",1.8153739442038621,1.4829495008885132,False,True,False
58,ours linear full-dataset score + shared NPE,"[0.17370809614658356, 0.19239109754562378, 0.16948789358139038]","[0.24748039027456945, 0.2283188956881535, 0.19301353395963253]","[0.047988687984452987, 0.05154517606855918, 0.030798224200997537]","[0.17894493361935018, 0.15873468805570157, 0.15404008073033765]","[0.3311417460441591, 0.32335839398205285, 0.2524142114073038]","[0.07377229412798589, 0.03592779814252972, 0.023525640378242146]","[false, true, true]","[0.1521968124248089, 0.16462370592635128, 0.09837413067696615]",2.381446034260139,0.2554567519184556,False,True,False
59,ours linear full-dataset score + shared NPE,"[0.2476489096879959, 0.36943620443344116, 0.6996678709983826]","[0.22108955303517142, 0.3238964643993048, 0.6490484735035883]","[0.046230155136933834, 0.05519884744015983, 0.03000299764363797]","[0.16190125612542033, 0.24493023827672006, 0.6021718582510948]","[0.29553278632462027, 0.425050680488348, 0.6987885889410973]","[-0.026559356652824495, -0.045539740034136356, -0.05061939749479427]","[true, true, false]","[0.13363153019919993, 0.18012044221162793, 0.09661673069000254]",0.5570732694597691,0.527966973232619,False,True,False
60,ours linear full-dataset score + shared NPE,"[0.6132141351699829, 0.5637159943580627, 0.49089622497558594]","[0.6156907069140649, 0.562388018056752, 0.5089684201693525]","[0.045645428780619786, 0.046275046943861156, 0.03167060499004219]","[0.5423315930366517, 0.4868920418620109, 0.4581694479286671]","[0.6929681620001793, 0.6379720225930214, 0.5610667222738266]","[0.002476571744082001, -0.0013279763013107626, 0.01807219519376657]","[true, true, true]","[0.15063656896352762, 0.15107998073101053, 0.1028972743451595]",3.586210690359218e-11,3.586211322063569e-11,True,False,False
61,ours linear full-dataset score + shared NPE,"[0.43195846676826477, 0.7765629291534424, 0.5475881695747375]","[0.4815259390044208, 0.7188778802299509, 0.4962076550161829]","[0.044871749534538506, 0.05712600145900779, 0.0332912893999293]","[0.4079037687182427, 0.6255344799160958, 0.4423048982024193]","[0.5562342226505279, 0.8142532789707184, 0.5511936512589455]","[0.04956747223615604, -0.057685048923491467, -0.051380514558554635]","[true, true, true]","[0.14833045393228522, 0.18871879905462263, 0.10888875305652618]",4.036646935072946e-13,4.036555219689162e-13,True,False,False
62,ours linear full-dataset score + shared NPE,"[0.15162350237369537, 0.827583372592926, 0.7128254771232605]","[0.21822208965190062, 0.7652542959666259, 0.749876296628715]","[0.038297512048878074, 0.047590248947654665, 0.03413883213506157]","[0.16092641009017825, 0.6809374085068702, 0.69361790984869]","[0.28563748933374883, 0.837031247317791, 0.8052175644040107]","[0.06659858727820525, -0.06232907662630016, 0.037050819505454524]","[false, true, true]","[0.12471107924357058, 0.15609383881092076, 0.11159965455532073]",3.4697838002496215e-13,3.468476747828561e-13,True,False,False
63,ours linear full-dataset score + shared NPE,"[0.3236696124076843, 0.5109802484512329, 0.46932852268218994]","[0.3406878299584977, 0.5025889235109089, 0.4431445811724663]","[0.04190259033306142, 0.048444316887377756, 0.030456700640557433]","[0.2744912343472242, 0.4293266555666923, 0.3956088517606258]","[0.41071561962366104, 0.5856530305743217, 0.49287955895066266]","[0.017018217550813397, -0.008391324940324019, -0.02618394150972364]","[true, true, true]","[0.13622438527643682, 0.15632637500762941, 0.09727070719003683]",4.4741240754614404e-13,4.4747443028420044e-13,True,False,False
64,ours linear full-dataset score + shared NPE,"[0.1962602138519287, 0.3466756045818329, 0.3970346748828888]","[0.26068419518985814, 0.37725007522106113, 0.3844216368141776]","[0.04383049670630319, 0.04506720183143823, 0.03052741779663581]","[0.19314078263938425, 0.3050226506590843, 0.3331017802655697]","[0.33620823904871944, 0.45320309489965444, 0.4338448643684387]","[0.06442398133792943, 0.030574470639228246, -0.012613038068711169]","[true, true, true]","[0.1430674564093352, 0.14818044424057014, 0.10074308410286903]",6.877102205129394e-14,6.874360754774305e-14,True,False,False
65,ours linear full-dataset score + shared NPE,"[0.3466476500034332, 0.20850993692874908, 0.6581909656524658]","[0.34696887856617503, 0.22576060201703135, 0.7125006781291967]","[0.0418021975117352, 0.03850892622481795, 0.0342334572631268]","[0.2790896670520306, 0.16567706127651036, 0.6580654522776603]","[0.4170200310647488, 0.29311348758637906, 0.7704378089308739]","[0.00032122856274180434, 0.01725066508828227, 0.05430971247673089]","[true, true, true]","[0.1379303640127182, 0.1274364263098687, 0.11237235665321355]",1.4317383248740969e-05,1.4317383248741289e-05,True,False,False
66,ours linear full-dataset score + shared NPE,"[0.7798730731010437, 0.5542789101600647, 0.630500853061676]","[0.7475266907823109, 0.5337797098666429, 0.6427973010104902]","[0.04148723010854839, 0.04575025705933012, 0.031187649606830365]","[0.6794303375482559, 0.4594615387916564, 0.5924097460508346]","[0.8163386070728302, 0.6091542610526085, 0.6938495197892189]","[-0.03234638231873277, -0.020499200293421782, 0.012296447948814127]","[true, true, true]","[0.13690826952457436, 0.1496927222609521, 0.10143977373838431]",1.4888972735270737e-12,1.4889052314466085e-12,True,False,False
67,ours linear full-dataset score + shared NPE,"[0.5850896239280701, 0.2033321112394333, 0.7259693741798401]","[0.5329962383800754, 0.25059353655872335, 0.7859906961166849]","[0.041816667886220474, 0.03977454809734171, 0.03234196015690798]","[0.4646237021684646, 0.1843325476720929, 0.7309847509860992]","[0.6036143478751183, 0.3167175142467022, 0.8378455767035484]","[-0.0520933855479947, 0.04726142531929006, 0.06002132193684484]","[true, true, false]","[0.13899064570665365, 0.1323849665746093, 0.10686082571744926]",4.524229437765882e-11,4.524243319014928e-11,True,False,False
68,ours linear full-dataset score + shared NPE,"[0.1787826418876648, 0.3575385808944702, 0.2037234902381897]","[0.2053854929426337, 0.37387294864207504, 0.20155208036027436]","[0.04142977522761104, 0.05521301433302478, 0.03312341365566293]","[0.15519501722650603, 0.2828361354768276, 0.15646574879996478]","[0.2806075052171946, 0.4660603234171868, 0.2636057309061288]","[0.0266028510549689, 0.016334367747604828, -0.002171409877915337]","[true, true, true]","[0.12541248799068855, 0.18322418794035916, 0.10713998210616404]",4.2791510505514914e-08,4.279151063384274e-08,True,False,False
69,ours linear full-dataset score + shared NPE,"[0.7080790400505066, 0.16288936138153076, 0.40549054741859436]","[0.7458294528627405, 0.25481527246448593, 0.42411701702952426]","[0.04120587242372374, 0.043041391347480154, 0.028548651102603677]","[0.6786203536391259, 0.18858611280098556, 0.37881566032767294]","[0.8147381761670113, 0.32775828137993823, 0.4717153812944889]","[0.0377504128122339, 0.09192591108295517, 0.018626469610929897]","[true, false, true]","[0.1361178225278854, 0.13917216857895268, 0.09289972096681598]",2.3871838263124283e-13,2.3858393155919655e-13,True,False,False
70,ours linear full-dataset score + shared NPE,"[0.21014152467250824, 0.18116912245750427, 0.2789314091205597]","[0.22957814509774693, 0.22640701243570338, 0.2509140550944135]","[0.05042467736099142, 0.050552000871239164, 0.032744093327373706]","[0.15987218103837222, 0.16042765226680786, 0.20166285712271928]","[0.31811335988342765, 0.3251960878074169, 0.3051865385472774]","[0.019436620425238693, 0.04523788997819911, -0.02801735402614619]","[true, true, true]","[0.15824117884505542, 0.16476843554060902, 0.10352368142455812]",0.24726250592641053,0.20623842913233456,False,True,False
71,ours linear full-dataset score + shared NPE,"[0.8455197215080261, 0.5394134521484375, 0.48146697878837585]","[0.6999447728133188, 0.5315191155284642, 0.4599247145420325]","[0.04357342659392772, 0.04658941969345489, 0.03099600749774369]","[0.623224891424179, 0.4551452402770519, 0.4092070393264293]","[0.7669413420557976, 0.6078945568203926, 0.5101723811030389]","[-0.14557494869470733, -0.007894336619973297, -0.021542264246343368]","[false, true, true]","[0.14371645063161853, 0.15274931654334073, 0.10096534177660954]",1.4761504772152838e-08,1.4761504900345743e-08,True,False,False
72,ours linear full-dataset score + shared NPE,"[0.592112123966217, 0.38079118728637695, 0.4744180142879486]","[0.5702631170326473, 0.3569748314817259, 0.45752583455801094]","[0.04052236150099726, 0.04234311876157237, 0.02927966879592708]","[0.5034260547161102, 0.2875228050351143, 0.41048478260636323]","[0.6366916924715041, 0.42581472292542455, 0.5052367666363716]","[-0.021849006933569726, -0.02381635580465108, -0.016892179729937673]","[true, true, true]","[0.1332656377553939, 0.13829191789031026, 0.0947519840300084]",3.9906274853887046e-05,3.990627485385493e-05,True,False,False
73,ours linear full-dataset score + shared NPE,"[0.42627087235450745, 0.419717013835907, 0.2729575037956238]","[0.47138071802109605, 0.45573127922415807, 0.29174474926754906]","[0.04221976554153278, 0.045214280604036934, 0.02958863113951109]","[0.4016977939009666, 0.38042740970849986, 0.24432197533547878]","[0.541075020134449, 0.5301295197010041, 0.3414021746814251]","[0.0451098456665886, 0.03601426538825109, 0.018787245471925285]","[true, true, true]","[0.13937722623348237, 0.14970210999250422, 0.0970801993459463]",3.4696394769943803e-13,3.469784176910698e-13,True,False,False
74,ours linear full-dataset score + shared NPE,"[0.26155713200569153, 0.5828635692596436, 0.5931220650672913]","[0.35227019444256996, 0.5914836308246848, 0.563595717898609]","[0.04396881448085564, 0.04563370682365149, 0.03369869889176448]","[0.28250668346881863, 0.5166797041893005, 0.5093272390961647]","[0.42514178737998004, 0.6646504327654839, 0.6207531997561454]","[0.09071306243687843, 0.008620061565041248, -0.0295263471686823]","[false, true, true]","[0.1426351039111614, 0.14797072857618332, 0.11142596065998067]",3.264767005788987e-13,3.264782953936746e-13,True,False,False
75,ours linear full-dataset score + shared NPE,"[0.8233585357666016, 0.339224636554718, 0.6658146381378174]","[0.7868047052013872, 0.33063923438116827, 0.6261813668471592]","[0.040247120007035286, 0.04621988780638601, 0.03074834288442708]","[0.711802187860012, 0.25459762878715997, 0.5755708280205727]","[0.8415711897611619, 0.40667503044009207, 0.675428831577301]","[-0.03655383056521433, -0.00858540217354975, -0.03963327129065819]","[true, true, true]","[0.12976900190114982, 0.1520774016529321, 0.09985800355672836]",8.453123512015126e-13,8.45273578572645e-13,True,False,False
76,ours linear full-dataset score + shared NPE,"[0.5664742588996887, 0.39147549867630005, 0.7857506275177002]","[0.5315155375969409, 0.3126884599004496, 0.7476809817635992]","[0.04560209089510946, 0.04704568602948717, 0.029759960572144716]","[0.4541225439310073, 0.23973742760717867, 0.6989139860868454]","[0.6028969061374664, 0.39295956507325175, 0.7954833337664604]","[-0.0349587213027478, -0.07878703877585047, -0.03806964575410099]","[true, true, true]","[0.14877436220645907, 0.15322213746607308, 0.096569347679615]",3.639827181222832e-13,3.640446860888328e-13,True,False,False
77,ours linear full-dataset score + shared NPE,"[0.30914729833602905, 0.31194785237312317, 0.6194939017295837]","[0.2969791921192218, 0.40201745709806685, 0.6812611696386344]","[0.04429541901867843, 0.04695081936717495, 0.03099760798885536]","[0.2243453162536025, 0.3247379195690155, 0.6314001327753067]","[0.3703260394930839, 0.4797764354944229, 0.7329961141943931]","[-0.01216810621680725, 0.09006960472494369, 0.06176726790905063]","[true, false, false]","[0.1459807232394814, 0.1550385159254074, 0.10159598141908643]",7.780698670962888e-13,7.781197490043628e-13,True,False,False
78,ours linear full-dataset score + shared NPE,"[0.6938978433609009, 0.6430899500846863, 0.31098851561546326]","[0.7063427898931496, 0.7141953770387172, 0.32797506451979314]","[0.04345553298726644, 0.04636781788851948, 0.03544940448628303]","[0.6358681672811508, 0.6359108272194862, 0.2732674585282802]","[0.77828006118536, 0.7898126453161239, 0.39047169417142863]","[0.012444946532248702, 0.07110542695403088, 0.01698654890432988]","[true, true, true]","[0.14241189390420916, 0.15390181809663772, 0.11720423564314841]",3.499293751544001e-09,3.499293739930885e-09,True,False,False
79,ours linear full-dataset score + shared NPE,"[0.6340157985687256, 0.6520825624465942, 0.1796959787607193]","[0.6550577151131645, 0.6987543173539651, 0.1878643271334347]","[0.04512213991464399, 0.051061026276386826, 0.025743151954624937]","[0.5805612188577652, 0.6127737843990325, 0.15438838131492957]","[0.7294895523786544, 0.7802816861867905, 0.23352688539773225]","[0.021041916544438877, 0.046671754907370855, 0.008168348372715406]","[true, true, true]","[0.1489283335208892, 0.16750790178775798, 0.07913850408280268]",3.851697282825543e-13,3.8510863467147173e-13,True,False,False
80,ours linear full-dataset score + shared NPE,"[0.378365695476532, 0.7581413388252258, 0.1734493374824524]","[0.3368372169198094, 0.6825976342475406, 0.1810641784213189]","[0.0435926159776592, 0.049629224436833375, 0.022969192205421637]","[0.2657056345045566, 0.6019709858298302, 0.15307686842512339]","[0.40988421395421026, 0.7655524647235871, 0.2232017059251666]","[-0.04152847855672259, -0.07554370457768522, 0.007614840938866496]","[true, true, true]","[0.14417857944965368, 0.16358147889375685, 0.07012483750004322]",4.662283208003197e-13,4.662793429586595e-13,True,False,False
