method,family,stage1_seed,n_test,posterior_mean_rmse_to_exact,posterior_mean_mae_to_exact,posterior_sd_mae_to_exact,interval_endpoint_mae_to_exact,interval_width_mae_to_exact,w1_to_exact
Jiang official Round 1 summed-block score + shared NPE,jiang_round1,20260731,100,0.030138896048828568,0.024680829531970816,0.0073817034147146375,0.022250089564011522,0.02542322059676736,0.025233620029732968
ours linear full-dataset score [stage1 seed 20260709] + shared NPE,ours_linear,20260709,100,0.016408116186631412,0.01271023628414068,0.004980322387671752,0.012339319415928123,0.01650658140666257,0.013513386043477205
ours linear full-dataset score [stage1 seed 20260710] + shared NPE,ours_linear,20260710,100,0.016452993089388083,0.012825807690795105,0.005273473056229368,0.012969460233101433,0.01774315754043225,0.013719694233516093
ours linear full-dataset score [stage1 seed 20260711] + shared NPE,ours_linear,20260711,100,0.01701258701851653,0.012750693100542417,0.004825546249871166,0.012889295118500598,0.01640562550878154,0.01356612206158843
ours linear full-dataset score [stage1 seed 20260712] + shared NPE,ours_linear,20260712,100,0.015968752306231928,0.012775617091819654,0.004922306989781396,0.012548873900451065,0.016853026678025886,0.013660231800006415
ours linear full-dataset score [stage1 seed 20260713] + shared NPE,ours_linear,20260713,100,0.01626976786467972,0.012792331671647719,0.004559471178582102,0.012266645543194682,0.015861558900403857,0.013470301170694395
ours nonlinear-gate full-dataset score [stage1 seed 20260709] + shared NPE,ours_nonlinear,20260709,100,0.012995958383286798,0.009935164923292336,0.0045269620352483865,0.010649058442124923,0.014802853695788593,0.011032089366844928
ours nonlinear-gate full-dataset score [stage1 seed 20260710] + shared NPE,ours_nonlinear,20260710,100,0.01589625545562479,0.012333763801136852,0.005095952861525041,0.012603071368880234,0.01695397620179551,0.01330294678508524
ours nonlinear-gate full-dataset score [stage1 seed 20260711] + shared NPE,ours_nonlinear,20260711,100,0.016295990303378985,0.012231271849382209,0.004970568141870206,0.012399710315007341,0.01652231165786637,0.013209774641156502
ours nonlinear-gate full-dataset score [stage1 seed 20260712] + shared NPE,ours_nonlinear,20260712,100,0.014407239463840187,0.011162117711165744,0.0046259895136991505,0.01152657853269732,0.015774030250613726,0.01212618717922518
ours nonlinear-gate full-dataset score [stage1 seed 20260713] + shared NPE,ours_nonlinear,20260713,100,0.014511852300983298,0.011074891559816976,0.004710227642795752,0.011452442827468328,0.015610065904126239,0.012169637422990532
shared data-only pilot + NPE,pilot_only,,100,0.037398245272220056,0.029412233538396365,0.007880247654188927,0.026062059092597997,0.027106092373189596,0.029814111865751017
