family,n_stage1_fits,n_test_per_fit,posterior_mean_rmse_to_exact,posterior_mean_rmse_to_exact_stage1_sd,posterior_mean_mae_to_exact,posterior_mean_mae_to_exact_stage1_sd,posterior_sd_mae_to_exact,posterior_sd_mae_to_exact_stage1_sd,interval_endpoint_mae_to_exact,interval_endpoint_mae_to_exact_stage1_sd,interval_width_mae_to_exact,interval_width_mae_to_exact_stage1_sd,w1_to_exact,w1_to_exact_stage1_sd
pilot_only,1,100,0.037398245272220056,0.0,0.029412233538396365,0.0,0.007880247654188927,0.0,0.026062059092597997,0.0,0.027106092373189596,0.0,0.029814111865751017,0.0
jiang_round1,1,100,0.030138896048828568,0.0,0.024680829531970816,0.0,0.0073817034147146375,0.0,0.022250089564011522,0.0,0.02542322059676736,0.0,0.025233620029732968,0.0
ours_linear,5,100,0.016422443293089537,0.00038031351234545574,0.012770937167789116,4.354543694128022e-05,0.004912223972427157,0.0002584509252734034,0.01260271884223518,0.000316957807821188,0.016673990006861223,0.0006955686145977347,0.013585947061856507,0.00010300319462944939
ours_nonlinear,5,100,0.014821459181422811,0.0013161797578124278,0.011347441968958823,0.0009819803045283857,0.004785940039027707,0.00023905105647621165,0.011726172297235628,0.0007901811807377037,0.01593264754203809,0.0008361322404406737,0.012368127079060477,0.0009307508163729487
