step,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_step,best_source,grad_norm,learning_rate
1,23.595746994018555,25.04144970703125,25.04275671386719,25.04144970703125,1,raw,1.0280708074569702,0.0001
100,26.921886444091797,24.79594659423828,25.003232543945312,24.79594659423828,100,raw,1.8956279754638672,0.0001
200,24.23235321044922,24.37205743408203,24.864553649902344,24.37205743408203,200,raw,2.910207748413086,0.0001
300,22.484912872314453,24.188602661132812,24.62017932128906,24.188602661132812,300,raw,2.5260679721832275,0.0001
400,25.460506439208984,24.1267587890625,24.404925048828126,24.1267587890625,400,raw,3.8588526248931885,0.0001
500,21.80478286743164,24.09497119140625,24.24909130859375,24.09497119140625,500,raw,3.592085838317871,0.0001
600,24.745868682861328,24.06533087158203,24.157961547851563,24.06533087158203,600,raw,4.114851474761963,0.0001
700,21.550642013549805,24.033172119140627,24.09777752685547,24.033172119140627,700,raw,4.732118129730225,0.0001
800,21.931493759155273,23.984020263671876,24.049421875,23.984020263671876,800,raw,4.970622539520264,0.0001
900,22.317447662353516,23.941283203125,24.00184942626953,23.941283203125,900,raw,5.837170124053955,0.0001
1000,23.549978256225586,23.902766723632812,23.95975079345703,23.902766723632812,1000,raw,6.808794975280762,0.0001
1100,23.347270965576172,23.86657763671875,23.922833557128907,23.86657763671875,1100,raw,7.379337310791016,0.0001
1200,21.833011627197266,23.806259033203126,23.880158325195314,23.806259033203126,1200,raw,7.792317867279053,0.0001
1300,22.370378494262695,23.781091186523437,23.833239440917968,23.781091186523437,1300,raw,9.154536247253418,0.0001
1400,21.85854721069336,23.75280676269531,23.796121215820314,23.75280676269531,1400,raw,9.193217277526855,0.0001
1500,20.407791137695312,23.719565307617188,23.76020294189453,23.719565307617188,1500,raw,9.67870044708252,0.0001
1600,24.622432708740234,23.675722106933595,23.721597045898438,23.675722106933595,1600,raw,11.437430381774902,0.0001
1700,21.73980712890625,23.63830712890625,23.67995837402344,23.63830712890625,1700,raw,11.701608657836914,0.0001
1800,21.482072830200195,23.6685712890625,23.653462158203126,23.63830712890625,1700,raw,12.366201400756836,0.0001
1900,19.3452091217041,23.66797497558594,23.644926025390625,23.63830712890625,1700,raw,12.659814834594727,0.0001
2000,21.821304321289062,23.68626007080078,23.642482299804687,23.63830712890625,1700,raw,13.895562171936035,0.0001
2100,24.083816528320312,23.66861053466797,23.647693542480468,23.63830712890625,1700,raw,14.761785507202148,0.0001
2200,22.4674072265625,23.704019592285157,23.652555114746093,23.63830712890625,1700,raw,14.844156265258789,0.0001
2300,19.996810913085938,23.708186279296875,23.665269409179686,23.63830712890625,1700,raw,14.67233657836914,0.0001
2400,22.794919967651367,23.736265747070313,23.68476251220703,23.63830712890625,1700,raw,16.257143020629883,0.0001
2500,20.759685516357422,23.785986206054687,23.702658142089845,23.63830712890625,1700,raw,15.841023445129395,0.0001
2600,22.986265182495117,23.851985473632812,23.73722802734375,23.63830712890625,1700,raw,17.30120086669922,0.0001
2700,21.037628173828125,23.88601025390625,23.77848596191406,23.63830712890625,1700,raw,17.807876586914062,0.0001
2800,19.664520263671875,23.959350219726563,23.822669311523438,23.63830712890625,1700,raw,18.856124877929688,0.0001
2900,22.724843978881836,24.02875476074219,23.876958129882812,23.63830712890625,1700,raw,19.471139907836914,0.0001
3000,17.79195213317871,24.0545625,23.917153076171875,23.63830712890625,1700,raw,18.671186447143555,0.0001
3100,20.017148971557617,24.145043701171875,23.969261596679686,23.63830712890625,1700,raw,20.695762634277344,0.0001
3200,19.40247344970703,24.245956298828126,24.03380975341797,23.63830712890625,1700,raw,20.396472930908203,0.0001
3300,20.993192672729492,24.308555603027344,24.115336547851562,23.63830712890625,1700,raw,23.654865264892578,0.0001
3400,18.70610237121582,24.383918090820313,24.179046325683593,23.63830712890625,1700,raw,22.66023063659668,0.0001
3500,19.753610610961914,24.53876202392578,24.259680603027345,23.63830712890625,1700,raw,25.951391220092773,0.0001
3600,19.733745574951172,24.70433270263672,24.381624450683592,23.63830712890625,1700,raw,25.747499465942383,0.0001
3700,20.379066467285156,24.87904406738281,24.519602844238282,23.63830712890625,1700,raw,28.907548904418945,0.0001
3800,19.07889175415039,25.06854870605469,24.652715698242186,23.63830712890625,1700,raw,30.373889923095703,0.0001
3900,17.511680603027344,25.108322326660158,24.789272705078126,23.63830712890625,1700,raw,29.436819076538086,0.0001
4000,18.855587005615234,25.31698223876953,24.92681774902344,23.63830712890625,1700,raw,31.16999626159668,0.0001
4100,16.23383331298828,25.529090026855467,25.073161376953124,23.63830712890625,1700,raw,31.51217269897461,0.0001
4200,19.83810043334961,25.764050598144532,25.267487426757814,23.63830712890625,1700,raw,36.15432357788086,0.0001
4300,17.31477165222168,26.011175048828125,25.473607971191406,23.63830712890625,1700,raw,35.00863265991211,0.0001
4400,16.994537353515625,26.236671447753906,25.6786474609375,23.63830712890625,1700,raw,36.877655029296875,0.0001
4500,17.096965789794922,26.515471069335938,25.906165649414064,23.63830712890625,1700,raw,36.42082977294922,0.0001
4600,15.878835678100586,26.689532287597658,26.127677490234376,23.63830712890625,1700,raw,38.21624755859375,0.0001
4700,15.75756549835205,26.984450439453123,26.349981567382812,23.63830712890625,1700,raw,38.616695404052734,0.0001
4800,17.0101375579834,27.203381591796877,26.592348510742188,23.63830712890625,1700,raw,41.15813446044922,0.0001
4900,16.672618865966797,27.37239874267578,26.81712255859375,23.63830712890625,1700,raw,41.28289794921875,0.0001
5000,15.79080867767334,27.636771057128907,27.038905029296874,23.63830712890625,1700,raw,40.43132400512695,0.0001
