truth_index,truth_label,method,grid_index,radius,angle_degrees,h_x,h_y,truth_delta,mean_estimated_delta,mse_across_datasets,coverage95,mean_width95
0,low,Linear,0,12.558511058242537,0.0,12.558511058242537,0.0,1.3190112339864741,1.3165432006295321,6.493883888451844e-05,0.96,0.037019508609411805
0,low,Linear,1,12.558511058242537,22.5,11.60255132552694,4.80593411716319,1.3436816486558703,1.3427282415242745,8.089807913776311e-05,0.92,0.0419172194505286
0,low,Linear,2,12.558511058242537,45.0,8.880208330889543,8.880208330889543,1.3826427943818416,1.3820727916419273,9.098818590330122e-05,0.96,0.04488307661873548
0,low,Linear,3,12.558511058242537,67.5,4.805934117163191,11.60255132552694,1.4120280849015423,1.4108294977671485,8.802828632514815e-05,0.99,0.04734307203789522
0,low,Linear,4,12.558511058242537,90.0,7.689870184766681e-16,12.558511058242537,1.4186557965694482,1.4163043774274147,7.929322628428633e-05,0.97,0.04627587784806742
0,low,Linear,5,12.558511058242537,112.5,-4.805934117163189,11.60255132552694,1.4000390307305155,1.3964630650762162,7.085236105149127e-05,0.97,0.04350492859935866
0,low,Linear,6,12.558511058242537,135.0,-8.880208330889543,8.880208330889543,1.363600457742448,1.3592492138205796,6.516500240610136e-05,0.99,0.038772952601511916
0,low,Linear,7,12.558511058242537,157.5,-11.60255132552694,4.805934117163192,1.3282473495624023,1.3242247287214979,6.165541540656842e-05,1.0,0.03504738203825591
0,low,Linear,8,20.427007245311284,0.0,20.427007245311284,0.0,1.4963109626987978,1.4927189622097787,0.00013153395505266554,0.96,0.05259708155176516
0,low,Linear,9,20.427007245311284,22.5,18.872093904402856,7.817077245582279,1.5308216192513346,1.5293680831121614,0.00015594912159504776,0.92,0.05807505121037032
0,low,Linear,10,20.427007245311284,45.0,14.444075342506348,14.444075342506345,1.583565069906132,1.5826349973426077,0.0001607846755821885,0.96,0.059574635221404736
0,low,Linear,11,20.427007245311284,67.5,7.817077245582281,18.872093904402856,1.6218046128784644,1.6200819540139866,0.000145062906097114,0.99,0.06074446635599208
0,low,Linear,12,20.427007245311284,90.0,1.2507934519565128e-15,20.427007245311284,1.6302353330586081,1.6270751464210096,0.00012960842796406894,0.97,0.058949713892381406
0,low,Linear,13,20.427007245311284,112.5,-7.817077245582278,18.872093904402856,1.606370266819975,1.6015781982839128,0.00012201407395031048,0.97,0.056771946845595105
0,low,Linear,14,20.427007245311284,135.0,-14.444075342506345,14.444075342506348,1.5580662185387517,1.5520596581656696,0.00012161902340912918,0.99,0.052711112213847854
0,low,Linear,15,20.427007245311284,157.5,-18.872093904402856,7.817077245582282,1.5093272508917313,1.5035897317657447,0.00012321924879444236,1.0,0.0493745951485519
0,low,Linear,16,26.830352681245163,0.0,26.830352681245163,0.0,1.6202276995607363,1.616086377077235,0.00016626647256673868,0.96,0.05901652727214955
0,low,Linear,17,26.830352681245163,22.5,24.78801369226173,10.26753145562479,1.6582506932526855,1.6564987639690651,0.00018615313071186922,0.92,0.06328528943681624
