truth_index,truth_label,test_index,method,delta_integrated_squared_error,delta_integrated_absolute_error,delta_pointwise_coverage95,delta_mean_width95,orientation_estimate_degrees,orientation_error_degrees,orientation_abs_error_degrees,orientation_covers95,orientation_width95_degrees,axis_ratio_estimate,axis_ratio_error,axis_ratio_covers95,axis_ratio_width95
0,low,0,Linear,8.546825429879443e-05,0.006314902122613417,1.0,0.03761480782539262,174.52978641189287,0.00242630367508618,0.00242630367508618,1.0,14.953548877209839,1.449394300792698,0.1003479672540033,1.0,0.3302573743136128
0,low,1,Linear,5.7261938152487817e-05,0.005818332451059065,1.0,0.033424868943173265,170.04412623828975,-4.483233869928051,4.483233869928051,1.0,24.366247671387523,1.2866441795693908,-0.06240215396930382,1.0,0.21700522067103623
0,low,2,Linear,8.132892220573844e-05,0.007048682727832466,1.0,0.03702201711527778,171.6918352572087,-2.83552485100907,2.83552485100907,1.0,19.6698585820545,1.324470064552211,-0.024576268986483685,1.0,0.2506891260707884
0,low,3,Linear,8.02546018940004e-06,0.0021490543909020027,1.0,0.033558523114459206,175.12594309640696,0.5985829881891587,0.5985829881891587,1.0,17.48646793512085,1.3289664126913228,-0.020079920847371868,1.0,0.20378658166044983
0,low,4,Linear,4.8252502115807576e-05,0.00532582548076153,1.0,0.029735208876599653,171.24987085099775,-3.2774892572200516,3.2774892572200516,1.0,13.262512772687858,1.422045886567203,0.07299955302850836,1.0,0.2087149714136758
0,low,5,Linear,1.2333394017892241e-05,0.0024486678114010174,1.0,0.030075250808862034,172.8924646278122,-1.6348954804056017,1.6348954804056017,1.0,14.679857455729534,1.3781364450730829,0.02909011153438823,1.0,0.20139030356456877
0,low,6,Linear,0.00024103244569374048,0.010257077953515258,0.75,0.037535746267247976,176.29818648401357,1.770826375795793,1.770826375795793,1.0,13.906062856225947,1.4869216322389882,0.13787529870029358,1.0,0.3083588758872766
0,low,7,Linear,3.443929014086009e-06,0.001241986573529116,1.0,0.03484481741821908,174.0486670646346,-0.4786930435831846,0.4786930435831846,1.0,18.80636382676125,1.3392911871275723,-0.009755146411122295,1.0,0.22648060376056023
0,low,8,Linear,6.44617644059506e-05,0.0061453037131170285,1.0,0.035754748800958774,169.30850122838618,-5.21885887983162,5.21885887983162,1.0,15.580348782323817,1.4073918712548337,0.05834553771613904,1.0,0.24993524595775996
0,low,9,Linear,0.00012461555300035787,0.007898353580920234,1.0,0.03385670556403764,171.06064746111068,-3.4667126471071206,3.4667126471071206,1.0,13.432266566305689,1.4655661451785955,0.11651981163990088,1.0,0.24909983247166445
0,low,10,Linear,7.49771605738009e-05,0.006252561589919159,1.0,0.03469469281160061,171.31391152214314,-3.213448586074653,3.213448586074653,1.0,15.369852993267878,1.386311849604632,0.03726551606593742,1.0,0.2359349312752408
0,low,11,Linear,3.778123507458308e-05,0.004362513175272624,1.0,0.03596514150054273,175.6583263874225,1.1309662792047217,1.1309662792047217,1.0,19.59409548365684,1.3135341467682151,-0.035512186770479515,1.0,0.23607736676775515
0,low,12,Linear,2.3803665577732928e-05,0.0037811877095252125,1.0,0.031716463172566385,171.90735144359198,-2.6200086646258263,2.6200086646258263,1.0,14.24635945686679,1.3985709191503672,0.04952458561167261,1.0,0.2096550399864503
0,low,13,Linear,4.5391523979351356e-05,0.004536431484490187,1.0,0.03477296380965733,170.18732252232476,-4.340037585893035,4.340037585893035,1.0,18.252156784258077,1.3533532660038519,0.004306932465157232,1.0,0.2444338504064012
0,low,14,Linear,8.733742337153364e-05,0.007830860465965615,1.0,0.03591227540766833,176.43931250327358,1.911952395055798,1.911952395055798,1.0,17.27042915792449,1.3460345007464765,-0.003011832792218172,1.0,0.2217242032301272
0,low,15,Linear,7.264785162476289e-06,0.002017569467831215,1.0,0.03395103710798699,175.34067627940107,0.8133161711832878,0.8133161711832878,1.0,17.220867404643688,1.3639981417156422,0.014951808176947523,1.0,0.24129058752167287
0,low,16,Linear,5.918290191494181e-05,0.005436638161276428,1.0,0.03346215324626895,170.92500857065997,-3.6023515375578246,3.6023515375578246,1.0,15.26388081157869,1.403782133506121,0.05473579996742628,1.0,0.27604719266882216
