pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.1,107,exact likelihood grid,0.21512125132135626,0.09180351671360974,0.09180351671360974,0.08461520152293013,0.20391729175585505,0.38351510892795754,0.01325290250579487,0.0,0.0,1.0
0.1,107,raw data NPE,0.21302294731140137,0.09474445134401321,0.09180351671360974,0.08674830682575703,0.1941913589835167,0.3965765044093134,0.012774186618955808,4.402879718192785e-06,0.006210405594315707,1.0
0.1,108,exact likelihood grid,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.006230712539432268,0.0,0.0,1.0
0.1,108,raw data NPE,0.22257177531719208,0.10229136049747467,0.09919539889972874,0.0852541122585535,0.20339037477970123,0.41981623619794844,0.015023840104408215,0.001904180148308346,0.04375503471709409,1.0
0.1,109,exact likelihood grid,0.13708526761454615,0.074577607492677,0.074577607492677,0.055344223342857254,0.11741462966401364,0.28590915987662574,0.0013753170740425048,0.0,0.0,1.0
0.1,109,raw data NPE,0.1453423649072647,0.07392629235982895,0.074577607492677,0.058998055011034015,0.1264631524682045,0.29544671177864074,0.00205593005538355,6.817965570142022e-05,0.008805659827718807,1.0
0.3,100,exact likelihood grid,0.33474340785445966,0.12437321564844873,0.12437321564844873,0.14001821455866995,0.3282955568611914,0.5518483385897567,0.00120710438934133,0.0,0.0,1.0
0.3,100,raw data NPE,0.3802173435688019,0.11407545953989029,0.12437321564844873,0.19184319004416467,0.3787468522787094,0.5650796949863435,0.006434822209235202,0.0020678788293521286,0.04566559949189682,1.0
0.3,101,exact likelihood grid,0.28919810895027853,0.12161258519214292,0.12161258519214292,0.1055501272115213,0.2794190199472798,0.5062409215365781,0.00011668085025005252,0.0,0.0,1.0
0.3,101,raw data NPE,0.2638566493988037,0.11737530678510666,0.12161258519214292,0.0957109596580267,0.24614837020635605,0.4810205534100533,0.0013063417926809954,0.0006421895721990344,0.02527665929017577,1.0
0.3,102,exact likelihood grid,0.2999603979571128,0.12062439960443207,0.12062439960443207,0.1145225228072276,0.2919451890716785,0.5126200122536335,1.568321800836914e-09,0.0,0.0,1.0
0.3,102,raw data NPE,0.2991291284561157,0.1169503778219223,0.12062439960443207,0.1200863853096962,0.2873115539550781,0.5056991964578629,7.584172459473655e-07,6.910089832879684e-07,0.0038788861943866862,1.0
0.3,103,exact likelihood grid,0.34406635074167735,0.13294013167301733,0.13294013167301733,0.1328321497456121,0.33856296177667006,0.5745556061627218,0.001941843267688529,0.0,0.0,1.0
