test_index,method,truth,estimate,sd,q05,q95,covers90,width90
51,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[262.53159194847126,-5.940340304993152,130.14437034500125]","[18.962682806213184,8.491667491425005,8.158857953707994]","[233.47013748590533,-18.91188007696258,117.23253764247977]","[293.98153799507435,8.823522054503812,144.14241367334003]","[true,true,true]","[60.51140050916902,27.73540213146639,26.90987603086026]"
52,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[246.17263106825934,-14.823344028719017,143.8134021031578]","[15.78826621856177,9.04804161186814,10.087484276874527]","[222.2165454579484,-29.025671170702697,128.10255185037352]","[273.3066325773311,1.0552687113642658,161.2878109035301]","[true,true,true]","[51.09008711938267,30.080939882066964,33.185259053156585]"
53,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[227.24256599970255,-11.707424678630126,127.17070088007715]","[16.920609747905058,8.493040877247127,10.359493625315725]","[206.8245929656666,-23.698517784438195,114.66296271217863]","[257.5328074250875,1.9161034357163944,147.66583457184146]","[true,true,true]","[50.70821445942093,25.61462122015459,33.00287185966283]"
54,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[241.61902671771074,-21.848820360206094,126.31979523501515]","[16.969598611424537,8.21180568559906,9.20946358287375]","[218.5981218075469,-33.24290227016278,114.36858782837018]","[273.1249347038267,-7.229392934076474,143.6498904466098]","[true,true,true]","[54.52681289627978,26.013509336086308,29.281302618239607]"
55,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[224.814218913409,-15.491691684309812,146.95723378692523]","[14.934674522748386,8.215710220777414,9.42417714127782]","[206.79479243847928,-27.453932663578804,132.83521326509478]","[250.90490431387798,-3.3882622977712287,163.4455816477565]","[true,true,false]","[44.1101118753987,24.065670365807577,30.610368382661733]"
56,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[252.18892003486502,2.4690755955120296,137.56807061158702]","[14.791482752506695,7.373809330125497,8.207541974689759]","[229.23422324254443,-9.397696681824016,125.19559821101197]","[277.22707913170683,14.715348212150072,151.37081635925287]","[true,false,true]","[47.9928558891624,24.113044893974088,26.1752181482409]"
57,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[258.3867622221508,-15.395364703946141,127.70324677249992]","[15.931903291821598,7.445414981112798,7.372674362931761]","[233.88344210604092,-26.93369052513691,116.51937866635193]","[284.70726461671967,-3.046416399173588,140.39672960641343]","[true,true,true]","[50.82382251067875,23.887274125963323,23.877350940061504]"
58,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[231.24723589476756,-0.4526248102149928,126.21014773408805]","[16.424380972398538,7.796887542200213,8.357593469755846]","[208.88131710147434,-11.957338138863634,115.25394080209027]","[259.37284191452954,11.646164954257214,142.14857173166925]","[true,true,true]","[50.49152481305521,23.60350309312085,26.89463092957898]"
59,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[233.37125421223817,-14.469525497051015,140.06219887832074]","[15.459208337755731,7.799987605509419,9.319654600078911]","[210.74914426218763,-26.922686005081935,125.90677863943237]","[260.363660582649,-1.4476832635422248,156.4766161748091]","[true,true,true]","[49.61451632046138,25.47500274153971,30.56983753537672]"
60,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[226.48091989196232,-17.856510223031396,133.63315593839323]","[13.524193479585787,6.946228860976035,8.16690643358354]","[207.42260756977603,-28.556631643158603,120.81700657997582]","[250.6505949606829,-6.419173736999419,148.00087136288957]","[true,true,true]","[43.22798739090686,22.137457906159185,27.183864782913744]"
61,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[251.22995687480253,-11.670668873549156,127.99760163002667]","[20.049076132372026,8.608816355543865,10.185157330002866]","[222.51388124401882,-24.55474647329327,115.3686543360983]","[287.03123557779827,1.832386462082264,148.50812227039646]","[true,true,true]","[64.51735433377945,26.387132935375536,33.13946793429815]"
62,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[254.3242795674601,-22.32709697642865,132.16629288016873]","[17.614705241852064,8.877629180389086,10.542160648022088]","[228.12576972691198,-34.79070081704696,116.7873153957681]","[285.7633997917487,-6.141042593821745,151.079634172633]","[true,true,true]","[57.63763006483674,28.649658223225217,34.2923187768649]"
63,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[242.28790927056363,-17.108810444541906,137.11017779267274]","[15.288954458990643,8.0567662575509,8.799839292300254]","[219.00435915346682,-29.323043750545516,123.60071916866626]","[267.88495392356094,-3.75351962476729,152.48396435639998]","[true,true,true]","[48.88059477009412,25.569524125778226,28.88324518773372]"
64,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[245.97821430496046,-11.045081611621557,129.9555191728336]","[17.712488692038757,8.008597071071623,9.02157826560991]","[219.7205998346626,-23.256133095688092,117.12075149504201]","[277.15880923588037,1.6248748985822168,147.15828305013056]","[true,true,true]","[57.43820940121776,24.88100799427031,30.03753155508855]"
65,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[225.32188698850157,-8.044101917340196,144.2838472290028]","[16.381567587892953,8.072550027458956,10.392158813580798]","[205.50513835519243,-21.496624476377775,128.81537651561658]","[256.3905371819087,4.71895578258151,162.96685979306298]","[true,true,true]","[50.88539882671628,26.215580258959285,34.1514832774464]"
66,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[237.10094491299853,-9.036819797473106,135.13075822502884]","[14.517838508256201,7.993384031179234,8.951062143742393]","[215.42784538833777,-21.538153576259194,121.72864512910523]","[262.069092882237,3.86979453117745,150.93032047019847]","[true,true,true]","[46.641247493899215,25.407948107436646,29.201675341093235]"
67,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[230.65650594850922,-12.53864242515752,142.36180003476582]","[14.182404359654326,7.98512375279928,9.4400666290086]","[210.04291555310735,-25.22662800907723,127.37177838244666]","[255.43430638163838,0.9768221354773466,158.35472149913895]","[true,true,true]","[45.39139082853103,26.203450144554576,30.982943116692283]"
68,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[261.93100561168205,-11.099600124824569,138.78194615778276]","[14.706019093515195,8.39130727380446,8.32422986098518]","[238.77633255503673,-24.03489295427164,125.55099198746788]","[285.85891580693504,3.562761039845867,152.70520502222436]","[false,true,true]","[47.08258325189831,27.597653994117508,27.15421303475648]"
69,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[233.33366680082995,-12.497413713094096,129.52749402591317]","[14.645429502959187,7.221796475269729,7.470298379832489]","[211.5714085649338,-23.523388523426995,117.63876984781028]","[257.5214672939315,-0.3034331214715512,142.17898875144058]","[true,true,true]","[45.9500587289977,23.219955401955442,24.540218903630304]"
70,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[253.81527508115545,-7.18812510555171,128.80726687016022]","[18.798350652852317,7.993321524975405,7.949041248432014]","[225.82065098331026,-19.839902547281714,116.59061167542593]","[286.52736992086795,6.060454352981279,142.44912330649416]","[true,true,true]","[60.706718937557696,25.90035690026299,25.858511631068225]"
71,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[225.3268131439832,-17.33696964477141,138.40981158724796]","[15.038821937431639,7.597260108557907,9.361051181819056]","[206.41316809723295,-28.675581035172872,124.52183433760196]","[251.01323327490056,-5.240738322474743,155.8986459076772]","[true,true,true]","[44.6000651776676,23.434842712698128,31.376811570075247]"
72,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[246.30044095254917,-6.833243312739892,136.01232264103146]","[16.281256498669883,8.7453446939353,9.396756431862856]","[221.96342310710034,-20.863851665111014,121.48955839424926]","[273.8394708614721,7.723425234388975,152.38329206216815]","[true,true,true]","[51.87604775437174,28.58727689949999,30.893733667918895]"
73,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[252.84428653897052,-21.11913081699699,137.5031847997021]","[15.856385790069279,7.706554639215685,9.115149386835196]","[229.32165023833346,-32.44849083045084,123.86240704171644]","[279.8290943380765,-8.515195541748016,153.6599715907474]","[true,true,true]","[50.507444099743054,23.933295288702823,29.797564549030966]"
74,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[230.14104790821094,-7.011985002347711,137.2355028926844]","[14.982794696767527,8.118115265971202,9.489065422233578]","[209.08501105830678,-20.31538107226626,122.22196606223437]","[257.43802458838894,6.376183101526079,153.6140553677525]","[true,true,true]","[48.353013530082166,26.691564173792337,31.39208930551814]"
75,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[263.2025417882187,-10.009857992733323,144.38596015783503]","[16.190807885159007,7.947651758254494,8.946757965945737]","[239.20765664064191,-22.5674311478125,131.053494200973]","[290.56540554369815,2.8805037868286667,160.1533263074507]","[false,true,false]","[51.35774890305623,25.447934934641165,29.09983210647769]"
76,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[247.547776634469,-16.6889692248262,132.56244493725734]","[16.342438025079858,9.150521083302495,9.222341765091304]","[222.85317110624425,-31.079878942712476,118.08994843875874]","[275.60856209806553,-0.7470754884930237,148.48082539304554]","[true,true,true]","[52.75539099182129,30.33280345421945,30.390876954286796]"
77,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[233.51919076917056,-11.216925331763736,137.33576542602054]","[14.479325900486742,7.431900787955166,8.62523127277388]","[212.04691484333821,-23.015297592213486,123.94370718667604]","[258.16726093842084,0.8263624321051344,151.97867005084316]","[true,true,true]","[46.120346095082624,23.84166002431862,28.034962864167127]"
78,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[238.65594377002836,-20.844968134952786,130.24116965491714]","[16.49363756133389,8.772874626627836,10.0393427858988]","[214.897151173143,-33.19383817157839,115.87579719077998]","[267.9545582528689,-4.443272400098674,148.80623684486747]","[true,true,true]","[53.05740707972589,28.750565771479717,32.93043965408749]"
79,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[257.82809445221955,-11.193581365234165,130.32793495717962]","[15.73347384737154,7.796799728118875,7.638703520455936]","[233.97941816030044,-23.395910354065116,117.97023865698237]","[283.5640577201508,2.3060846742565135,143.21887102678164]","[true,true,true]","[49.58463955985036,25.70199502832163,25.248632369799267]"
80,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[229.1086082966633,-8.427538756694688,129.25720343213516]","[15.284275311939092,7.642369184197223,8.498583603353246]","[208.0117998765639,-20.137822813300357,117.18184060346083]","[256.3945182496628,3.561159309374454,145.00541997731057]","[true,true,true]","[48.38271837309887,23.69898212267481,27.82357937384974]"
81,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[224.0891892948531,-14.950708771344885,134.65453191505514]","[14.832374250876432,7.945602687984738,9.229824807732738]","[206.02594186755766,-26.58282778498102,121.04419694768933]","[250.53218946274606,-2.9951196977268926,152.0343247847574]","[true,true,true]","[44.5062475951884,23.58770808725413,30.99012783706806]"
82,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[239.98297757047155,-11.507580368326863,130.04749122552622]","[16.859790371702694,8.214552245789774,9.053301591439988]","[216.34127971232735,-24.528166455606048,117.27574879477058]","[268.8474482450047,2.4250765383720565,146.88472675418302]","[true,true,true]","[52.50616853267738,26.953242993978105,29.608977959412442]"
83,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[231.445214170198,-20.406296232243935,140.21538971733003]","[14.698699331188989,8.99108780770961,11.182099206370005]","[210.12278548407272,-33.51578540324002,122.76384640879081]","[257.4317571619709,-4.297371833076939,159.6430178331538]","[true,true,true]","[47.30897167789817,29.21841357016308,36.879171424362994]"
84,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[248.5792343914606,-16.094122492061647,131.65395715143552]","[18.05354805458987,7.914666591860404,8.45003954625234]","[220.77665149487453,-28.484486775129895,118.68197573240379]","[279.84338012674147,-2.6293258713174055,146.62430139789353]","[true,true,true]","[59.06672863186694,25.85516090381249,27.942325665489747]"
85,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[245.54520701231314,-11.796486805195796,127.40787729207948]","[20.243518589793744,8.615688172691861,9.94793566841664]","[217.7843906073616,-24.557197606950265,114.8513766812864]","[281.9731923180092,2.232778139694426,147.29991522317664]","[true,true,true]","[64.1888017106476,26.78997574664469,32.448538541890244]"
86,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[268.7793135632828,-3.982474650728734,134.77369015542587]","[15.93411267437698,8.38604413723159,8.142937413717975]","[244.0378047880468,-16.42699627132197,121.56447568772955]","[295.65296115474155,10.785726190643535,148.64920786789096]","[false,true,true]","[51.61515636669475,27.212722461965505,27.08473218016141]"
87,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[249.80213063288667,-21.96249997058977,147.5000205647896]","[14.917247713963885,8.870972895428196,9.786720626857145]","[226.47149463130333,-34.91317613177805,131.5464544832327]","[274.68983307330564,-5.726136693443783,164.19048810660303]","[true,true,false]","[48.218338442002306,29.187039438334267,32.64403362337032]"
88,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[238.81661506416515,-18.6576178758591,130.1554215718654]","[16.20319080875923,8.155854347666157,8.97420671554357]","[215.00496839282076,-31.06880405266851,116.7539703474768]","[267.8999136318666,-4.516217705756867,146.20448823528088]","[true,true,true]","[52.894945239045825,26.552586346911646,29.450517887804082]"
89,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[261.7569776755786,-5.384208801771634,141.0621443074172]","[14.879252970473589,7.5836675554691775,8.220392058122965]","[238.98412062665665,-17.609517479801802,127.92642697200039]","[287.08250613350816,7.023958147824782,155.23754807444516]","[false,true,true]","[48.098385506851514,24.633475627626584,27.311121102444773]"
90,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[234.73590436593656,-18.72401913506336,132.45073651712516]","[14.76100399116775,7.73590676229602,8.2804762301333]","[213.1768202707389,-30.388398499015498,119.43037604365128]","[259.466605493596,-5.064573781368823,146.71970892526326]","[true,true,true]","[46.28978522285709,25.323824717646673,27.289332881611983]"
91,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[224.99584302827944,-16.228899923150124,127.89557023934223]","[15.798714087878981,9.03331906662442,9.821033593833036]","[206.4107947970845,-29.257175484320523,115.03640071296194]","[256.0934263426608,-0.8634587777284716,146.92176395249342]","[true,true,true]","[49.6826315455763,28.393716706592052,31.885363239531486]"
92,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[227.07752650907352,-15.557537610805875,126.55749115982522]","[17.48271519671796,9.005403778194589,10.171071306624516]","[206.3899773169515,-27.300009393838522,114.54455517433541]","[258.96935752334485,-1.6491459244114492,146.5965263759748]","[true,true,true]","[52.57938020639335,25.650863469427073,32.05197120163939]"
93,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[236.80757708931515,-16.70947412402996,127.23259277705353]","[19.89042098955566,8.998101848988261,9.875652984793117]","[211.38239005501032,-29.76761908841572,114.7387767158232]","[275.03332861553304,-0.9604968949530429,146.1839263654882]","[true,true,true]","[63.65093856052272,28.80712219346268,31.445149649664984]"
94,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[229.01616547005236,-12.813419389971276,129.78910215671144]","[18.09002902149224,7.5530282971268665,9.213251893146811]","[206.32330226570497,-25.04243009136912,116.80756146709524]","[261.65268085799073,-0.662016982457126,147.2397604376739]","[true,true,true]","[55.329378592285764,24.380413108911995,30.432198970578668]"
95,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[250.70598443071555,-11.248232383734472,153.81158818795356]","[16.138273516901094,9.813975106764888,10.911068069247236]","[225.54936714657006,-26.71383216270117,136.60068625736187]","[277.1206524380194,5.166382736632053,172.22832372196015]","[true,true,false]","[51.57128529144936,31.88021489933322,35.62763746459828]"
96,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[269.1203687801103,6.143058350751787,141.3993029245604]","[15.795443588640513,7.6349661159827615,8.411465652593783]","[244.67408953792915,-6.207080925525054,128.42789813175233]","[295.94920955852933,18.29038537270345,155.58639544732816]","[false,false,true]","[51.275120020600184,24.497466298228506,27.15849731557583]"
97,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[258.07499511725354,-19.678368870178236,134.48715933872484]","[17.29332900646381,8.525981782723287,9.316987754308842]","[231.8384756413131,-32.5186985454753,120.0788603112359]","[288.80261551042634,-4.2967180330112225,150.66029256736832]","[true,true,true]","[56.96413986911324,28.22198051246408,30.581432256132416]"
98,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[247.25900832859628,-11.603823757856437,137.78795495103014]","[16.258118756960055,8.069132278632754,9.015738165005814]","[223.16686926096554,-24.443717579304806,123.78383438478988]","[275.44461491350836,1.5656871542725248,153.0727639515276]","[true,true,true]","[52.27774565254282,26.00940473357733,29.28892956673772]"
99,rough Linear NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[225.94589149926585,-11.958149535493405,130.61402951213236]","[15.310689783342081,8.631951465510673,9.669312306811824]","[206.82316288372775,-25.40593059917333,116.91919980973648]","[253.99253106345748,1.8661599292530613,149.05042008953185]","[true,true,true]","[47.16936817972973,27.272090528426393,32.13122027979537]"
0,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[237.55444428915027,-13.061469957579316,116.47085775496338]","[24.786653824509884,11.160451037498802,16.286055314072073]","[196.78402684591464,-31.418778325023535,89.68268060287964]","[278.3248617323859,5.295838409864903,143.25903490704712]","[true,true,true]","[81.54083488647126,36.71461673488844,53.57635430416748]"
1,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[203.97921152478534,-0.8147716937205213,148.83496044467046]","[2.1664472840248594,9.982317425281808,19.049711101515225]","[200.41572285205788,-17.234222716076175,117.50097404696542]","[207.5427001975128,15.604679328635134,180.16894684237548]","[false,true,true]","[7.126977345454918,32.83890204471131,62.66797279541005]"
2,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[215.97631091821015,-2.2061616077130286,132.93997519948945]","[22.576643679000576,13.924729768899414,24.871952649010485]","[178.84103667841504,-25.110303872406355,92.0292536753993]","[253.11158515800525,20.6979806569803,173.8506967235796]","[true,true,true]","[74.27054847959022,45.808284529386654,81.8214430481803]"
3,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[253.49610519992927,-25.764545888558107,134.33216595118677]","[25.792642631859476,14.904999098488368,18.855327371160467]","[211.07098341825207,-50.28108771541511,103.31791233737611]","[295.9212269816065,-1.2480040617011028,165.3464195649974]","[true,true,true]","[84.85024356335441,49.03308365371401,62.02850722762129]"
4,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[259.1879634759009,-17.569637262400995,132.563421731485]","[24.604111080737184,12.762676922521935,14.288350420742013]","[218.71780212683348,-38.56237268802104,109.06117671877391]","[299.65812482496835,3.4230981632190556,156.06566674419608]","[true,true,true]","[80.94032269813488,41.985470851240095,47.00449002542217]"
5,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[243.354124760299,-15.171594261685527,124.47854096172499]","[25.5130455221131,11.782287105270454,14.729727518468316]","[201.38889929867327,-34.55173194057319,100.25029522896548]","[285.3193502219247,4.208543417202133,148.7067866944845]","[true,true,true]","[83.93045092325144,38.76027535777533,48.45649146551901]"
6,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[266.1293912224526,-10.11051472717526,113.38151977497581]","[31.654793988854443,17.362255866489317,0.5284658161477046]","[214.06188851948377,-38.66888426122968,112.5122708605654]","[318.1968939254215,18.447854806879157,114.25076868938623]","[true,true,false]","[104.1350054059377,57.116739068108835,1.7384978288208401]"
7,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[218.10431880072736,-4.718454075231294,141.95622334925122]","[23.71379207672871,12.518411459100468,15.26090851444271]","[179.09860189454707,-25.309408567403562,116.85426262869554]","[257.11003570690764,15.872500416940976,167.0581840698069]","[true,true,true]","[78.01143381236056,41.18190898434454,50.203921441111376]"
8,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[218.6827367770192,-23.36260320770155,139.30758538659452]","[24.923796421280684,16.248382646665515,21.76318887611177]","[177.68673983607556,-50.088814336164674,103.51032522969217]","[259.6787337179628,3.3636079207615737,175.10484554349688]","[true,true,true]","[81.99199388188725,53.45242225692625,71.59452031380471]"
9,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[275.050272122959,-35.98446227291997,126.64782533340505]","[28.32942245782865,4.45882909449929,15.327816928421278]","[228.45251884375904,-43.31858348096387,101.43581006544315]","[321.6480254021589,-28.650341064876066,151.85984060136695]","[true,false,true]","[93.19550655839987,14.668242416087807,50.424030535923805]"
10,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[230.96982885480568,-15.86354433225949,129.2019025721187]","[26.67043289842252,10.18914338683129,21.796899257013223]","[187.10087056946955,-32.62319378761754,93.34919377292468]","[274.8387871401418,0.8961051230985575,165.05461137131275]","[true,true,true]","[87.73791657067224,33.519298910716095,71.70541759838807]"
11,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[213.00999122071576,8.427769808571844,138.09941899416683]","[21.79963440807261,16.109008372856753,20.0051885055401]","[177.15278349838144,-18.06919104011321,105.1938121229813]","[248.86719894305008,34.924730657256895,171.00502586535237]","[true,true,true]","[71.71441544466865,52.993921697370105,65.81121374237107]"
12,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[232.87099051854204,-11.496058674091632,137.35275611940062]","[25.703043190386193,11.413386189176569,15.657754209369626]","[190.59324670314498,-30.269408343156545,111.59804231820432]","[275.1487343339391,7.277290994973281,163.1074699205969]","[true,true,true]","[84.55548763079412,37.54669933812983,51.50942760239259]"
13,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[217.6102592195375,-5.0083497174979,122.58346905228868]","[29.288197859199844,13.557382120532408,13.741102813626007]","[169.43546074396033,-27.308258870422662,99.98136625098287]","[265.7850576951147,17.291559435426862,145.1855718535945]","[true,true,true]","[96.34959695115435,44.599818305849524,45.20420560261162]"
14,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[237.56960887451075,6.430523137113557,146.37091757679798]","[23.53934631267407,15.560708916735365,20.182277970650123]","[198.85082971604206,-19.16456536251471,113.17402445663134]","[276.28838803297947,32.02561163674183,179.5678106969646]","[true,true,true]","[77.43755831693741,51.190176999256536,66.39378624033327]"
15,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[229.7930622402823,-23.559802088260042,120.18592738430839]","[21.288039984821424,13.080902414964697,14.761466444214195]","[194.77735246056082,-45.07597186931299,95.90547576442023]","[264.80877202000374,-2.0436323072070977,144.46637900419654]","[true,true,true]","[70.03141955944292,43.03233956210589,48.56090323977631]"
16,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[237.16609187582299,-15.679860383537973,113.38151977497581]","[22.94955893652815,11.95372415052858,0.6019861503375731]","[199.4174266221381,-35.341986908112304,112.3913406722185]","[274.91475712950785,3.9822661410363605,114.37169887773312]","[true,true,false]","[75.49733050736975,39.324253049148666,1.9803582055146194]"
17,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[254.05929449704854,-16.84636030055205,183.42272931972593]","[25.5495391847738,21.71158456731276,21.804503584097397]","[212.0340423020346,-52.55873892296004,147.55751251554696]","[296.0845466920625,18.86601832185594,219.2879461239049]","[true,true,false]","[84.05050439002787,71.42475724481598,71.73043360835794]"
18,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[232.90679800558618,-14.378340228752577,142.13503542650824]","[23.768718989657867,13.273951419878449,15.571637267481304]","[193.81073436745712,-36.21204736571728,116.52197138951891]","[272.0028616437152,7.455366908212124,167.74809946349757]","[true,true,true]","[78.1921272762581,43.66741427392941,51.22612807397866]"
19,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[220.52272936536892,-26.733311508136488,136.67985019074203]","[26.80254662317157,13.658177046058096,14.995054475792664]","[176.43646334070925,-49.19901355989049,112.01518044989957]","[264.6089953900286,-4.267609456382491,161.3445199315845]","[true,true,true]","[88.17253204931936,44.931404103508,49.329339481684926]"
20,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[203.97921152478534,-15.566834474415847,113.38151977497581]","[12.28964149343867,12.79320968665689,0.4561181481042012]","[183.76455014036944,-36.60979182786413,112.63127218474823]","[224.19387290920125,5.476122879032436,114.1317673652034]","[false,true,false]","[40.42932276883181,42.08591470689657,1.5004951804551752]"
21,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[265.2144242797829,-36.69939737326205,136.61566697527863]","[28.278406571681092,4.091533934144879,17.920079767842196]","[218.70058466594494,-43.42937180463528,107.13975877388371]","[311.7282638936209,-29.969422941888823,166.09157517667356]","[true,false,true]","[93.02767922767597,13.459948862746458,58.951816402789845]"
22,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[231.32438702903715,-11.048214018063382,141.1741529735214]","[20.205240612385232,15.786107660498104,18.692617244033304]","[198.08972372432814,-37.0140504588801,110.4275337024576]","[264.5590503337462,14.917622422753334,171.92077224458518]","[true,true,true]","[66.46932660941806,51.93167288163343,61.493238542127585]"
23,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[216.60698752246975,-0.8519275498035717,114.30710972484512]","[21.14676854220948,14.732296804590804,14.27813458821672]","[181.82364858751322,-25.08439938216033,90.8216682613156]","[251.39032645742628,23.380544282553185,137.79255118837466]","[true,true,true]","[69.56667786991306,48.464943664713516,46.970882927059066]"
24,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[261.8263475652027,-28.608580739788085,139.82439241769566]","[26.840338679872154,20.550253697247253,19.587045724478575]","[217.6779191390091,-62.41074006847812,107.60656921652276]","[305.97477599139626,5.193578588901946,172.04221561886857]","[true,true,true]","[88.29685685238715,67.60431865738006,64.43564640234581]"
25,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[209.8146688427738,-22.297395334363358,130.88562277714078]","[23.741782421310102,14.15892038161478,15.00180665441048]","[170.7629119167892,-45.58674687777955,106.20984669080899]","[248.86642576875843,0.9919562090528267,155.5613988634726]","[true,true,true]","[78.10351385196924,46.57870308683238,49.3515521726636]"
26,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[203.97921152478534,-18.536705190657504,115.11165238429406]","[0.9552427488102466,12.915052580053851,11.200624463577494]","[202.4079770247857,-39.78007626922804,96.68826461125724]","[205.55044602478497,2.706665887913033,133.53504015733088]","[false,true,true]","[3.1424689999992665,42.48674215714107,36.846775546073644]"
27,full all-pair MPLE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[203.97921152478534,-6.152863848856268,138.48863206400299]","[3.761628101441027,13.184158087415973,16.21017804389056]","[197.79188389888748,-27.838874097244005,111.82526191498049]","[210.1665391506832,15.533146399531471,165.1520022130255]","[false,true,true]","[12.37465525179573,43.37202049677548,53.32674029804501]"
