test_index,method,truth,estimate,sd,q05,q95,covers90,width90
35,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[491.68266950180225,195.46667932698548,243.33867858659895]","[33.211641537056266,19.77586391820297,18.844703118324805]","[427.88987474669324,161.97076249352364,212.5899101894436]","[535.4015658392688,226.4852955440362,275.915362850593]","[true,true,true]","[107.51169109257552,64.51453305051257,63.3254526611494]"
36,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[477.799480716971,193.22554772097587,240.5778463858512]","[32.89473755213617,24.71167767489905,25.74081163596579]","[420.6663347008463,152.483397742027,199.454059443384]","[528.4655252581639,233.54679273749895,283.47338044231725]","[true,true,true]","[107.79919055731762,81.06339499547195,84.01932099893324]"
37,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[423.51147905806357,166.32902540865234,234.3207110308]","[30.097139563532906,21.241350614827436,17.670242121356136]","[374.5749508393145,131.2621564070144,204.82076641481018]","[473.11198507974296,201.1666107147146,263.202032415882]","[true,true,true]","[98.53703424042845,69.9044543077002,58.38126600107182]"
38,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[480.86550291029306,198.43583944063965,256.3357848784534]","[33.26391928857459,22.128647857363525,21.7073057920011]","[423.74893718698377,161.1562127820048,220.13216760454623]","[532.3293098846359,233.81431335470123,292.41523528761934]","[true,true,true]","[108.58037269765214,72.65810057269644,72.28306768307311]"
39,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[479.94199233344403,182.2842201804614,264.40613422325663]","[31.06935573978811,20.461076790016055,20.391123730359173]","[427.6594531034496,147.62296205308527,229.11056867047697]","[530.1524921539499,214.8403989890936,295.76250478851205]","[true,true,true]","[102.49303905050027,67.21743693600831,66.65193611803508]"
40,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[461.24273434136717,187.2774656179872,252.31932156915505]","[30.3518496727236,19.935755106468736,17.69200032383793]","[412.9480995151902,154.87596973308644,223.46284948357194]","[513.8062139619249,220.85749483916172,281.56051512675447]","[true,true,true]","[100.85811444673465,65.98152510607528,58.09766564318252]"
41,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[423.659230448379,162.10541695525734,232.89645533833274]","[31.74103315325149,24.940440279513755,22.075877105598963]","[366.84289038513555,113.89356804330424,192.96795878429427]","[472.17921870632574,197.53373486463732,266.1689297571777]","[true,false,true]","[105.3363283211902,83.64016682133308,73.20097097288343]"
42,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[485.65391643194744,204.5817218694385,263.77751572542854]","[30.49004674716584,21.272555022054416,20.32414988175689]","[433.110847984371,168.0633360718828,228.10438242370566]","[532.9211443978965,238.0530362276421,295.0993283353052]","[true,true,true]","[99.81029641352546,69.98970015575932,66.99494591159953]"
43,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[486.46393991450964,183.08964352378467,251.0188193082589]","[31.518322251457388,21.204710856923654,22.483061704450417]","[431.31101011256857,148.33903631876555,214.99264331841943]","[534.2837491570974,217.6569949682425,289.5785366375946]","[true,true,true]","[102.97273904452885,69.31795864947694,74.58589331917517]"
44,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[462.8046757963331,194.96823751296574,266.33844099870004]","[33.020492829249996,23.942391356499545,19.26164650726531]","[407.42795044135335,153.15963539487018,232.99680061586147]","[516.635644839075,231.5036552524849,295.63740188864125]","[true,true,true]","[109.20769439772164,78.34401985761471,62.640601272779776]"
45,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[429.25746619279346,156.15105597499996,230.57708839926687]","[29.551057917514225,18.025710180033602,15.011549172513863]","[384.1207244226334,128.3423698702262,206.58885446931663]","[480.53256018313306,187.04072608892727,255.45459972203926]","[true,false,false]","[96.41183576049968,58.698356218701065,48.86574525272263]"
46,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[469.8343953025788,200.73047210155238,257.0275140944218]","[31.52845051770348,21.629819511790366,21.243135308912677]","[416.04733926817653,164.5298323391106,221.9658234226638]","[520.8363059263492,235.3981325056284,291.4962998251841]","[true,true,true]","[104.78896665817263,70.8683001665178,69.53047640252032]"
47,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[457.389356609591,165.23259191051824,258.5589379801652]","[31.579351747900887,22.515791458209108,19.670729874156873]","[405.79395115201845,125.51720044523805,224.6998281286969]","[508.033146460795,199.0574471699222,289.68109606903204]","[true,false,true]","[102.23919530877657,73.54024672468415,64.98126794033513]"
48,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[480.4174356073018,197.00259825452625,255.41199154427983]","[33.97747032670315,22.048816801973718,22.084002862103254]","[422.62084747511665,160.02963904489914,218.80270234490084]","[532.0990810708504,231.6974704851423,291.45474545889914]","[true,true,true]","[109.47823359573374,71.66783144024316,72.6520431139983]"
49,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[423.1402694745404,200.94039382995538,273.1772897887471]","[27.532022123722673,19.06061696452275,16.961912430740238]","[379.7008047967835,167.99839381848645,243.06024121489685]","[469.53970023091466,230.05636934412757,297.83906207092167]","[false,true,true]","[89.83889543413119,62.057975525641126,54.77882085602482]"
50,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[473.9798201974676,195.86553635956946,244.4616913550621]","[34.930717996347184,25.658885583350976,21.756044711551567]","[414.61321924652475,152.07032470002156,208.21466939612597]","[528.5493191862907,235.8190895063796,280.2248095596649]","[true,true,true]","[113.936099939766,83.74876480635805,72.01014016353892]"
51,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[473.8432491100763,193.64351908347183,261.4699518654004]","[33.63940372780642,26.838106790931054,20.73002377034176]","[415.64766333824315,145.35076749675795,224.3681836325683]","[527.1946479627504,234.55502117198247,293.32513980722484]","[true,true,true]","[111.54698462450727,89.20425367522452,68.95695617465654]"
52,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[473.81552935451856,192.20117785451262,237.63508668197858]","[34.60079485477048,21.360400060296133,20.247844478174613]","[413.199737721608,156.54424496527506,205.5422242643962]","[527.2370893121958,226.5449196712015,272.5854779796756]","[true,true,true]","[114.03735159058783,70.00067470592646,67.0432537152794]"
53,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[427.49202887176955,172.10136350804962,224.68599760080582]","[37.86441776061801,27.580029070033927,22.0305285995375]","[362.57478643692576,125.18343410585179,188.2356327949451]","[487.1048650384118,214.9378068903127,260.53145843548606]","[true,true,false]","[124.53007860148603,89.7543727844609,72.29582564054095]"
54,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[418.9082899194344,174.8763017696798,256.2428044479472]","[30.828444118266106,23.606991269565977,19.900405026812535]","[368.2854670521341,133.66575150665466,223.29663261532693]","[469.7501452775404,212.25358736329187,289.9972997773019]","[false,true,true]","[101.46467822540632,78.58783585663721,66.70066716197499]"
55,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[494.1551539666118,207.65054122329784,247.92655105251242]","[27.590338955410108,19.132467374113432,21.524762523906904]","[444.44038983732514,175.32566814957735,213.21815534106858]","[535.2850018385221,238.16095474800352,284.9137617261439]","[true,true,true]","[90.84461200119699,62.835286598426165,71.69560638507531]"
56,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[475.203683090768,193.27620350249495,267.0623722081229]","[30.818106009642154,21.01049596744504,19.051017989138675]","[424.51383488994384,157.01256515457567,233.97533063532984]","[526.0323106507321,226.7307133507851,296.1174284441001]","[true,true,true]","[101.5184757607883,69.71814819620943,62.142097808770245]"
57,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[439.8072064363816,189.86461085875374,229.71491100493418]","[30.381693562432716,18.875896453451894,17.743280335897122]","[392.4381392377988,158.14281506515826,200.9561299657408]","[492.9531498892899,220.40817400026648,258.62219929350977]","[true,true,false]","[100.51501065149108,62.265358935108225,57.66606932776898]"
58,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[434.4391186891106,167.8544483974702,245.72881840027884]","[29.147167409801213,18.684372885169008,16.965100708635003]","[389.93760033902527,137.75938579298156,218.0823093211602]","[485.2330385355457,199.5789857930893,274.3854045566457]","[true,true,true]","[95.29543819652042,61.81960000010773,56.3030952354855]"
59,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[455.86744015699,204.64873201514067,270.2572743266038]","[32.02967664055115,24.57037235891755,19.426709541086616]","[403.44929328188385,159.19006554951295,234.40860625048043]","[509.59994111674564,239.74314644488544,297.65607878953466]","[true,true,true]","[106.15064783486179,80.55308089537249,63.24747253905423]"
60,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[466.1644832408945,201.80272884665834,264.01326713681755]","[32.60185648751036,22.958410889175713,19.352402735944093]","[411.23273293072305,161.92340887207274,231.1022684074758]","[519.0399594351173,237.0485421759177,293.9983102452233]","[true,true,true]","[107.8072265043943,75.12513330384496,62.896041837747504]"
61,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[485.2603943361478,204.39046663335392,243.60663868486523]","[29.56260630379565,20.265407880874168,21.29113846194939]","[434.8223587831922,169.6689252119367,209.4023002486001]","[532.0036700827601,236.40916138975575,279.46499302338856]","[true,true,true]","[97.18131129956788,66.74023617781904,70.06269277478845]"
62,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[479.1495920254307,200.5927644240499,239.15352000112162]","[34.134925284961945,20.657390866751186,20.981082042567138]","[417.56391672020624,165.24060326878367,205.7949720868078]","[530.5877071911519,232.73829240257467,275.5396180826719]","[true,true,true]","[113.0237904709457,67.497689133791,69.74464599586409]"
63,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[490.4239901469692,217.50916502023628,264.7007212848309]","[29.580856212447397,19.78250669712118,19.90374064031583]","[437.80717400125104,182.03727200383315,230.0406976274272]","[534.8189503845113,246.52457633076455,295.00090886334067]","[true,true,true]","[97.01177638326021,64.4873043269314,64.96021123591348]"
64,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[476.97668387727805,178.8618061757252,249.78565095673451]","[35.514917582068854,20.485434017054526,19.89368787833983]","[413.54210844617137,145.0918635260032,217.05430920837614]","[529.5343772542172,212.69053157124495,282.86242859138275]","[true,true,true]","[115.99226880804588,67.59866804524174,65.80811938300661]"
65,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[486.2475342339539,192.99137915439624,254.84664303616327]","[29.056337829769873,19.88539277778997,18.75902806141866]","[436.3804434039205,160.35416835737976,223.83329255596087]","[531.8402858616333,225.27282006588118,285.7318425585962]","[true,true,true]","[95.45984245771285,64.91865170850141,61.898550002635346]"
66,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[446.06785769380315,187.90887981408693,266.2604783584232]","[37.404449808033185,31.84640650206226,21.123830802648243]","[382.50742828891606,133.37895895932832,227.07998411078648]","[506.4768007963318,233.88941978264913,296.09655670532055]","[true,true,true]","[123.96937250741576,100.51046082332081,69.01657259453407]"
67,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[461.48614222385305,190.75175426396888,251.72454411114845]","[36.83054227967078,28.900540080584808,23.24861094578224]","[398.17221099909705,142.2708214202203,211.70303959973023]","[518.5844688527254,235.54934348992975,288.12238570029416]","[true,true,true]","[120.41225785362838,93.27852206970945,76.41934610056393]"
68,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[460.9099111099175,172.37869965987232,257.09191304476457]","[31.256836376488952,20.607814662772103,19.402837254715706]","[409.93115538856057,137.66466582921572,226.03439524858476]","[512.9985635414932,205.72122644102856,290.4357682278621]","[true,true,true]","[103.06740815293267,68.05656061181284,64.40137297927737]"
69,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[450.70168042755256,187.68760826731307,242.3783831291128]","[30.738111465668855,19.800430582935974,18.017683112565322]","[401.84832465442514,155.81230306006745,213.07688051594832]","[503.83601805455675,220.42082492154324,272.19230308000544]","[true,true,true]","[101.9876934001316,64.6085218614758,59.11542256405713]"
70,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[444.9492317576819,180.2980880429974,243.52367688798014]","[37.53006899854002,29.841333665623406,22.29250062051996]","[383.2292508026229,133.01630459442734,206.77797857819422]","[506.78979219144355,230.7536452858569,280.89824502769875]","[true,true,true]","[123.56054138882064,97.73734069142955,74.12026644950453]"
71,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[452.8362828874291,176.9217167846844,237.1277605917193]","[36.358901934900636,26.645390433182772,21.66066688792915]","[388.24798797916293,127.4787725768453,199.6613009647646]","[508.05207632109875,216.30959648323355,271.0534323891947]","[true,true,true]","[119.80408834193582,88.83082390638825,71.39213142443012]"
72,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[477.1953932206125,166.8763564118556,250.96035946381517]","[29.973672942094908,19.54656440062769,17.90501679968398]","[426.7553172974612,135.19117534576796,221.93213096041904]","[525.556268290958,198.52240465119235,280.48072855572053]","[true,false,true]","[98.80095099349677,63.33122930542439,58.54859759530149]"
73,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[489.5302129374752,183.90908420387692,242.71832493206776]","[33.14352320192146,19.945116393546634,19.93017475575609]","[427.2504086918092,151.15112373003606,211.11010719503346]","[534.3777048687971,216.68970203828377,277.31084075801095]","[true,true,true]","[107.1272961769879,65.53857830824771,66.20073356297749]"
74,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[437.3169535229754,166.99463637842075,238.64062797883125]","[29.021698837129204,20.376318296229666,19.094247770825742]","[391.1889998425095,132.53225085690815,205.86099089094452]","[484.79184582696905,198.2857835546498,269.0498175474515]","[true,false,true]","[93.60284598445958,65.75353269774166,63.18882665650696]"
75,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[500.23953483875573,196.64066883979862,244.69067623704453]","[27.01854977740455,18.96886269855873,17.74015149867624]","[451.4808412621168,163.85500373117736,214.94922144666407]","[537.0285877632012,225.39834310503954,273.58194310074805]","[true,true,true]","[85.54774650108442,61.54333937386218,58.63272165408398]"
76,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[456.25922001939193,205.6096783835232,266.24613711098806]","[28.80923370099768,19.616818100020875,18.703639259940374]","[409.63778726366724,171.73246652079453,233.61367540316786]","[504.7402137094775,236.2275579225592,295.1872551614411]","[true,true,true]","[95.10242644581024,64.49509140176468,61.57357975827324]"
77,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[499.5391750924361,183.70795874556183,215.64273149906765]","[32.39678033498673,23.22453102339127,19.4426075676547]","[436.283747268051,140.34156084772053,182.82664755405875]","[538.4859002583538,216.71533198000523,246.703910113435]","[true,true,false]","[102.2021529903028,76.3737711322847,63.87726255937625]"
78,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[444.2131297562587,189.6135992308069,260.1660485269672]","[30.31461696852763,20.724768240196894,20.4644701923711]","[395.59678668307805,155.30110101940315,225.78776675964494]","[495.6551532130709,223.1458544533413,293.03907528549774]","[true,true,true]","[100.05836652999284,67.84475343393814,67.2513085258528]"
79,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[448.70963567817324,177.13455803990516,246.32189095613802]","[31.0590148103021,21.641380364408676,19.695197193497403]","[399.266262594686,141.45074372478607,213.87654845020285]","[502.4431080395666,212.57999525954187,277.9690718034708]","[true,true,true]","[103.1768454448806,71.12925153475581,64.09252335326795]"
80,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[441.35642317333026,179.61943775649416,237.67226351373844]","[29.12521982426467,18.12675908833792,16.495905914822014]","[395.8011470070907,150.96304050991753,211.45475275196878]","[492.6688932144149,210.7090489204205,265.1872761099833]","[true,true,true]","[96.86774620732416,59.74600841050298,53.73252335801453]"
81,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[483.5481488106594,188.37061617272505,263.06025623656404]","[30.492435349496738,20.601459112312607,20.848308280661744]","[431.0794931708215,153.7470604607568,227.35389766126684]","[531.6570227401451,221.6142556546859,295.2730744195716]","[true,true,true]","[100.57752956932359,67.86719519392909,67.91917675830479]"
82,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[462.22992951396054,189.20061998427448,255.2661490203808]","[37.0252819312968,29.774618089339114,23.694265513012557]","[400.0699958509718,139.953677943397,214.562031613956]","[521.4112293265625,236.55106660165364,292.0398275542748]","[true,true,true]","[121.34123347559074,96.59738865825665,77.47779594031877]"
83,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[508.9405819867555,221.38256287902882,273.5322403756237]","[22.927392907634825,18.079172535334642,19.059412879035733]","[465.53121496207393,188.77270378392365,238.4380304908687]","[539.1028121979768,248.098404215946,299.08305670543996]","[true,true,true]","[73.57159723590291,59.32570043202236,60.64502621457126]"
84,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[487.2714495228412,188.27698331116358,243.82435017742105]","[33.56744974169872,21.67993019207597,20.595918913788452]","[428.1203237023176,151.3996233382807,208.81450481764466]","[535.0733948869336,222.89365403676942,277.80085464375856]","[true,true,true]","[106.95307118461596,71.49403069848873,68.9863498261139]"
85,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[417.0276461006247,180.74834908367038,245.10709683984058]","[32.10123407081113,24.937162140709486,21.245132240067015]","[364.3973400186074,139.47372399716437,209.62445873925836]","[470.1931999689632,220.39657440702933,280.8677136748307]","[false,true,true]","[105.7958599503558,80.92285040986496,71.24325493557237]"
86,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[468.79407293759397,211.6216132027136,271.4363728924448]","[29.84543702962298,22.96466712306392,19.217515207395532]","[418.2379689784956,170.1642519573975,236.1545082408417]","[518.0427832088949,243.8260209037032,298.1419083879808]","[true,true,true]","[99.8048142303993,73.6617689463057,61.987400147139084]"
87,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[451.70282135623694,187.22818293691617,261.4537351649293]","[32.66470876108018,24.784581323034395,20.90069709615562]","[396.54208803756984,142.95389493124586,224.04173907834192]","[504.2244167591138,224.67319622769827,293.0053221655147]","[true,true,true]","[107.68232872154397,81.71930129645241,68.9635830871728]"
88,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[432.0148942148365,178.437270180739,271.8677542055458]","[28.983257235420005,19.027942817039918,18.28030423399404]","[386.02012154101465,146.48575584724236,238.48983939116994]","[481.4791599957005,208.177213126465,297.55657310662616]","[true,true,true]","[95.45903845468587,61.69145727922265,59.06673371545622]"
89,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[488.01209535682415,176.42175349903997,229.02582165883723]","[33.91743160272612,21.039490887322362,18.504419243189812]","[425.41535894045387,140.3865233402257,198.3240344013903]","[535.0536155259996,209.10194264011702,259.37309083089895]","[true,true,false]","[109.63825658554572,68.71541929989132,61.04905642950865]"
90,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[477.4230846976075,177.16029366330108,257.52190053429064]","[32.279686829689695,19.665359796280224,18.913557512565106]","[420.94281078022107,145.05242464806912,226.0410760791273]","[527.0018286999845,209.1233954639048,288.91132011418944]","[true,true,true]","[106.05901791976339,64.0709708158357,62.87024403506214]"
91,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[459.97667143388605,205.87671571796994,266.45086115183375]","[30.89440174980001,21.591210298659085,19.18023832880657]","[409.4548224968361,168.44448275432998,233.33817584487497]","[511.3305644807451,238.6079081517478,296.0476359656365]","[true,true,true]","[101.87574198390905,70.16342539741783,62.70946012076155]"
92,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[426.05729140778834,190.81592203707677,241.41558812945843]","[30.942370154246156,21.40243184539166,21.37698655989825]","[376.4158852313682,155.91483238569677,206.643538573054]","[477.9036248529013,225.3342839406421,277.9538856234202]","[true,true,true]","[101.48773962153314,69.41945155494534,71.3103470503662]"
93,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[465.2070996576681,205.24001648862844,267.0540112567329]","[31.901196814680077,23.857218149937417,19.77080821679131]","[411.964518513248,162.97369810180686,231.63208335133788]","[518.1629689476639,240.49068431516994,296.4863356772399]","[true,true,true]","[106.19845043441592,77.51698621336308,64.854252325902]"
94,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[433.0175821877543,181.02086019164923,266.33791363983147]","[29.05490709890536,19.762305378826845,18.60307147692181]","[387.4815284546438,148.35072504334943,234.6232919063723]","[483.48139140661124,212.930942887716,295.3166994107584]","[true,true,true]","[95.99986295196743,64.58021784436656,60.69340750438613]"
95,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[438.813003608319,187.14158913268042,252.38329742390826]","[28.641334449739134,19.038943838357703,17.643923508044306]","[393.79241038671205,156.38179178300473,223.16181251936248]","[487.3268817954655,218.48710823607044,281.3746674831771]","[true,true,true]","[93.53447140875346,62.10531645306571,58.212854963814635]"
96,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[419.74988918640923,180.88783552630608,244.94486737310692]","[30.67422765987074,22.849361758359873,20.197196571125254]","[368.2497348655226,141.28389002121685,211.40697766913755]","[469.4395433315786,216.8024471923186,278.0688836000506]","[false,true,true]","[101.18980846605598,75.51855717110175,66.66190593091304]"
97,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[466.1175358380157,185.76624619619662,247.12175649030232]","[33.176119326106054,25.32665312347176,20.4156205167855]","[409.66817183253994,140.1605503817475,212.4041749103002]","[518.6171806636595,224.77265087834223,280.3322248189541]","[true,true,true]","[108.94900883111956,84.61210049659473,67.92804990865389]"
98,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[467.37165328366376,207.8331514297146,268.66532239988356]","[30.52166192916937,20.154461267009104,17.804834985624314]","[417.3617263855597,173.61793442674235,238.4957343330082]","[518.0050417079274,238.92978518318174,295.9012606083955]","[true,true,true]","[100.6433153223677,65.31185075643938,57.4055262753873]"
99,rough Linear NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[496.35126679347127,220.28334857844655,268.03725540817277]","[27.004288165976313,19.104807170931434,18.54177640461564]","[448.2232799477161,186.19615352733737,235.7804015540621]","[536.1316718986373,248.4284795068413,296.0970409551378]","[true,true,true]","[87.90839195092116,62.23232597950394,60.31663940107569]"
0,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[540.866099666428,219.39877274857807,258.1494934077257]","[7.602163408851458,25.853707513388525,33.46614486912181]","[528.361653610701,176.87320817503843,203.1025836396673]","[553.370545722155,261.9243373221177,313.1964031757841]","[false,true,true]","[25.008892111454088,85.05112914707928,110.0938195361168]"
1,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[384.95497586001886,156.44211314280332,227.98528607093078]","[43.25230571427483,29.3001893062404,28.008095822597113]","[313.81126393188003,108.24759049206908,181.91606807312758]","[456.0986877881577,204.63663579353755,274.054504068734]","[false,true,true]","[142.28742385627766,96.38904530146847,92.13843599560641]"
2,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[496.8693388909684,232.84165526742098,283.36318406638196]","[61.57829866064837,39.81301721960026,32.97944223308675]","[395.58205099749995,167.35506949388008,229.11682889445268]","[598.1566267844368,298.32824104096187,337.60953923831124]","[true,true,true]","[202.5745757869368,130.9731715470818,108.49271034385856]"
3,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[489.10926945103904,185.24370621691438,249.18804811270596]","[52.09842249060249,41.57969227390642,29.93298859332433]","[403.4149902589214,116.85119857265333,199.9526632594794]","[574.8035486431567,253.6362138611754,298.42343296593253]","[true,true,true]","[171.38855838423524,136.78501528852206,98.47076970645313]"
4,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[540.866099666428,230.74504204286725,231.10464350675971]","[0.9341720637253361,15.853443146418877,34.64227764509583]","[539.3295233592127,204.66844858381123,174.12316747636396]","[542.4026759736433,256.8216355019233,288.08611953715547]","[false,false,true]","[3.0731526144306827,52.153186918112084,113.96295206079151]"
5,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[441.0509544403977,179.24503056294802,216.62056474185468]","[79.18125447511474,44.724276278095985,29.106315734138125]","[310.80938083043776,105.68014251414218,168.74493573936292]","[571.2925280503575,252.80991861175386,264.49619374434644]","[true,true,true]","[260.4831472199198,147.12977609761168,95.75125800498353]"
6,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[502.6369985933766,175.39700245168015,300.63955986755883]","[51.92246922145098,25.117937056039796,0.32404803118740183]","[417.23213677419676,134.08167258351432,300.10654828815376]","[588.0418604125564,216.71233231984598,301.1725714469639]","[true,true,false]","[170.80972363835963,82.63065973633167,1.0660231588101396]"
7,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[540.866099666428,175.4293542327131,237.10343326933452]","[5.439396610354892,21.195344247317454,28.64783467829192]","[531.9190884234582,140.566115373028,189.9819384944399]","[549.8131109093978,210.29259309239822,284.2249280442291]","[false,true,true]","[17.89402248593956,69.72647771937022,94.2429895497892]"
8,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[491.3457538330604,234.15716328264577,262.97019149238696]","[50.60087177920875,42.38710924313078,31.586070215966394]","[408.1147263601225,164.43657290809386,211.0157293365108]","[574.5767813059983,303.8777536571977,314.92465364826313]","[true,true,true]","[166.46205494587582,139.4411807491038,103.90892431175234]"
9,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[534.1082329660651,227.4147690187815,245.26696889018004]","[64.92724099473642,35.47331140117993,33.86421865247978]","[427.3124251279206,169.06636410057172,189.565286015771]","[640.9040408042096,285.7631739369913,300.9686517645891]","[true,true,true]","[213.59161567628894,116.69680983641956,111.40336574881809]"
10,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[521.8025289385631,216.60822674975768,252.21984671595527]","[64.58236311838762,37.59883719715624,30.278111387318656]","[415.5739947261863,154.76364301685732,202.41678538328352]","[628.0310631509399,278.45281048265804,302.022908048627]","[true,true,true]","[212.45706842475357,123.68916746580072,99.60612266534349]"
11,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[494.08918652569224,231.08921783993975,275.59136905229536]","[72.62832794739538,46.69928682925511,33.08817347475594]","[374.62621788199806,154.2757265227924,221.16616690314356]","[613.5521551693864,307.9027091570871,330.01657120144716]","[true,true,true]","[238.92593728738836,153.62698263429468,108.8504042983036]"
12,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[493.64561598142086,230.07278303272503,300.63955986755883]","[48.630015445944146,24.17431737773198,0.31586072449313735]","[413.65635869645354,190.3095694148866,300.12001520926475]","[573.6348732663881,269.83599665056346,301.1591045258529]","[true,true,false]","[159.9785145699346,79.52642723567686,1.0390893165881607]"
13,full all-pair MPLE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[519.751990198879,235.53603902644556,300.63955986755883]","[46.62832848603349,26.13514907237701,0.629508889258324]","[443.05521496994214,192.54754428382884,299.60410988786407]","[596.4487654278157,278.52453376906226,301.6750098472536]","[true,true,false]","[153.39355045787357,85.97698948523342,2.0708999593895214]"
