method,step,stage,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_source,lr_model,lr_gate,lr_rho,grad_norm
linear CS beta-conditioned DeepSets FSM,0,joint,52.26084155273438,52.26084155273438,52.26084155273438,52.26084155273438,raw,0.0001,,,
linear CS beta-conditioned DeepSets FSM,1,joint,58.95338821411133,51.586907958984376,52.25740551757813,51.586907958984376,raw,0.0001,,,328.0793151855469
linear CS beta-conditioned DeepSets FSM,100,joint,46.65065002441406,42.15672534179687,46.715220336914065,42.15672534179687,raw,0.0001,,,48.46581268310547
linear CS beta-conditioned DeepSets FSM,200,joint,39.92219543457031,41.87301806640625,43.835156005859375,41.87301806640625,raw,0.0001,,,36.55685043334961
linear CS beta-conditioned DeepSets FSM,300,joint,43.34355926513672,41.72870703125,42.62703039550781,41.72870703125,raw,0.0001,,,25.530332565307617
linear CS beta-conditioned DeepSets FSM,400,joint,44.59383773803711,41.63818359375,42.07569494628906,41.63818359375,raw,0.0001,,,32.246742248535156
linear CS beta-conditioned DeepSets FSM,500,joint,44.11217498779297,41.565267578125,41.82454772949219,41.565267578125,raw,0.0001,,,34.481719970703125
linear CS beta-conditioned DeepSets FSM,600,joint,42.361839294433594,41.51552734375,41.685753173828125,41.51552734375,raw,0.0001,,,56.215789794921875
linear CS beta-conditioned DeepSets FSM,700,joint,37.852745056152344,41.49891955566406,41.59670385742187,41.49891955566406,raw,0.0001,,,42.43893051147461
linear CS beta-conditioned DeepSets FSM,800,joint,42.737098693847656,41.44922900390625,41.52650024414063,41.44922900390625,raw,0.0001,,,20.316932678222656
linear CS beta-conditioned DeepSets FSM,900,joint,39.37174987792969,41.42746801757813,41.486880493164065,41.42746801757813,raw,0.0001,,,51.279422760009766
linear CS beta-conditioned DeepSets FSM,1000,joint,40.9801025390625,41.41500036621094,41.45200183105469,41.41500036621094,raw,0.0001,,,15.721856117248535
linear CS beta-conditioned DeepSets FSM,1100,joint,44.65040588378906,41.38171142578125,41.43521557617188,41.38171142578125,raw,0.0001,,,33.19459533691406
linear CS beta-conditioned DeepSets FSM,1200,joint,40.905296325683594,41.38737329101563,41.40760021972656,41.38171142578125,raw,0.0001,,,24.080446243286133
linear CS beta-conditioned DeepSets FSM,1300,joint,45.74555969238281,41.39002795410156,41.38960974121094,41.38171142578125,raw,0.0001,,,6.800011157989502
linear CS beta-conditioned DeepSets FSM,1400,joint,40.7662467956543,41.336074951171874,41.37574890136719,41.336074951171874,raw,0.0001,,,9.417106628417969
linear CS beta-conditioned DeepSets FSM,1500,joint,47.105194091796875,41.35455859375,41.3577529296875,41.336074951171874,raw,0.0001,,,51.729522705078125
linear CS beta-conditioned DeepSets FSM,1600,joint,44.81474685668945,41.30750207519531,41.34251806640625,41.30750207519531,raw,0.0001,,,39.20354080200195
linear CS beta-conditioned DeepSets FSM,1700,joint,38.82087707519531,41.304383544921876,41.330811401367185,41.304383544921876,raw,0.0001,,,54.45643997192383
linear CS beta-conditioned DeepSets FSM,1800,joint,38.325225830078125,41.352101806640626,41.32112548828125,41.304383544921876,raw,0.0001,,,18.42049217224121
linear CS beta-conditioned DeepSets FSM,1900,joint,42.57423400878906,41.28651696777344,41.30384545898438,41.28651696777344,raw,0.0001,,,35.75105667114258
linear CS beta-conditioned DeepSets FSM,2000,joint,39.289459228515625,41.274009887695314,41.29593896484375,41.274009887695314,raw,0.0001,,,68.09004974365234
linear CS beta-conditioned DeepSets FSM,2100,joint,41.941307067871094,41.34567358398437,41.28543237304687,41.274009887695314,raw,0.0001,,,37.35878372192383
linear CS beta-conditioned DeepSets FSM,2200,joint,42.262977600097656,41.3381826171875,41.268943725585935,41.268943725585935,ema,0.0001,,,41.704566955566406
linear CS beta-conditioned DeepSets FSM,2300,joint,42.43006896972656,41.33122326660156,41.261638427734376,41.261638427734376,ema,0.0001,,,21.12027359008789
linear CS beta-conditioned DeepSets FSM,2400,joint,39.86846923828125,41.35312915039062,41.249147827148434,41.249147827148434,ema,0.0001,,,54.888851165771484
linear CS beta-conditioned DeepSets FSM,2500,joint,41.59556579589844,41.24021594238281,41.242935791015626,41.24021594238281,raw,0.0001,,,32.260101318359375
linear CS beta-conditioned DeepSets FSM,2600,joint,44.13649368286133,41.301816162109375,41.24149072265625,41.24021594238281,raw,0.0001,,,6.393970966339111
linear CS beta-conditioned DeepSets FSM,2700,joint,46.121559143066406,41.21660107421875,41.22479272460937,41.21660107421875,raw,0.0001,,,24.25320816040039
linear CS beta-conditioned DeepSets FSM,2800,joint,38.65471267700195,41.249666137695314,41.224232788085935,41.21660107421875,raw,0.0001,,,47.59996795654297
linear CS beta-conditioned DeepSets FSM,2900,joint,43.011932373046875,41.18033337402344,41.20533325195313,41.18033337402344,raw,0.0001,,,62.584388732910156
linear CS beta-conditioned DeepSets FSM,3000,joint,46.690757751464844,41.220489624023436,41.19684045410156,41.18033337402344,raw,0.0001,,,40.501319885253906
linear CS beta-conditioned DeepSets FSM,3100,joint,43.51877975463867,41.16541284179687,41.18960974121094,41.16541284179687,raw,0.0001,,,47.430084228515625
linear CS beta-conditioned DeepSets FSM,3200,joint,44.0889892578125,41.187248046875,41.18281909179687,41.16541284179687,raw,0.0001,,,9.9796781539917
linear CS beta-conditioned DeepSets FSM,3300,joint,40.4780158996582,41.22854748535156,41.17729602050781,41.16541284179687,raw,0.0001,,,31.985294342041016
linear CS beta-conditioned DeepSets FSM,3400,joint,42.36248779296875,41.171818481445314,41.17122583007812,41.16541284179687,raw,0.0001,,,43.04008865356445
linear CS beta-conditioned DeepSets FSM,3500,joint,39.95875930786133,41.14444262695312,41.16562939453125,41.14444262695312,raw,0.0001,,,18.52637481689453
linear CS beta-conditioned DeepSets FSM,3600,joint,42.29417419433594,41.19519067382812,41.15169482421875,41.14444262695312,raw,0.0001,,,16.20970344543457
linear CS beta-conditioned DeepSets FSM,3700,joint,39.914527893066406,41.15035778808594,41.14497119140625,41.14444262695312,raw,0.0001,,,43.80614471435547
linear CS beta-conditioned DeepSets FSM,3800,joint,46.782562255859375,41.130067138671876,41.137400512695315,41.130067138671876,raw,0.0001,,,33.43717956542969
linear CS beta-conditioned DeepSets FSM,3900,joint,42.74351501464844,41.105443603515624,41.13248388671875,41.105443603515624,raw,0.0001,,,26.971525192260742
linear CS beta-conditioned DeepSets FSM,4000,joint,37.85973358154297,41.097900390625,41.1225703125,41.097900390625,raw,0.0001,,,36.65523910522461
linear CS beta-conditioned DeepSets FSM,4100,joint,42.021514892578125,41.1942705078125,41.11374743652344,41.097900390625,raw,0.0001,,,55.41686248779297
linear CS beta-conditioned DeepSets FSM,4200,joint,37.21415710449219,41.13407958984375,41.1149921875,41.097900390625,raw,0.0001,,,14.120318412780762
linear CS beta-conditioned DeepSets FSM,4300,joint,40.26697540283203,41.19622998046875,41.10764306640625,41.097900390625,raw,0.0001,,,57.22736358642578
linear CS beta-conditioned DeepSets FSM,4400,joint,36.18791961669922,41.0618115234375,41.09124768066406,41.0618115234375,raw,0.0001,,,30.933855056762695
linear CS beta-conditioned DeepSets FSM,4500,joint,42.038902282714844,41.064056640625,41.079677612304685,41.0618115234375,raw,0.0001,,,25.125410079956055
linear CS beta-conditioned DeepSets FSM,4600,joint,41.0177001953125,41.063318359375,41.07579809570313,41.0618115234375,raw,0.0001,,,43.86055374145508
linear CS beta-conditioned DeepSets FSM,4700,joint,43.90187454223633,41.19799401855469,41.06801013183594,41.0618115234375,raw,0.0001,,,6.740401268005371
