mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,checkpoint_step,checkpoint_source,pi,n
0.6617394970807637,0.8134737224279367,0.4138473497824564,0.6433096841976316,0.8644892654233326,0.7795318761208662,-0.021611614170923183,1.2645134099641107,-0.527054288983345,1.0455343627176474,linear CS beta-conditioned DeepSets FSM,10000,raw,0.07,5000
0.41307371213654903,0.642708108037038,0.2583334707791337,0.508265157943306,0.8642407694691958,0.8625627622183641,-0.021611614170923183,1.2645134099641107,-0.0853239413484931,1.02705355222869,linear CS beta-conditioned DeepSets FSM,10000,ema,0.07,5000
0.3592975500343523,0.5994143391964796,0.22470222726768635,0.4740276650868453,0.8893797694557009,0.8805478156848853,-0.021611614170923183,1.2645134099641107,-0.1782140607982874,1.1005983772580537,linear CS beta-conditioned DeepSets FSM,15000,raw,0.07,5000
0.3494275779312352,0.5911239953945663,0.21852961430545406,0.46747151175815416,0.8888401211144529,0.8841192344515496,-0.021611614170923183,1.2645134099641107,-0.1350825492888689,1.095280916090503,linear CS beta-conditioned DeepSets FSM,15000,ema,0.07,5000
0.611650997850867,0.7820811964565233,0.38252234537767404,0.6184839087459544,0.8999204794059458,0.8198102348352362,-0.021611614170923183,1.2645134099641107,-0.5724393555268645,1.2027846644530669,linear CS beta-conditioned DeepSets FSM,20000,raw,0.07,5000
0.3163269267888875,0.5624294860592637,0.19782869375927978,0.4447793764994953,0.9002880921409051,0.8968134616164415,-0.021611614170923183,1.2645134099641107,-0.12753662886172534,1.184548414094948,linear CS beta-conditioned DeepSets FSM,20000,ema,0.07,5000
0.4149006019572931,0.6441277838731172,0.2594759951622101,0.5093878631869924,0.9223691134785988,0.8828598660304452,-0.021611614170923183,1.2645134099641107,-0.4197175977930427,1.2997122172418314,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,raw,0.07,5000
0.24134621858232821,0.4912700057833047,0.15093627232609297,0.38850517670436896,0.923456025811738,0.9230684722345579,-0.021611614170923183,1.2645134099641107,-0.05972210810929537,1.2346220618314707,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,ema,0.07,5000
0.24182686646995222,0.49175895159107397,0.15123686622346383,0.38889184386338554,0.9265296200774934,0.9262499872761805,-0.021611614170923183,1.2645134099641107,0.009156988744437695,1.2922488717915177,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,raw,0.07,5000
0.24343598877402622,0.49339232743733075,0.15224320029291954,0.3901835469274935,0.9271634427008446,0.9253212512792175,-0.021611614170923183,1.2645134099641107,-0.1051736808270216,1.2819817528187851,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,ema,0.07,5000
0.4736629387400114,0.6882317478437124,0.2962255581727797,0.5442660729576846,0.925106640762041,0.8737316239414271,-0.021611614170923183,1.2645134099641107,-0.48920459238290787,1.32627201493921,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,raw,0.07,5000
