method_id,method,selection_metric,checkpoint_step,checkpoint_source,n_validation,fsm_val_mse,fsm_val_mse_se,lr,gate_lr,validation_y_sha256,validation_target_sha256,minibatch_indices_sha256,exact_score_used,per_row_artifact
linear,linear CS beta-conditioned DeepSets FSM,final_ema_fsm_validation_mse,20000,ema,8000,40.620439594603056,0.637309067849819,0.0001,,ed9f2f4375e35cbc15f1efd470b7e661a9707cd46e003722813493fafb208af5,11b5c652bc5c4f293de61b4591f620cda25957a274038128d154db1615e0e77b,9eb6ee45b7b147bc43d2566c38b20abafcb71a1320579a3217031e044dc9d65d,False,lr_selection_final_ema_linear.npz
shared_radial,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],final_ema_fsm_validation_mse,20000,ema,8000,40.50316767092474,0.6345289600989356,0.0001,0.0001,ed9f2f4375e35cbc15f1efd470b7e661a9707cd46e003722813493fafb208af5,11b5c652bc5c4f293de61b4591f620cda25957a274038128d154db1615e0e77b,9eb6ee45b7b147bc43d2566c38b20abafcb71a1320579a3217031e044dc9d65d,False,lr_selection_final_ema_shared_radial.npz
