step,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_step,best_source,grad_norm,learning_rate
1,28.050493240356445,28.994045471191406,29.109983642578126,28.994045471191406,1,raw,93.57280731201172,0.0001
100,27.252601623535156,25.041673461914062,27.225160400390624,25.041673461914062,100,raw,9.874197006225586,0.0001
200,25.20752716064453,24.996876892089844,25.888668334960936,24.996876892089844,200,raw,15.259623527526855,0.0001
300,23.09821891784668,24.911058410644532,25.3597177734375,24.911058410644532,300,raw,3.2490193843841553,0.0001
400,26.777957916259766,24.738096435546876,25.100421875,24.738096435546876,400,raw,16.466360092163086,0.0001
500,21.743408203125,24.411484375,24.91033673095703,24.411484375,500,raw,19.756690979003906,0.0001
600,25.198062896728516,23.921850036621095,24.67165606689453,23.921850036621095,600,raw,6.159811496734619,0.0001
700,21.08234405517578,23.419691833496096,24.319709289550783,23.419691833496096,700,raw,10.157188415527344,0.0001
800,21.735918045043945,23.18757305908203,23.913023681640624,23.18757305908203,800,raw,14.283632278442383,0.0001
900,21.919784545898438,23.13520751953125,23.56039306640625,23.13520751953125,900,raw,12.299370765686035,0.0001
1000,24.398332595825195,23.099664001464845,23.3260224609375,23.099664001464845,1000,raw,30.585224151611328,0.0001
1100,24.021129608154297,23.090065063476562,23.200786376953126,23.090065063476562,1100,raw,29.117006301879883,0.0001
1200,22.213817596435547,23.167731079101564,23.138430725097656,23.090065063476562,1100,raw,39.834510803222656,0.0001
1300,22.713327407836914,23.13742889404297,23.111490173339845,23.090065063476562,1100,raw,29.820903778076172,0.0001
1400,22.326780319213867,23.08853515625,23.098851684570313,23.08853515625,1400,raw,14.827629089355469,0.0001
1500,21.253507614135742,23.082186157226563,23.090119750976562,23.082186157226563,1500,raw,1.6946803331375122,0.0001
1600,25.726593017578125,23.083346435546876,23.086385009765625,23.082186157226563,1500,raw,7.556674003601074,0.0001
1700,23.324665069580078,23.089095336914063,23.08316943359375,23.082186157226563,1500,raw,21.481950759887695,0.0001
1800,22.83979034423828,23.083718017578125,23.081008911132812,23.081008911132812,1800,ema,13.291406631469727,0.0001
1900,20.166486740112305,23.087531433105468,23.081842346191408,23.081008911132812,1800,ema,11.28316593170166,0.0001
2000,23.49085807800293,23.10155529785156,23.084165771484376,23.081008911132812,1800,ema,7.849287986755371,0.0001
2100,26.150325775146484,23.08425549316406,23.0843447265625,23.081008911132812,1800,ema,5.254715919494629,0.0001
2200,24.105918884277344,23.096813537597658,23.08172119140625,23.081008911132812,1800,ema,13.472847938537598,0.0001
2300,21.54776382446289,23.088807373046876,23.081449584960936,23.081008911132812,1800,ema,20.749256134033203,0.0001
2400,24.49953842163086,23.09529528808594,23.079549499511717,23.079549499511717,2400,ema,12.328924179077148,0.0001
2500,22.720584869384766,23.076815063476563,23.07890295410156,23.076815063476563,2500,raw,24.885717391967773,0.0001
2600,24.999553680419922,23.086334655761718,23.08015783691406,23.076815063476563,2500,raw,16.99802589416504,0.0001
2700,23.102771759033203,23.125793701171876,23.07913214111328,23.076815063476563,2500,raw,15.43458366394043,0.0001
2800,21.94849967956543,23.10096240234375,23.080517028808593,23.076815063476563,2500,raw,21.681888580322266,0.0001
2900,25.069198608398438,23.07416876220703,23.078685607910156,23.07416876220703,2900,raw,15.983148574829102,0.0001
3000,19.931900024414062,23.07610070800781,23.075546142578126,23.07416876220703,2900,raw,11.109709739685059,0.0001
3100,22.503196716308594,23.080700073242188,23.074956787109375,23.07416876220703,2900,raw,2.2548904418945312,0.0001
3200,22.139102935791016,23.087971801757813,23.074381286621094,23.07416876220703,2900,raw,14.362518310546875,0.0001
3300,23.736841201782227,23.07657507324219,23.07412243652344,23.07412243652344,3300,ema,16.49030876159668,0.0001
3400,22.11908721923828,23.08038916015625,23.076039245605468,23.07412243652344,3300,ema,15.618517875671387,0.0001
3500,23.485336303710938,23.076974975585937,23.075392578125,23.07412243652344,3300,ema,12.51621150970459,0.0001
3600,23.151813507080078,23.09101239013672,23.07504278564453,23.07412243652344,3300,ema,10.831864356994629,0.0001
3700,23.250890731811523,23.087864013671876,23.074490966796876,23.07412243652344,3300,ema,19.079803466796875,0.0001
3800,23.59278678894043,23.114281494140624,23.073215087890624,23.073215087890624,3800,ema,14.987441062927246,0.0001
3900,21.325145721435547,23.077339294433592,23.072580505371093,23.072580505371093,3900,ema,9.643155097961426,0.0001
4000,23.63524627685547,23.069267211914063,23.071635375976562,23.069267211914063,4000,raw,17.015369415283203,0.0001
4100,21.178733825683594,23.07821936035156,23.071565673828125,23.069267211914063,4000,raw,9.063112258911133,0.0001
4200,25.616374969482422,23.073493225097657,23.070337829589842,23.069267211914063,4000,raw,30.392240524291992,0.0001
4300,21.11986541748047,23.08141650390625,23.07232043457031,23.069267211914063,4000,raw,17.39919090270996,0.0001
4400,23.88127326965332,23.077415771484375,23.073264099121094,23.069267211914063,4000,raw,15.169011116027832,0.0001
4500,22.429100036621094,23.07945086669922,23.07702490234375,23.069267211914063,4000,raw,25.538002014160156,0.0001
4600,21.58745574951172,23.074991577148438,23.076143798828124,23.069267211914063,4000,raw,11.571845054626465,0.0001
4700,22.319976806640625,23.09616467285156,23.07665643310547,23.069267211914063,4000,raw,5.641263484954834,0.0001
4800,23.312694549560547,23.08047314453125,23.076223876953126,23.069267211914063,4000,raw,9.671503067016602,0.0001
4900,23.185535430908203,23.068745727539063,23.072916320800783,23.068745727539063,4900,raw,14.42555046081543,0.0001
5000,21.762767791748047,23.070165710449217,23.071829833984374,23.068745727539063,4900,raw,9.015822410583496,0.0001
5100,24.710590362548828,23.073803955078127,23.071226623535157,23.068745727539063,4900,raw,4.623547554016113,0.0001
5200,22.729881286621094,23.0732421875,23.072306518554687,23.068745727539063,4900,raw,12.713179588317871,0.0001
5300,24.076974868774414,23.06950079345703,23.072314575195314,23.068745727539063,4900,raw,13.696158409118652,0.0001
5400,22.72222137451172,23.084594116210937,23.069156066894532,23.068745727539063,4900,raw,14.761247634887695,0.0001
5500,22.61817169189453,23.0655703125,23.066599365234374,23.0655703125,5500,raw,18.370573043823242,0.0001
5600,20.772186279296875,23.094713623046875,23.06617138671875,23.0655703125,5500,raw,13.664206504821777,0.0001
5700,21.9045467376709,23.113725708007813,23.06679376220703,23.0655703125,5500,raw,7.244894504547119,0.0001
5800,24.59809684753418,23.067745971679688,23.06640234375,23.0655703125,5500,raw,50.13538360595703,0.0001
5900,20.72994613647461,23.07234631347656,23.066663696289062,23.0655703125,5500,raw,2.5764567852020264,0.0001
6000,24.967233657836914,23.091653930664062,23.065200439453125,23.065200439453125,6000,ema,15.289030075073242,0.0001
6100,20.871469497680664,23.130565673828126,23.06518212890625,23.06518212890625,6100,ema,25.240896224975586,0.0001
6200,23.318763732910156,23.08460467529297,23.06428839111328,23.06428839111328,6200,ema,24.1732234954834,0.0001
6300,22.514728546142578,23.073273986816407,23.065976196289064,23.06428839111328,6200,ema,8.69261360168457,0.0001
6400,23.144668579101562,23.085923217773438,23.065221130371093,23.06428839111328,6200,ema,1.5735517740249634,0.0001
6500,22.524778366088867,23.079003234863283,23.065650268554688,23.06428839111328,6200,ema,4.959738731384277,0.0001
6600,26.16175079345703,23.062542297363283,23.065551330566407,23.062542297363283,6600,raw,7.299999237060547,0.0001
6700,22.63006591796875,23.079465576171874,23.0662705078125,23.062542297363283,6600,raw,15.357940673828125,0.0001
6800,22.688615798950195,23.082995727539064,23.064212036132812,23.062542297363283,6600,raw,15.078184127807617,0.0001
6900,25.600635528564453,23.080763671875,23.064696655273437,23.062542297363283,6600,raw,15.31557846069336,0.0001
7000,22.2485408782959,23.071305419921874,23.063121826171876,23.062542297363283,6600,raw,14.6029052734375,0.0001
7100,22.608335494995117,23.077686645507814,23.061747192382814,23.061747192382814,7100,ema,9.277554512023926,0.0001
7200,23.550495147705078,23.074499755859375,23.061374755859376,23.061374755859376,7200,ema,6.729382514953613,0.0001
7300,20.419639587402344,23.059093505859376,23.060266235351563,23.059093505859376,7300,raw,12.883129119873047,0.0001
7400,22.562273025512695,23.074735595703125,23.05942028808594,23.059093505859376,7300,raw,28.329753875732422,0.0001
7500,21.709590911865234,23.071084594726564,23.05972937011719,23.059093505859376,7300,raw,2.603384017944336,0.0001
7600,20.714767456054688,23.077445068359374,23.058575439453126,23.058575439453126,7600,ema,9.81674575805664,0.0001
7700,20.493473052978516,23.068931274414062,23.06050134277344,23.058575439453126,7600,ema,10.61276912689209,0.0001
7800,22.78631591796875,23.0565966796875,23.060630004882814,23.0565966796875,7800,raw,23.22040557861328,0.0001
7900,23.583595275878906,23.07657141113281,23.060047180175783,23.0565966796875,7800,raw,14.164690017700195,0.0001
