method,n,context_dim,pilot_u_mean,pilot_u_sd,pilot_u_min,pilot_u_max,corr_pilot_true_u,pilot_rmse_to_true_u,n_pilot_boundary,pilot_boundary_rate,score_mean,score_sd,score_min,score_max,corr_score_true_u
pilot-only NPE,50000,1,-0.7485921514887475,1.1417671954710753,-2.944438934326172,0.8472978472709656,0.8203761811565953,0.6622031893426823,8698,0.17396,nan,nan,nan,nan,nan
linear FSM pilot+score NPE,50000,2,-0.7485921514887475,1.1417671954710753,-2.944438934326172,0.8472978472709656,0.8203761811565953,0.6622031893426823,8698,0.17396,0.12771904557541014,1.577994329460313,-5.879947662353516,7.2042131423950195,0.16853147182293807
shared-raw-gate FSM pilot+score NPE,50000,2,-0.7485921514887475,1.1417671954710753,-2.944438934326172,0.8472978472709656,0.8203761811565953,0.6622031893426823,8698,0.17396,0.19398417480543256,1.743267038273004,-6.396389961242676,8.037185668945312,0.17915129852476278
