run_dir,checkpoint_path,checkpoint_sha256,checkpoint_is_override,method,label,device,selection,checkpoint_source,checkpoint_step,best_source,best_step,best_val_loss,pi_min,pi_max,sigma_q,n_blocks,block_size,tau,forward_max_abs,derivative_fd_max_abs,derivative_fd_max_rel,block_permutation_max_abs,within_block_permutation_max_abs,all_scores_finite,all_derivatives_finite,passed
/root/autodl-tmp/model2_stage2_40x40/runs/k40_m40_sigma015_matched20k,/root/autodl-tmp/model2_stage2_40x40/runs/k40_m40_sigma015_matched20k/milestones/model_linear_step20000_ema.pt,aa9fdb39cee47132efd8e20ea3945efc91935549fa142815679c724b634c1280,True,linear,linear CS beta-conditioned DeepSets FSM,cuda,fixed_milestone,ema,20000,raw,19700,40.09488952636719,0.05,0.7,0.15,40,40,1.0,7.3909759521484375e-06,0.00013437569475627242,3.483026359174363e-05,4.76837158203125e-07,7.152557373046875e-07,True,True,True
/root/autodl-tmp/model2_stage2_40x40/runs/k40_m40_sigma015_matched20k,/root/autodl-tmp/model2_stage2_40x40/runs/k40_m40_sigma015_matched20k/milestones/model_shared_radial_step20000_ema.pt,bf4c7601626958988fbc2229a46f263a3d389e473f02d385561f48fa8f3a2a4a,True,shared_radial,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],cuda,fixed_milestone,ema,20000,raw,16000,39.937550659179685,0.05,0.7,0.15,40,40,1.0,0.0,0.00010360370110173989,3.283387205065224e-05,0.0,4.76837158203125e-07,True,True,True
