pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,exact likelihood grid,10,0.004201875284675827,0.0013027283865527904,0.0,0.0,0.0,0.05125584282407393,0.0,0.8
0.07,raw-block DeepSets FSM pilot+score NPE,10,0.004226638262609059,0.0012262015061513336,0.012046960389947224,0.00014512925463695738,0.01016767492923595,0.0550675705075264,0.0048579623214866224,0.8
0.1,exact likelihood grid,10,0.005228980011130679,0.0025440943488036507,0.0,0.0,0.0,0.05739250673177795,0.0,0.9
0.1,raw-block DeepSets FSM pilot+score NPE,10,0.005398670887847942,0.0028349823678413496,0.014106525464272665,0.00019899406067417315,0.0115082778246687,0.060870741680264476,0.004566032651046721,0.9
0.3,exact likelihood grid,10,0.003993648872742281,0.0013295223865062856,0.0,0.0,0.0,0.08497837063695894,0.0,1.0
0.3,raw-block DeepSets FSM pilot+score NPE,10,0.004957875816769874,0.0015048564209205497,0.017952043034275413,0.0003222758491044764,0.015388711989517162,0.08866545781493188,0.004007334758148309,1.0
0.5,exact likelihood grid,10,0.010048210548021987,0.004745592209719096,0.0,0.0,0.0,0.08746142550874705,0.0,0.8
0.5,raw-block DeepSets FSM pilot+score NPE,10,0.010543761447507105,0.005088937941083807,0.007445975538437326,5.544255171900702e-05,0.007093792410646403,0.09002366662025452,0.0035312887607803476,0.8
0.65,exact likelihood grid,10,0.003526455045842939,0.0013961767659270844,0.0,0.0,0.0,0.0652427767700659,0.0,1.0
0.65,raw-block DeepSets FSM pilot+score NPE,10,0.00405663990740827,0.0015433261801668118,0.011308255836464493,0.00012787665006293327,0.009152227874343177,0.06515950672328472,0.0032880536196380613,1.0
0.68,exact likelihood grid,10,0.005612242457301105,0.0015907966000281962,0.0,0.0,0.0,0.06219813876310443,0.0,1.0
0.68,raw-block DeepSets FSM pilot+score NPE,10,0.006458242170768189,0.0018194516632647725,0.012289063325550364,0.00015102107741938697,0.009578697258517201,0.06220585443079472,0.0037864971568154298,0.8
