pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,-1.9839003734198866,interior,nan,0.16199571270321814,0.06640194018441756,0.06640194018441756,0.06978468227151578,0.1529565616581418,0.28477049275632427,0.008463211155773049,0.0,0.0,1.0
0.07,100,direct amortized raw-FSM pilot+score NPE,-1.9839003734198866,interior,0.09066624939441681,0.19933733344078064,0.09612731635570526,0.06640194018441756,0.07423384413123131,0.18187106400728226,0.3791146948933602,0.01672814582157167,0.001394396639307958,0.03740833609174459,0.0
0.07,101,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.09846278465267115,0.04253039689880484,0.04253039689880484,0.05296990083240185,0.08699928946914476,0.18294581122671202,0.000810130110184332,0.0,0.0,1.0
0.07,101,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.05788680911064148,0.12382696568965912,0.06337424367666245,0.04253039689880484,0.05899263806641102,0.1070198118686676,0.25420241951942457,0.002897342235355739,0.0006433416796771,0.025430874745161473,1.0
0.07,102,exact likelihood grid,-2.265046852577959,interior,nan,0.16510238064512703,0.06752922338312285,0.06752922338312285,0.07129010812544923,0.1559038528623568,0.2899659043803365,0.00904446280437063,0.0,0.0,0.0
0.07,102,direct amortized raw-FSM pilot+score NPE,-2.265046852577959,interior,0.12881919741630554,0.17736312747001648,0.086038738489151,0.06752922338312285,0.07043787352740764,0.15978795289993286,0.3392011553049088,0.011526841140143006,0.00015032591270403676,0.014148776194980103,0.0
0.07,103,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.07965165727968436,0.029001650467625328,0.029001650467625328,0.05143126494630414,0.07080039005478354,0.13778779316340856,9.315448824448397e-05,0.0,0.0,1.0
0.07,103,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.17133104801177979,0.12571808695793152,0.06643454730510712,0.029001650467625328,0.05767610520124435,0.10722732916474342,0.2611059173941612,0.0031045052142516178,0.0021221159433008905,0.04613278702437352,1.0
0.07,104,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.09453071719306991,0.039342512984450566,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,0.0006017560860063753,0.0,0.0,1.0
0.07,104,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.05022113025188446,0.12316135317087173,0.06353145837783813,0.039342512984450566,0.0587744664400816,0.10515965521335602,0.251526290178299,0.0028261294709581537,0.0008197133164934004,0.02869720688431109,1.0
0.07,105,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.08354993845211786,0.03265792438233137,0.03265792438233137,0.05164456755267191,0.07361926699970214,0.14907108445202147,0.000183600832056182,0.0,0.0,1.0
0.07,105,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.1066041886806488,0.12281015515327454,0.06311556696891785,0.03265792438233137,0.057254673540592195,0.10607726871967316,0.2500790119171143,0.0027889124873129285,0.0015413646154217816,0.0393267527278018,1.0
0.07,106,exact likelihood grid,-1.9078127825248905,interior,nan,0.17584806459322777,0.06698662220706482,0.06698662220706482,0.0799102052248581,0.16800914249507562,0.2980203408674533,0.011203812778132117,0.0,0.0,0.0
0.07,106,direct amortized raw-FSM pilot+score NPE,-1.9078127825248905,interior,0.3046781122684479,0.20128034055233002,0.09575741738080978,0.06698662220706482,0.07541642412543298,0.18360183387994766,0.38658488541841507,0.017234527815535743,0.0006468006604599301,0.0269903288670598,0.0
0.07,107,exact likelihood grid,-1.550379405132877,interior,nan,0.13319266929319684,0.05639712889818245,0.05639712889818245,0.060259905678497844,0.123258903833983,0.24008654527187395,0.003993313452399342,0.0,0.0,1.0
0.07,107,direct amortized raw-FSM pilot+score NPE,-1.550379405132877,interior,0.17626863718032837,0.23798808455467224,0.11040014028549194,0.05639712889818245,0.0837313137948513,0.2227177396416664,0.4453662484884262,0.028219996552347706,0.01098207905982507,0.10486213651280095,0.0
0.07,108,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.11850461390207905,0.05115147023425422,0.05115147023425422,0.056276422520651403,0.10788303169328321,0.21717258348856588,0.002352697569789759,0.0,0.0,1.0
0.07,108,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.14624181389808655,0.12297442555427551,0.06449028849601746,0.05115147023425422,0.057146314345300195,0.10428370535373688,0.25517544150352484,0.0028062897628054776,1.9979216206111316e-05,0.008696215524488803,1.0
0.07,109,exact likelihood grid,-2.806435097562769,interior,nan,0.14261276451011906,0.060559558600485314,0.060559558600485314,0.0626291292114266,0.1326243378237185,0.25667123396633407,0.005272613569802006,0.0,0.0,1.0
0.07,109,direct amortized raw-FSM pilot+score NPE,-2.806435097562769,interior,-0.14421404898166656,0.13096493482589722,0.06821689009666443,0.060559558600485314,0.05925179496407509,0.11322370916604996,0.26909914165735244,0.0037167232783258944,0.00013567193635263954,0.014900990741632814,1.0
0.1,100,exact likelihood grid,-1.9838882074977162,interior,nan,0.1619910591712785,0.06639983411787068,0.06639983411787068,0.06978323830745468,0.15295207771819402,0.2847620916268765,0.003842891417176953,0.0,0.0,1.0
0.1,100,direct amortized raw-FSM pilot+score NPE,-1.9838882074977162,interior,0.0904073417186737,0.199337437748909,0.09612837433815002,0.06639983411787068,0.0742313127964735,0.18187079578638077,0.3791146665811539,0.00986792653851837,0.0013947519928636971,0.037413099707520214,1.0
0.1,101,exact likelihood grid,-2.4683713256785453,interior,nan,0.1459486603200323,0.06263351440289287,0.06263351440289287,0.06326539953190595,0.13559327575026114,0.26394556230032196,0.002111279385205709,0.0,0.0,1.0
