family,n_stage1_fits,n_test_per_fit,posterior_mean_rmse_to_exact,posterior_mean_rmse_to_exact_stage1_sd,posterior_mean_mae_to_exact,posterior_mean_mae_to_exact_stage1_sd,posterior_sd_mae_to_exact,posterior_sd_mae_to_exact_stage1_sd,interval_endpoint_mae_to_exact,interval_endpoint_mae_to_exact_stage1_sd,interval_width_mae_to_exact,interval_width_mae_to_exact_stage1_sd,w1_to_exact,w1_to_exact_stage1_sd
pilot_only,1,100,0.06808201917673709,0.0,0.05547169244949627,0.0,0.022329665156784615,0.0,0.05544356468758277,0.0,0.07360494460054522,0.0,0.0566710605372672,0.0
jiang_round1,1,100,0.03272189242745694,0.0,0.026031430111199915,0.0,0.009583757805850406,0.0,0.02587234614670359,0.0,0.032382203046097305,0.0,0.02674425243213436,0.0
ours_linear,5,100,0.025339418267712726,0.0008971158989371935,0.019917590308818327,0.0005309168730605394,0.004951410659428412,8.955699412460288e-05,0.019081843517032303,0.00040945135558796155,0.016638212165237382,0.00047263678743324363,0.02039195393333462,0.0005285060359221203
ours_nonlinear,5,100,0.02188557136946507,0.0009166491318282188,0.017512906166826325,0.0006514587156933309,0.004532015172729025,0.00015012598149797006,0.016871315335647806,0.0005564802341041361,0.015213107277055295,0.0005103341060719294,0.017873909998967513,0.0006710113999395881
