method,n,context_dim,no_oracle_parameter,pilot_deterministic,corr_pilot_true_u,pilot_boundary_rate,mean_abs_score,passed
linear,64,2,True,True,0.7341098337291886,0.171875,0.4507263586856425,True
radial,64,2,True,True,0.7341098337291886,0.171875,0.43821951001882553,True
