method,n,pi_avg_mse,rmse_mean_to_exact,mean_w1_to_exact,w1_se,avg_post_sd,coverage90
linear FSM pilot+score NPE,60,0.011593011333820059,0.01332364541884824,0.011908931868775037,0.0008505943531771408,0.09864337046941121,0.8833333333333333
pilot-only NPE,60,0.012843102917871213,0.028999380591995676,0.023149131451474,0.0023206131691187702,0.10571970952053865,0.85
radial FSM pilot+score NPE,60,0.010552254569666067,0.007768896262221758,0.00693337447521777,0.0006083452983641607,0.09800655270616214,0.8833333333333333
