run_dir,method,label,device,best_source,best_step,best_val_loss,pi_min,pi_max,sigma_q,n_blocks,block_size,tau,forward_max_abs,derivative_fd_max_abs,derivative_fd_max_rel,block_permutation_max_abs,within_block_permutation_max_abs,all_scores_finite,all_derivatives_finite,within_block_permutation_required,passed
/root/autodl-tmp/model1_model2_stage2_20260818/checkpoints/model1_linear,linear,linear CS beta-conditioned DeepSets FSM,cuda,raw,12100,22.90335205078125,0.05,0.7,0.2,20,20,0.5,1.7881393432617188e-07,6.59095695112466e-05,6.590712359923742e-05,1.1920928955078125e-07,5.960464477539063e-08,True,True,True,True
/root/autodl-tmp/model1_model2_stage2_20260818/checkpoints/model1_radial_matched,radial,radial CS beta-conditioned gate+DeepSets FSM [matched_random],cuda,raw,9800,22.87735241699219,0.05,0.7,0.2,20,20,0.5,0.0,2.5871536796895356e-05,0.00014301585339539463,5.960464477539063e-08,5.960464477539063e-08,True,True,True,True
