pi_true,method,n_seeds,mean_abs_err_to_exact,rmse_mean_to_exact,w1_to_exact,q05_abs_err_to_exact,q50_abs_err_to_exact,q95_abs_err_to_exact,sd_abs_err_to_exact,cdf_at_true_mean,cdf_at_true_sd,coverage90
0.07,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157905532357897,0.059906860182933196,0.9
0.07,pilot-only NPE,10,0.03129833831538074,0.03745265082397858,0.03162711329186592,0.005830378877932079,0.03204097004553913,0.05677378617300024,0.016168052599601877,0.09775999999999999,0.04497624261763092,0.8
0.07,linear FSM pilot+score NPE,10,0.012328618170418384,0.01577090801768485,0.012894833890538795,0.004677940059330979,0.011958008757510106,0.025178313214159854,0.00632611637932236,0.10894000000000001,0.056856454338975446,0.8
0.07,radial FSM pilot+score NPE,10,0.009139496983685139,0.011846282458123981,0.009689404010968069,0.003571959465619841,0.009127713485712733,0.01572872987899588,0.00565568194665977,0.11874,0.06216488076076395,0.8
0.1,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2583178619899626,0.12563345627121336,1.0
0.1,pilot-only NPE,10,0.028934309730820118,0.037776242579124035,0.030405917753863875,0.0074905901262331594,0.03015354939221828,0.05017745420761044,0.014361275051789085,0.2065,0.09571228761240637,1.0
0.1,linear FSM pilot+score NPE,10,0.013769721231094397,0.015687457047072566,0.014531486713868513,0.004852599247113436,0.014561230694006777,0.024462824053678823,0.00605989094679499,0.22678000000000004,0.11192545554966483,1.0
0.1,radial FSM pilot+score NPE,10,0.00957742258035282,0.010612255375977257,0.010167930373178273,0.004040629404351679,0.010682773967336509,0.015614622527034184,0.00533197748439347,0.24614000000000003,0.11651331426064578,1.0
0.3,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4703632130766177,0.1466214561452497,1.0
0.3,pilot-only NPE,10,0.02030893895808452,0.02552517481453925,0.021518526892231722,0.01273959062504379,0.02218771197517793,0.024249767080466045,0.0063396170385355485,0.45278,0.16946441396352216,1.0
0.3,linear FSM pilot+score NPE,10,0.011903951765215425,0.013453053057919126,0.012687969106698015,0.014673562020585656,0.01406915420137061,0.007617358075273517,0.004668144773274481,0.5067200000000001,0.15735534817730218,1.0
0.3,radial FSM pilot+score NPE,10,0.005613088124306753,0.007211037013745584,0.0075663307042071835,0.010374281554742753,0.006222292842920879,0.008804058813707077,0.004934576223081371,0.49240000000000006,0.1521811552065498,1.0
0.5,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4929046087076469,0.22283957609312827,1.0
0.5,pilot-only NPE,10,0.014816336806425617,0.019185324588371067,0.015226717618760186,0.019946859609057958,0.01595830104179615,0.006307301764470197,0.004031348801115421,0.48390000000000005,0.21689522355275603,1.0
0.5,linear FSM pilot+score NPE,10,0.0076459548903786865,0.010279805808877164,0.009371884028258361,0.011870866070771525,0.009424562159567763,0.006044974748085108,0.004027508328254624,0.5099400000000001,0.22821298911324045,1.0
0.5,radial FSM pilot+score NPE,10,0.005353440593622888,0.005857435957062428,0.006136685569253201,0.012390250131985239,0.005349831327635546,0.0038424053309556784,0.00403070420565622,0.48473999999999995,0.22175029289721357,1.0
0.65,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7440163818949841,0.18444319015374422,0.8
0.65,pilot-only NPE,10,0.019875614725730212,0.024387344803187615,0.020268696415929897,0.03691113177572359,0.020675706244866886,0.005585068190260434,0.009115701864674629,0.8030800000000001,0.12446532689869899,0.7
0.65,linear FSM pilot+score NPE,10,0.01103892218460501,0.011923508593001291,0.011003173554201075,0.017762381514360305,0.01194389756891987,0.0048634420551506245,0.0036665576813436967,0.7874399999999999,0.1466416530185063,0.8
0.65,radial FSM pilot+score NPE,10,0.0027007842505801516,0.0034871972564385935,0.00427241904408101,0.009552761036908709,0.003745013477547754,0.002134611877621273,0.0032324944991208257,0.7566999999999999,0.1751873340170459,0.8
0.68,exact likelihood grid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8832766148498106,0.08848857515093991,0.7
0.68,pilot-only NPE,10,0.01930303558947254,0.024529269776193886,0.019847816736192396,0.03829940843481683,0.019715451711074704,0.005144053921198044,0.009731400600969381,0.9181799999999999,0.05344159054519242,0.6
0.68,linear FSM pilot+score NPE,10,0.011009010811404785,0.011894125186930032,0.01096424391908547,0.016103665412356107,0.012201032994388595,0.004672262161800255,0.003125735984691539,0.9129200000000001,0.06385090132488341,0.7
0.68,radial FSM pilot+score NPE,10,0.0024756562233104627,0.0032727613793791326,0.003767477149618871,0.008427213660541536,0.0032691960609787184,0.0020298572152363525,0.0026231940281891165,0.8940400000000001,0.0810575499259631,0.7
